Business_Name,License_Number,Street,City,State,ZIP,County,Phone,Latitude,Longitude,Last_Updated
Greenlight Dispensary,DIS000063,13531 Madison Avenue,Kansas City,MO,64145,Jackson,816-531-3030,38.882038,-94.605559,"March 11, 2026"
Clovr,DIS000057,7130 Wornall Rd,Kansas City,MO,64114,Jackson,816-806-2130,38.9990101,-94.5939598,"March 11, 2026"
"Proper Brands, Proper Cannabis",DIS000053,10155 And 10157 Wornall Road,Kansas City,MO,64114,Jackson,314-749-2677,38.943448010,-94.595968963,"March 11, 2026"
Key Cannabis Dispensary,DIS000050,7025 Prospect Ave,Kansas City,MO,64132,Jackson,310-435-7165,38.99896,-94.55665,"March 11, 2026"
OXD SWB LLC,DIS000048,2918 Southwest Blvd,Kansas City,MO,64108,Jackson,913-220-0044,39.0747984,-94.6044613,"March 11, 2026"
From The Earth Dispensary,DIS000044,1221 West 103rd St,Kansas City,MO,64114,Jackson,913-220-0044,38.941212,-94.606149,"March 11, 2026"
From The Earth Dispensary,DIS000045,6200 Troost Ave,Kansas City,MO,64110,Jackson,913-220-0044,39.014841,-94.574581,"March 11, 2026"
From The Earth Dispensary,DIS000046,1222 Mcgee Street,Kansas City,MO,64106,Jackson,913-220-0044,39.099026,-94.580115,"March 11, 2026"
Swade Cannabis Dispensary,DIS000021,5901 Nw Barry Rd,Kansas City,MO,64154,Platte,858-848-4588,39.246231,-94.648359,"March 11, 2026"
Besame Wellness; Besame Wellness Dispensary; Verts; Verts Dispensary; Verts Neighborhood Dispensary,DIS000017,8606 N Church Rd,Kansas City,MO,64157,Clay,614-296-7521,39.246486,-94.456457,"March 11, 2026"
"Sunrise, Sunrise Dispensary, Sunrise Marijuana Dispensary, Dispensary",DIS000014,6510 Nw Pairieview,Kansas City,MO,64151,Platte,816-281-5492,39.212967,-94.64177,"March 11, 2026"
"Swade Cannabis Dispensary, Swade Cannabis",DIS000042,1041 Burlington St,Kansas City,MO,64116,Clay,858-848-4588,39.12857,-94.580329,"March 11, 2026"
Green Releaf Dispensary,DIS000201,201 S. Mo 291,Lee's Summit,MO,64063,Jackson,833-469-9333,38.915688,-94.360661,"March 11, 2026"
"Kansas City Cannabis Co., Kansas City Cannabis",DIS000028,9324 Rt-7 S,Lee's Summit,MO,64064,Jackson,816-223-7159,38.946235,-94.275476,"March 11, 2026"
Flora Farms,DIS000076,510 Sw 3rd St,Lee's Summit,MO,64063,Jackson,417-850-9999,38.911487,-94.386695,"March 11, 2026"
From The Earth Dispensary; From The Earth; Dispensary,DIS000051,1041 Ne Sam Walton Ln,Lee's Summit,MO,64086,Jackson,310-435-7165,38.929111,-94.3631297,"March 11, 2026"
The Heights Cannabis,DIS000209,2024 Mckelvey Rd.,Maryland Heights,MO,63043,St. Louis,314-399-6387,38.715644981,-90.453380035,"March 11, 2026"
Tribe Dispensary,DIS000041,12300 Dorsett Rd,Maryland Heights,MO,63043,St. Louis,314-223-4468,38.713806578,-90.448771077,"March 11, 2026"
High Profile Cannabis Shop; High Profile,DIS000183,231 Saint Robert Blvd,St. Roberts,MO,65584,Pulaski,248-255-1283,37.8258599,-92.160375,"March 11, 2026"
"Proper Brands, Proper Cannabis",DIS000047,7555 Olive Blvd,University City,MO,63130,St. Louis,314-749-2677,38.6720548,-90.3343537,"March 11, 2026"
Green Releaf Dispensary,DIS000188,"412 W Coates St, # 101",Moberly,MO,65270,Randolph,660-372-1560,39.420663,-92.441092,"March 11, 2026"
Riverside Wellness; Riverside Wellness A Cannabis Dispensary,DIS000019,4403 Nw Gateway Ave,Riverside,MO,64150,Platte,816-321-2010,39.174691,-94.61257,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000170,1905 W Foxwood Dr,Raymore,MO,64083,Cass,816-745-0772,38.8126177,-94.490946,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000033,8760 Champions Drive,Taylor,MO,63471,Marion,660-210-2921,39.930266,-91.433285,"March 11, 2026"
"Proper Brands, Proper Cannabis",DIS000131,1168 W Gannon Dr,Festus,MO,63028,Jefferson,314-749-2677,38.212649,-90.403404,"March 11, 2026"
Proper Cannabis,DIS000116,"2285 Us Highway 67, Ste A",Festus,MO,63028,Jefferson,314-749-2677,38.1825658,-90.4432171,"March 11, 2026"
"Fresh Karma Dispensaries, Fresh Karma",DIS000037,10915 Nw 45 Hwy,Parkville,MO,64152,Platte,573-694-9973,39.20921,-94.707926,"March 11, 2026"
From The Earth Dispensary; From The Earth; Dispensary,DIS000023,4225 Commonwealth Court,St. Joseph,MO,64503,Buchanan,310-435-7165,39.7235266,-94.7925297,"March 11, 2026"
Good Day Farm; Good Day Farm Dispensary; Gdf Dispensary,DIS000135,812 Lester St,Kennett,MO,63857,Dunklin,573-559-0508,36.2446034,-90.0697708,"March 11, 2026"
High Profile Cannabis Shop; High Profile,DIS000100,1416 Harvestowne Industrial Dr,St. Charles,MO,63304,St. Charles,248-255-1283,38.7415171,-90.60726,"March 11, 2026"
Good Day Farm; Good Day Farm Dispensary; Gdf Dispensary,DIS000126,118 S. Hanley Rd,Clayton,MO,63105,St Louis,636-323-3907,38.647993610,-90.334228658,"March 11, 2026"
High Profile Cannabis Shop,DIS000144,1391 Mitchell Rd,West Plains,MO,65775,Howell,734-412-4600,36.7128236,-91.8791417,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000124,1636 Bruce Smith Pkwy,West Plains,MO,65775,Howell,417-419-9333,36.7125832,-91.8773354,"March 11, 2026"
Flora Farms,DIS000090,1421 West Highway J,Ozark,MO,65721,Christian,417-895-8733,37.070182,-93.221157,"March 11, 2026"
Proper Cannabis; Proper Brands,DIS000158,711 N State Highway 47,Warrenton,MO,63383,Warren,314-749-2677,38.81982,-91.14088,"March 11, 2026"
Elevate; Elevate Dispensary; Key Cannabis Dispensary,DIS000099,"202 West St, Ste 1",Nixa,MO,65714,Christian,620-921-5967,37.0424569,-93.3037769,"March 11, 2026"
"Fresh Karma Dispensaries, Fresh Karma",DIS000016,2221 N Belt Hwy,St. Joseph,MO,64506,Buchanan,573-694-9973,39.786546,-94.80389,"March 11, 2026"
Vertical,DIS000011,908 North Belt Highway,St. Joseph,MO,64506,Buchanan,816-582-3459,39.774832013,-94.803979972,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000226,321 State Hwy O,Steele,MO,63877,Pemiscot,877-418-4644,36.016108,-89.868819,"March 11, 2026"
High Profile Cannabis Shop,DIS000130,80 State Hwy O,Steele,MO,63877,Pemiscot,734-412-4600,36.017,-89.879,"March 11, 2026"
Blue Sage Cannabis Deli,DIS000132,730 Market St,Farmington,MO,63640,St. Francois,573-712-2980,37.791274,-90.436594,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Supreme Cannabis, Codes Cannabis Dispensary",DIS000153,14747 State Highway 38,Marshfield,MO,65706,Webster,417-630-9424,37.340461,-92.937945,"March 11, 2026"
The Forest Dispensary,DIS000231,3016 S Grand Blvd,St. Louis,MO,63118,St. Louis City,314-393-9286,38.603047,-90.242069,"March 11, 2026"
Current Cannabis,DIS000228,4455 Telegraph Rd,St. Louis,MO,63129,St. Louis,314-393-9748,38.482698020,-90.305088996,"March 11, 2026"
Blue Sage Cannabis Deli,DIS000210,1015 Mccausland Ave,St. Louis,MO,63117,St. Louis City,314-677-1110,38.63246,-90.304961,"March 11, 2026"
Kind Goods,DIS000206,1631 S Broadway,St. Louis,MO,63104,St. Louis City,314-223-6680,38.60938,-90.199715,"March 11, 2026"
FP3-Grand LLC,DIS000197,6497 Chippewa Ave,St. Louis,MO,63109,St. Louis,636-794-1840,38.592834,-90.301549,"March 11, 2026"
Swade Dispensary,DIS000195,4108 Manchester Ave,St. Louis,MO,63110,St. Louis City,636-448-6021,38.6277472,-90.2505749,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000119,11420 Concord Village Ave,St. Louis,MO,63123,St. Louis,314-619-7177,38.5246907,-90.3572765,"March 11, 2026"
Proper Cannabis; Proper Brands,DIS000112,7417 S Lindbergh Blvd,St. Louis,MO,63125,St. Louis,314-749-2677,38.5055983,-90.3251946,"March 11, 2026"
Natures Med Dispensary,DIS000088,234 Kingston Dr,St. Louis,MO,63125,St. Louis,618-210-1577,38.518024,-90.281428,"March 11, 2026"
"Proper Brands, Proper Cannabis",DIS000086,9933 Watson Rd,St. Louis,MO,63126,St. Louis,314-749-2677,38.556375,-90.395245,"March 11, 2026"
Luxury Leaf,DIS000060,1463 S Vandeventer Ave,St. Louis,MO,63110,St. Louis,314-220-0043,38.6240349,-90.2537583,"March 11, 2026"
"Kind Goods, Kind Goods Cannabis Dispensary",DIS000052,2652 Hampton Ave,St. Louis,MO,63139,St. Louis,314-223-4468,38.610618,-90.28775,"March 11, 2026"
Cookies Downtown St.Louis,DIS000043,2001 Olive St,St. Louis,MO,63103,St. Louis City,240-418-2120,38.632065,-90.20855,"March 11, 2026"
Good Day Farm; Good Day Farm Dispensary; Gdf Dispensary,DIS000038,20 S Euclid Ave,St. Louis,MO,63108,St. Louis City,314-328-6772,38.639543,-90.26214,"March 11, 2026"
Root 66 Dispensary,DIS000036,6660 Manchester Ave,St. Louis,MO,63139,St. Louis,636-262-4163,38.618601,-90.302115,"March 11, 2026"
Swade Dispensary,DIS000034,2316 Cherokee St,St. Louis,MO,63118,St. Louis,636-448-6021,38.5922372,-90.2165129,"March 11, 2026"
Good Day Farms Dispensary; Good Day Farm; Gdf Dispensary,DIS000031,1531 S Broadway,St. Louis,MO,63104,St. Louis City,314-530-7931,38.610529629,-90.198576548,"March 11, 2026"
'3fifteen Primo' Or '3fifteen' Or '3fifteen Primo Cannabis',DIS000029,5501 Chippewa St,St. Louis,MO,63109,St. Louis,573-529-0312,38.592624,-90.285978,"March 11, 2026"
Feel State Powered By Elevate Dispensary; Swade Cannabis Dispensary,DIS000001,3420 Iowa Ave,St. Louis,MO,63118,St. Louis City,636-487-5795,38.593099,-90.22868,"March 11, 2026"
Swade Dispensary,DIS000002,6166 Delmar Blvd,St. Louis,MO,63112,St. Louis City,636-448-6021,38.655021,-90.298493,"March 11, 2026"
Root 66 Dispensary,DIS000003,3737 S Grand Blvd,St. Louis,MO,63118,St. Louis,636-262-4163,38.588979,-90.244482,"March 11, 2026"
Greenlight,DIS000049,517 S Florissant Rd,Ferguson,MO,63135,St. Louis,636-794-1840,38.737000981,-90.302479961,"March 11, 2026"
Besame Wellness Dispensary; Verts; Verts Dispensary;  Verts Neighborhood Dispensary,DIS000128,1803 W Business Us 60,Dexter,MO,63841,Stoddard,614-296-7521,36.803291,-89.988856,"March 11, 2026"
"Blue Arrow Botanicals, Budd Dispensary",DIS000171,12077 N State Highway 5,Sunrise Beach,MO,65079,Camden,314-359-1987,38.13253,-92.7933,"March 11, 2026"
"Sunrise, Dispensary, Sunrise Dispensary, Sunrise Marijuana Dispensary",DIS000169,23 Spring Cove Rd,Sunrise Beach,MO,65079,Camden,573-374-0212,38.15863,-92.77734,"March 11, 2026"
Flora Farms,DIS000141,605 Brunt Blvd,Sikeston,MO,63801,Scott,573-760-0200,36.858702,-89.581619,"March 11, 2026"
Greenlight Dispensary,DIS000120,1817 E Malone,Sikeston,MO,63801,Scott,573-380-3783,36.882845,-89.577325,"March 11, 2026"
Trinity,DIS000133,205 State Route B,St. James,MO,65559,Phelps,573-247-4347,38.007405,-91.617371,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000173,859 Robert Raymond Dr,Lake St. Louis,MO,63367,St. Charles,636-355-9333,38.7709448,-90.7821112,"March 11, 2026"
Greenlight Dispensary,DIS000107,218 N. National Avenue,Springfield,MO,65802,Greene,872-302-0293,37.210264,-93.27558,"March 11, 2026"
Terrabis,DIS000104,850 E Kearney St,Springfield,MO,65803,Greene,314-369-8905,37.240429,-93.281141,"March 11, 2026"
Key Cannabis Dispensary,DIS000102,751 S Glenstone Ave,Springfield,MO,65802,Greene,816-831-3877,37.200607,-93.262562,"March 11, 2026"
Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000094,1510 E Sunshine St,Springfield,MO,65804,Greene,417-708-7751,37.181337,-93.268179,"March 11, 2026"
Revival 98,DIS000095,2782 W Republic Rd,Springfield,MO,65807,Greene,816-556-3101,37.13785,-93.335867,"March 11, 2026"
Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000096,"3800 W Sunshine St, A",Springfield,MO,65807,Greene,417-708-7796,37.18222407,-93.35613335,"March 11, 2026"
"Old Route 66 Dispensary; Drive Thru, Old Route 66 Releaf; Old Route 66 Wellness Dispensary; Delivery",DIS000089,2823 N Glenstone Ave,Springfield,MO,65803,Greene,417-895-8733,37.248099,-93.262172,"March 11, 2026"
Hippos Marijuana Dispensary,DIS000087,2868 S Glenstone Ave,Springfield,MO,65804,Greene,312-925-1217,37.161136,-93.261736,"March 11, 2026"
Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000082,3903 S Campbell Ave,Springfield,MO,65807,Greene,417-708-7756,37.1432412,-93.2961978,"March 11, 2026"
Good Day Farm; Good Day Farm Dispensary; Gdf Dispensary,DIS000123,2008 Richardson Road,Arnold,MO,63010,St. Louis,636-669-8177,38.418102297,-90.391580042,"March 11, 2026"
Heya Dispensary,DIS000118,100 Strauss Dr,Park Hills,MO,63601,St. Francois,573-240-9416,37.842662,-90.497004,"March 11, 2026"
Trinity,DIS000125,803 W Scenic Rivers Blvd Ste A,Salem,MO,65560,Dent,573-247-4347,37.635947,-91.543503,"March 11, 2026"
"Blue Sage Cannabis Deli, Come See Your Buds",DIS000097,2929 The Loop,Carthage,MO,64836,Jasper,417-800-2200,37.137253,-94.314,"March 11, 2026"
Releaf Resources Dispensary,DIS000077,13836 S Us Highway 71,Grandview,MO,64030,Jackson,816-213-4852,38.873415026,-94.528710807,"March 11, 2026"
C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000192,2004 W Broadway Blvd.,Sedalia,MO,65301,Pettis,660-722-0420,38.705681,-93.253472,"March 11, 2026"
Missouri Health & Wellness Dispensary,DIS000146,1801 S Limit Ave,Sedalia,MO,65301,Pettis,816-318-9966,38.696133,-93.250642,"March 11, 2026"
Easy Mountain,DIS000110,7827 W. Farm Road 174,Republic,MO,65738,Greene,417-773-4605,37.13302,-93.450742,"March 11, 2026"
"Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis, C Cannabis Dispensary",DIS000217,4805 Osage Beach Parkway,Osage Beach,MO,65065,Camden,573-568-8421,38.139220913,-92.635624536,"March 11, 2026"
Heya Dispensary,DIS000168,4300 N Service Rd,St. Peters,MO,63376,St. Charles,636-735-9382,38.798968014,-90.583376983,"March 11, 2026"
Latitude Dispensary,DIS000164,6396 Osage Beach Pkwy,Osage Beach,MO,65079,Camden,602-327-3858,38.100316,-92.684625,"March 11, 2026"
The Mint Dispensary,DIS000161,150 Mid Rivers Mall Cir,St. Peters,MO,63376,St. Charles,623-297-9109,38.798378,-90.61924,"March 11, 2026"
Kind Goods Medical Dispensary; Kind Goods,DIS000159,3899 Veterans Memorial Pkwy,St. Peters,MO,63376,St. Charles,314-223-6680,38.791358,-90.564841996,"March 11, 2026"
Swade Dispensary,DIS000151,146 Jungermann Rd,St. Peters,MO,63376,St. Charles,636-448-6021,38.7940233,-90.5770436,"March 11, 2026"
Root 66 Dispensary,DIS000098,"3004 S Saint Peters Pkwy, Ste S",St. Peters,MO,63303,St. Charles,636-262-4163,38.7498301,-90.5645648,"March 11, 2026"
Latitude Dispensary,DIS000166,1812 Highway 52,Eldon,MO,65026,Miller,573-557-4180,38.33433567,-92.58577392,"March 11, 2026"
Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000189,812 Vandiver Dr,Columbia,MO,65202,Boone,573-301-9865,38.970580147,-92.326638835,"March 11, 2026"
Hippos Marijuana Dispensary,DIS000190,2500 Broadway Bluffs Dr # 102,Columbia,MO,65201,Boone,312-925-1217,38.9475,-92.301122,"March 11, 2026"
Fresh Karma Dispensaries; Fresh Karma,DIS000191,1407 Cinnamon Hill Lane,Columbia,MO,65201,Boone,573-777-9077,38.933659,-92.292547,"March 11, 2026"
High Profile Cannabis Shop; High Profile,DIS000182,"1500 Interstate 70 Dr Sw, Suite 1, 2, And 3",Columbia,MO,65203,Boone,248-255-1283,38.9640907,-92.3630765,"March 11, 2026"
Greenlight Dispensary,DIS000177,4003 Ponderosa St,Columbia,MO,65201,Boone,573-529-0312,38.905627,-92.291698,"March 11, 2026"
"Shangri-La, Shangri-La Dispensary",DIS000172,3919 Peachtree Dr,Columbia,MO,65203,Boone,573-462-0890,38.906161,-92.335885,"March 11, 2026"
"Shangri-La, Shangri-La Dispensary",DIS000167,"1401 Creekwood Pkwy, Suite # 102 And 103",Columbia,MO,65202,Boone,573-462-0890,38.965055,-92.287841,"March 11, 2026"
Green Releaf Dispensary,DIS000160,204 E Broadway,Columbia,MO,65203,Boone,573-507-6723,38.951368,-92.33494,"March 11, 2026"
"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000022,2000 Highway 61 S,Hannibal,MO,63401,Ralls,573-719-3252,39.68481,-91.407061,"March 11, 2026"
Feel State Dispensary,DIS000055,444 Howdershell Rd,Florissant,MO,63031,St. Louis,636-299-7781,38.8047786,-90.3612114,"March 11, 2026"
"Sunrise, Sunrise Marijuana Dispensary, Sunrise Dispensary, Dispensary",DIS000009,8411 N. Lindberg Blvd,Florissant,MO,63031,St. Louis City,314-353-9817,38.793456,-90.343132,"March 11, 2026"
3fifteen Primo; 3fifteen; 3fifteen Primo Cannabis; Cookies,DIS000004,11088 New Halls Ferry Rd,Florissant,MO,63033,St. Louis,573-529-0312,38.7734,-90.269173,"March 11, 2026"
Swade Cannabis Dispensary; Swade Cannabis,DIS000008,13518 Us-169,Smithville,MO,64089,Clay,858-848-4588,39.338501,-94.5844157,"March 11, 2026"
816 Dispensary,MBD000008,"2701 Running Horse Rd, Ste G And H",Platte City,MO,64079,Platte,816-500-0939,39.349526,-94.7626062,"March 11, 2026"
Missouri Health & Wellness Dispensary,DIS000145,901 E. First Street,Washington,MO,63090,Franklin,309-264-3199,38.553206,-91.000946,"March 11, 2026"
Root 66 Dispensary,DIS000178,"1163 Wentzville Pkwy # 1171, Building C",Wentzville,MO,63385,St. Charles,636-262-4163,38.825303,-90.86269,"March 11, 2026"
Natures Med Dispensary,DIS000056,"207 Ne 72nd St, Suites A,B,C",Gladstone,MO,64118,Clay,520-307-9708,39.2246659,-94.5781593,"March 11, 2026"
Proper Cannabis,DIS000149,3 Walters Pl,House Springs,MO,63051,Jefferson,314-749-2677,38.412662,-90.579482,"March 11, 2026"
"Kansas City Cannabis Co., Kansas City Cannabis",DIS000026,310 S Platte Clay Way,Kearney,MO,64060,Clay,816-223-7159,39.3693981,-94.3677142,"March 11, 2026"
Kush21,MBD000011,1980 State St,Poplar Bluff,MO,63901,Butler,706-908-9074,36.776043,-90.420933,"March 11, 2026"
Greenlight Dispensary,DIS000122,1435 N. Westwood Blvd,Poplar Bluff,MO,63901,Butler,573-380-3873,36.737856,-90.421255,"March 11, 2026"
Terrabis,DIS000027,7766 N Lindbergh Blvd,Hazelwood,MO,63042,St. Louis,314-369-8905,38.78705,-90.35019,"March 11, 2026"
Good Day Farm Dispensary;Good Day Farm;Gdf Dispensary,DIS000070,16051 Manchester Rd,Ellisville,MO,63011,St. Louis,314-440-1434,38.591458,-90.593969,"March 11, 2026"
Proper Cannabis,DIS000066,15396-15398 Manchester Rd,Ellisville,MO,63011,St. Louis,314-749-2677,38.5928039,-90.5619806,"March 11, 2026"
North,DIS000165,1709 State Hwy Z,Pevely,MO,63070,Jefferson,636-375-1860,38.289425377,-90.404366618,"March 11, 2026"
Green Releaf Dispensary,DIS000157,3848 S Clark St,Mexico,MO,65265,Audrain,573-567-5508,39.133744,-91.892546,"March 11, 2026"
Kind Goods Medical Dispensary; Kind Goods,DIS000193,"14173 Manchester Rd, Ste M",Manchester,MO,63011,St. Louis,314-223-6680,38.59429602,-90.49742702,"March 11, 2026"
Terrabis,DIS000117,11062 Olive Blvd,Creve Coeur,MO,63141,St. Louis,314-369-8905,38.673293,-90.423911,"March 11, 2026"
Greenlight Dispensary,DIS000018,4451 Brown Rd,Berkeley,MO,63134,St. Louis,636-794-1840,38.728465,-90.344046,"March 11, 2026"
Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000174,301 Little Hills Industrial Expressway,St. Charles,MO,63301,St. Charles,636-485-5434,38.805547011,-90.475691990,"March 11, 2026"
Blue Sage Cannabis Deli,DIS000221,17015-17017 Bel Ray Blvd,Belton,MO,64012,Cass,816-888-8660,38.814999,-94.49643,"March 11, 2026"
Key Cannabis Dispensary; Key Dispensary,DIS000180,225 N Cedar Dr,Belton,MO,64012,Cass,620-921-5967,38.816729,-94.523747,"March 11, 2026"
Greenlight Dispensary,DIS000175,1408 N State Route 291,Harrisonville,MO,64701,Cass,816-531-3030,38.664033,-94.367664,"March 11, 2026"
Greenlight Dispensary,DIS000115,903 E. Washington St.,Hayti,MO,63851,Pemiscot,573-380-3873,36.233718,-89.739809,"March 11, 2026"
From The Earth,DIS000065,9010 E State Route 350,Raytown,MO,64133,Jackson,310-435-7165,38.997263014,-94.476969994,"March 11, 2026"
Green Releaf Dispensary,DIS000039,824 S 291 Highway,Liberty,MO,64068,Clay,573-462-0890,39.23825,-94.434313,"March 11, 2026"
Swade Cannabis,DIS000010,5918 Southview Dr,Liberty,MO,64068,Clay,858-848-4588,39.200718836,-94.403960013,"March 11, 2026"
Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000198,513 S Ash St,Buffalo,MO,65622,Dallas,417-733-8086,37.636196136,-93.104385376,"March 11, 2026"
Codes Cannabis Dispensary - Kirksville,DIS000040,120 S Main St,Kirksville,MO,63501,Adair,660-627-8690,40.1940817,-92.5854681,"March 11, 2026"
Key Cannabis Dispensary; Key Dispensary,DIS000024,400 N Baltimore St,Kirksville,MO,63501,Adair,620-921-5967,40.19736,-92.571683,"March 11, 2026"
Missouri Health & Wellness Dispensary,DIS000006,215 E Charles St,Kirksville,MO,63501,Adair,309-264-3199,40.2208785,-92.5820324,"March 11, 2026"
"Good Day Farm; Good Day Farm Dispensary, Gdf Dispensary",DIS000219,3910 S. Ward Ave,Caruthersville,MO,63830,Pemiscot,573-752-2952,36.15669,-89.663745,"March 11, 2026"
Root 66 Wellness,DIS000202,12095 Manchester Rd,Des Peres,MO,63131,St. Louis,636-262-4163,38.602588,-90.437101,"March 11, 2026"
Green Releaf Dispensary,DIS000163,2220 E Austin Blvd,Nevada,MO,64772,Vernon,573-462-0890,37.835743,-94.325848,"March 11, 2026"
"Besame Wellness Dispensary, Besame Wellness; Verts; Verts Dispensary; Verts Neighborhood Dispensary",DIS000181,1340 Thorton St,Pacific,MO,63069,Franklin,614-296-7521,38.486127,-90.757368,"March 11, 2026"
Green Releaf Dispensary,DIS000154,"109 N Lincoln Dr, E",Troy,MO,63379,Lincoln,636-775-2708,38.985302,-90.970752,"March 11, 2026"
High Profile Cannabis Shop,DIS000211,3125 Green Mountain Drive,Branson,MO,65616,Taney,734-412-4600,36.63254,-93.27875,"March 11, 2026"
Stairway Cannabis Dispensary Branson,DIS000203,1551 State Hwy 248,Branson,MO,65616,Taney,417-839-5467,36.664017122,-93.246077529,"March 11, 2026"
Greenlight Dispensary,DIS000092,201 S Wildwood Dr,Branson,MO,65616,Taney,872-302-0293,36.631912,-93.262883,"March 11, 2026"
