Name,Credential,Credential Description,Status,Status Reason,City,DBA,Credential,License Type,Effective Date,Expiration Date,Status,Application Type,Endorsements,Mailing Address,License Address
"Connecticut Cultivation Solutions, LLC",ACCE.0000034,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,BLOOMFIELD,,ACCE.0000034,ADULT-USE CANNABIS CULTIVATOR,09/02/2022,,ACTIVE,DIA Cultivator,None,"Connecticut Cultivation Solutions, LLC
Connecticut Cultivation Solutions
33 Sargeant Avenue
Hartford, CT 06105",Address is not available until the final application is complete
"CONNECTICUT SOCIAL EQUITY, LLC",ACCE.0000040,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,MORRIS,RODEO CANNABIS COMPANY,ACCE.0000040,ADULT-USE CANNABIS CULTIVATOR,06/04/2025,06/04/2026,ACTIVE,DIA Cultivator,None,"CONNECTICUT SOCIAL EQUITY, LLC
Brian Faye
221 Old Cider Mill Rd
Southington, CT 06489","266 WATERTOWN RD
MORRIS, CT 06763-1902"
CT PLANT BASED COMPASSIONATE CARE LLC,ACCE.0000014,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,Norwich,,ACCE.0000014,ADULT-USE CANNABIS CULTIVATOR,09/16/2022,,ACTIVE,DIA Cultivator,None,"CT PLANT BASED COMPASSIONATE CARE LLC
17 Faye Lane
Mount Pleasant, SC 29464-6626",Address is not available until the final application is complete
"CTCannaVentures, LLC",ACRE.0015703,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,PROVISIONAL,Cheshire,,ACRE.0015703,ADULT-USE CANNABIS RETAILER,12/17/2025,02/16/2027,ACTIVE,Equity Joint Venture,None,"CTCannaVentures, LLC
299 Moss Farms Road
Cheshire, CT 06410",Address is not available until the final application is complete
DEBBIE'S DISPENSARY LLC,ACME.0003689,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,Norwich,CRISP CANNABIS,ACME.0003689,ADULT-USE CANNABIS MICRO-CULTIVATOR,01/16/2026,01/15/2027,ACTIVE,General Lottery,None,"DEBBIE'S DISPENSARY LLC
115 Forest St
Norwich, CT 06360","115 Forest St
Norwich, CT 06360"
DEBBIE'S DISPENSARY LLC,ACRE.0009619,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,East Hartford,CRISP CANNABIS,ACRE.0009619,ADULT-USE CANNABIS RETAILER,01/17/2026,01/16/2027,ACTIVE,General Lottery,None,"DEBBIE'S DISPENSARY LLC
115 Forest St
Norwich, CT 06360","500 Main St
East Hartford, CT 06118"
DF C3 LLC,ACCE.0000042,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,EAST HARTFORD,,ACCE.0000042,ADULT-USE CANNABIS CULTIVATOR,11/29/2023,,ACTIVE,DIA Cultivator,None,"DF C3 LLC
DF C3 LLC c/o Dani Feinberg
85 Camp Ave
Apt 8G
Stamford, CT 06907",Address is not available until the final application is complete
DIVINE 1 LLC,ACRE.0008896,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,SEYMOUR,CLONE CANABISS,ACRE.0008896,ADULT-USE CANNABIS RETAILER,09/03/2025,09/02/2026,ACTIVE,SEC Lottery,None,"DIVINE 1 LLC
1656 BRENTWOOD RD
BENSALEM, PA 19020-4249","39 NEW HAVEN RD
SUITE 2
SEYMOUR, CT 06483-3460"
elm city agg,ACME.0008483,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,Guilford,,ACME.0008483,ADULT-USE CANNABIS MICRO-CULTIVATOR,05/21/2025,05/20/2027,ACTIVE,Conversion,None,"ELM CITY AGG
150 GUINEA RD
BIDDEFORD, ME 04005-9100",Address is not available until the final application is complete
FFD 149 LLC,ACCE.0000028,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,BLOOMFIELD,,ACCE.0000028,ADULT-USE CANNABIS CULTIVATOR,12/16/2025,12/15/2026,ACTIVE,DIA Cultivator,None,"FFD 149 LLC
Kennard Ray
40 Woodland Street
Hartford, CT 06105","10 MOSEY DR
BLOOMFIELD, CT 06002-3531"
"GREEN ACRES CT ONE, LLC",ACRE.0015689,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,New Britain,"420 WAREHOUSE CANNABIS STORE, LLC",ACRE.0015689,ADULT-USE CANNABIS RETAILER,01/14/2026,01/13/2027,ACTIVE,Equity Joint Venture,None,"GREEN ACRES CT ONE, LLC
One Hartford Square
New Britain, CT 06052","1 Hartford Square
New Britain, CT 06052"
"Green Meadows Farm CT, LLC",ACME.0008484,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,Bridgeport,,ACME.0008484,ADULT-USE CANNABIS MICRO-CULTIVATOR,04/01/2025,03/31/2027,ACTIVE,Conversion,None,"Green Meadows Farm CT, LLC
Deborah Caviness
157 Yaremich Drive
Bridgeport, CT 06606",Address is not available until the final application is complete
"HWY 95, LLC.",ACRE.0015660,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Colchester,THE HARVEST CORNER CANNABIS COMPANY,ACRE.0015660,ADULT-USE CANNABIS RETAILER,03/28/2026,03/27/2027,ACTIVE,Equity Joint Venture,None,"HWY 95, LLC.
The Harvest Corner
493 Westchester Road
Colchester, CT 06415","493 Westchester Rd.
Colchester, CT 06415"
"Hydra East, LLC",ACRE.0014886,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Enfield,,ACRE.0014886,ADULT-USE CANNABIS RETAILER,11/25/2025,11/24/2026,ACTIVE,General Lottery,None,"Hydra East, LLC
2207 Orchard Lake, Suite B
Sylvan Lake, MI 48320","9 Hazard Ave
Enfield, CT 06082"
"Insa CT Retail I, LLC",ACRE.0015682,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Hartford,,ACRE.0015682,ADULT-USE CANNABIS RETAILER,04/04/2026,04/03/2027,ACTIVE,Equity Joint Venture,None,"Insa CT Retail I, LLC
35 Center Street
Chicopee, MA 01013","167 Brainard Rd
Hartford, CT 06114"
"Insa CT Retail II, LLC",ACRE.0015678,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,New Haven,,ACRE.0015678,ADULT-USE CANNABIS RETAILER,04/30/2026,04/29/2027,ACTIVE,Equity Joint Venture,None,"INSA CT RETAIL II, LLC
222 SARGENT DR
NEW HAVEN, CT 06511-5919","222 Sargent Dr
New Haven, CT 06511"
"INSA CT, LLC",ACCE.0000015,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,HARTFORD,,ACCE.0000015,ADULT-USE CANNABIS CULTIVATOR,08/04/2022,,ACTIVE,DIA Cultivator,None,"INSA CT, LLC
35 Center Street
Chicopee, MA 01013",Address is not available until the final application is complete
JANANII LLC,ACME.0002315,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,NEW BRITAIN,,ACME.0002315,ADULT-USE CANNABIS MICRO-CULTIVATOR,11/07/2025,11/06/2026,ACTIVE,SEC Lottery,None,"JANANII LLC
14102 DUNLIN ST
CLARKSBURG, MD 20871-9522","436 SLATER RD
SUITE C
NEW BRITAIN, CT 06053-2663"
JANANII LLC,ACRE.0008858,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,HAMDEN,,ACRE.0008858,ADULT-USE CANNABIS RETAILER,11/08/2025,11/07/2026,ACTIVE,SEC Lottery,None,"JANANII LLC
14102 DUNLIN ST
CLARKSBURG, MD 20871-9522","3490 WHITNEY AVE
#108
HAMDEN, CT 06518-1936"
MCEJV LLC,ACME.0008473,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,Portland,AFFINITY GROW,ACME.0008473,ADULT-USE CANNABIS MICRO-CULTIVATOR,04/05/2026,04/04/2027,ACTIVE,Equity Joint Venture,None,"MCEJV LLC
Affinity Grow
47 Lower Main Street
Portland, CT 06480","47 Lower Main St
Portland, CT 06480"
NAUTILUS BOTANICALS,ACCE.0000005,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,KILLINGLY,,ACCE.0000005,ADULT-USE CANNABIS CULTIVATOR,11/21/2022,,ACTIVE,DIA Cultivator,None,"NAUTILUS BOTANICALS
61 Phillips Beach Ave
Swampscott, MA 01907",Address is not available until the final application is complete
Nova Farms Connecticut LLC,ACCE.0000023,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,WINSTED,,ACCE.0000023,ADULT-USE CANNABIS CULTIVATOR,09/25/2024,,ACTIVE,DIA Cultivator,None,"Nova Farms Connecticut LLC
Jason Teal
61 Woodhaven Drive
New Britain, CT 06053",Address is not available until the final application is complete
Nutmeg Hamden JV LLC,ACRE.0015653,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,HAMDEN,,ACRE.0015653,ADULT-USE CANNABIS RETAILER,10/31/2025,10/30/2026,ACTIVE,Equity Joint Venture,None,"NUTMEG HAMDEN JV LLC
3825 WHITNEY AVE
HAMDEN, CT 06518-1519","3825 WHITNEY AVE
HAMDEN, CT 06518-1519"
NUTMEG HARTFORD JV LLC,ACRE.0015652,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Hartford,HIGHER COLLECTIVE,ACRE.0015652,ADULT-USE CANNABIS RETAILER,11/17/2025,11/16/2026,ACTIVE,Equity Joint Venture,None,"NUTMEG HARTFORD JV LLC
1396 Park Street
Hartford, CT 06106","1396 Park Street
Hartford, CT 06106"
NUTMEG KILLINGLY JV LLC,ACRE.0015655,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,KILLINGLY,HIGHER COLLECTIVE,ACRE.0015655,ADULT-USE CANNABIS RETAILER,09/15/2025,09/14/2026,ACTIVE,Equity Joint Venture,None,"NUTMEG KILLINGLY JV LLC
HIGHER COLLECTIVE
1078 N MAIN ST
SUITE 6
KILLINGLY, CT 06241-2127","HIGHER COLLECTIVE
1078 N MAIN ST
SUITE 6
KILLINGLY, CT 06241-2127"
NUTMEG NEW BRITAIN JV LLC,ACME.0008474,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,NEW BRITAIN,BRIX CANNABIS,ACME.0008474,ADULT-USE CANNABIS MICRO-CULTIVATOR,04/04/2026,04/03/2027,ACTIVE,Equity Joint Venture,None,"NUTMEG NEW BRITAIN JV LLC
1 HARTFORD SQ UNIT 16A
NEW BRITAIN, CT 06052-1161","1 HARTFORD SQ UNIT 16A
NEW BRITAIN, CT 06052-1161"
NUTMEG NEW LONDON JV LLC,ACRE.0015657,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,New London,HIGHER COLLECTIVE,ACRE.0015657,ADULT-USE CANNABIS RETAILER,10/23/2025,10/22/2026,ACTIVE,Equity Joint Venture,None,"NUTMEG NEW LONDON JV LLC
595 Bank Street
New London, CT 06320","595 Bank Street
New London, CT 06320"
NUTMEG NORTHWEST JV LLC,ACRE.0015662,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Torrington,HIGHER COLLECTIVE,ACRE.0015662,ADULT-USE CANNABIS RETAILER,05/31/2025,05/30/2026,ACTIVE,Equity Joint Venture,None,"NUTMEG NORTHWEST JV LLC
53 McDermott Avenue
Torrington, CT 06790","53 McDermott Avenue
Torrington, CT 06790"
NUTMEG SOUTHWEST JV LLC,ACRE.0015654,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,BRIDGEPORT,HIGHER COLLECTIVE,ACRE.0015654,ADULT-USE CANNABIS RETAILER,09/30/2025,09/29/2026,ACTIVE,Equity Joint Venture,None,"NUTMEG SOUTHWEST JV LLC
3369 Fairfield Avenue
Bridgeport, CT 06605","3369 FAIRFIELD AVE
BRIDGEPORT, CT 06605-3224"
"QUINNIPIAC VALLEY GROWTH PARTNERS, LLC",ACCE.0000030,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,Wallingford,,ACCE.0000030,ADULT-USE CANNABIS CULTIVATOR,09/08/2022,,ACTIVE,DIA Cultivator,None,"QUINNIPIAC VALLEY GROWTH PARTNERS, LLC
Jason Teal
54 North Elm Street
Wallingford, CT 06492",Address is not available until the final application is complete
RAD HOLDING CORP.,ACME.0005377,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,Manchester,EARL BAKER,ACME.0005377,ADULT-USE CANNABIS MICRO-CULTIVATOR,04/23/2026,04/22/2027,ACTIVE,SEC Lottery,None,"RAD HOLDING CORP.
110 MOUNTAIN RD
SUFFIELD, CT 06078-2068","84 Colonial Road
Manchester, CT 06040"
Rodeo Rocky Hill LLC,ACRE.0015704,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Rocky Hill,,ACRE.0015704,ADULT-USE CANNABIS RETAILER,03/23/2026,03/22/2027,ACTIVE,Equity Joint Venture,None,"Rodeo Rocky Hill LLC
221 Old Cider Mill Road
Southington, CT 06489","1625 Silas Deane Hwy
Rocky Hill, CT 06760"
SARA'S DISPENSARY LLC,ACRE.0005925,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Cromwell,CRISP CANNABIS,ACRE.0005925,ADULT-USE CANNABIS RETAILER,01/16/2026,01/15/2027,ACTIVE,General Lottery,None,"SARA'S DISPENSARY LLC
33 Berlin Rd
Cromwell, CT 06416","33 Berlin Road
Cromwell, CT 06416"
SFC CT LLC,ACRE.0015659,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Middletown,VENU FLOWER COLLECTIVE,ACRE.0015659,ADULT-USE CANNABIS RETAILER,06/18/2025,08/17/2026,ACTIVE,Equity Joint Venture,None,"SFC CT LLC
325 W. Huron Street, Suite 700
Chicago, IL 60654","895 Washington Street
Middletown, CT 06457"
SHANGRI-LA CT INC,ACRE.0003185,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,WATERBURY,,ACPM.0000671,ADULT-USE CANNABIS PRODUCT MANUFACTURER,01/02/2026,01/01/2027,ACTIVE,SEC Lottery,Food and Beverage Manufacturing,"SHANGRI-LA CT INC
53 INTERSTATE LN
WATERBURY, CT 06705-2639","53 INTERSTATE LN
waterbury, CT 06705"
SHANGRI-LA CT INC,ACRE.0003242,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,PLAINVILLE,,ACRE.0003185,ADULT-USE CANNABIS RETAILER,10/17/2025,10/16/2026,ACTIVE,SEC Lottery,None,"SHANGRI-LA CT INC
53 INTERSTATE LN
WATERBURY, CT 06705-2639","53 INTERSTATE LN
WATERBURY, CT 06705-2658"
SHANGRI-LA CT INC,ACRE.0004665,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,NORWALK,,ACRE.0003242,ADULT-USE CANNABIS RETAILER,09/24/2025,09/23/2026,ACTIVE,SEC Lottery Applicant Chosen in the General Lottery,None,"SHANGRI-LA PLAINVILLE
359 NEW BRITAIN AVE
UNIT 1
PLAINVILLE, CT 06062-2013","359 NEW BRITAIN AVE
UNIT 1
PLAINVILLE, CT 06062-2013"
SHANGRI-LA DISPENSARY,ACRE.0011824,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,NORWALK,SHANGRI-LA CT INC,ACRE.0011824,ADULT-USE CANNABIS RETAILER,11/26/2025,11/25/2026,ACTIVE,SEC Lottery,None,"SHANGRI-LA DISPENSARY
75 CONNECTICUT AVE
NORWALK, CT 06850-3528","75 CONNECTICUT AVE
NORWALK, CT 06850-3528"
SHANGRI-LA FARMS CT CORP.,ACCE.0000016,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,Stratford,,ACCE.0000016,ADULT-USE CANNABIS CULTIVATOR,12/30/2025,12/29/2026,ACTIVE,DIA Cultivator,None,"SHANGRI-LA FARMS CT CORP.
Shangri-La CT Inc.
210 Farmington Avenue, Apt 311
Hartford, CT 06105","305 Hathaway Drive
Stratford, CT 06615"
SLAP ASH RETAIL I LLC,ACRE.0013138,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Hamden,HIGH PROFILE CANNABIS SHOP,ACRE.0013138,ADULT-USE CANNABIS RETAILER,08/29/2025,08/28/2026,ACTIVE,SEC Lottery,None,"SLAP ASH RETAIL I LLC
4420 Varsity Drive
Ann Arbor, MI 48108","2607 Whitney Ave
Hamden, CT 06518"
SLAP ASH RETAIL II LLC,ACRE.0002642,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,Canton,HIGH PROFILE CANNABIS SHOP,ACRE.0002642,ADULT-USE CANNABIS RETAILER,07/15/2025,07/14/2026,ACTIVE,SEC Lottery Applicant Chosen in the General Lottery,None,"SLAP ASH RETAIL II LLC
C3 Industries
4420 Varsity Drive
Ann Arbor, MI 48408","195 Albany Turnpike
Canton, CT 06019"
Soulstar,ACCE.0000019,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,WEST HARTFORD,,ACCE.0000019,ADULT-USE CANNABIS CULTIVATOR,02/16/2024,,ACTIVE,DIA Cultivator,None,"Soulstar
Denisha Moktan
531 Glendale Ave
Unit 531
Bridgeport, CT 06606",Address is not available until the final application is complete
The Flower House L.L.C.,ACCE.0000025,"ADULT-USE CANNABIS CULTIVATOR
Department of Consumer Protection",ACTIVE,PROVISIONAL,BRISTOL,,ACCE.0000025,ADULT-USE CANNABIS CULTIVATOR,12/14/2022,,ACTIVE,DIA Cultivator,None,"The Flower House L.L.C.
61 Sachem Dr.
Middletown, CT 06457",Address is not available until the final application is complete
THE GOODS THC CO.,ACME.0008482,"ADULT-USE CANNABIS MICRO-CULTIVATOR
Department of Consumer Protection",ACTIVE,CURRENT,HARTFORD,,ACME.0008482,ADULT-USE CANNABIS MICRO-CULTIVATOR,03/14/2026,03/13/2027,ACTIVE,Conversion,None,"THE GOODS THC CO.
John B. Kennelly
484 Farmington Avenue
Hartford, CT 06105","287 HOMESTEAD
HARTFORD, CT 06112"
UMN EQUITY JOINT VENTURE LLC,ACRE.0014925,"ADULT-USE CANNABIS RETAILER
Department of Consumer Protection",ACTIVE,CURRENT,North Windham,,ACRE.0014925,ADULT-USE CANNABIS RETAILER,10/25/2025,10/24/2026,ACTIVE,Equity Joint Venture,None,"UMN EQUITY JOINT VENTURE LLC
Daniel Emmans
80908 Overseas Highway
Islamoroda, FL 33036","157 Boston Post Rd
North Windham, CT 06256"
