name,slug,dba,dba_slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state,license_usda,delivery,sells_seeds,other_license
BUILDING BETTER DAYS LLC,building-better-days-llc,REEFER MADNESS,reefer-madness,dispensary,https://www.reefermadnessdenver.com/,,1995 South Broadway,Denver,CO,80210,US,39.68045496,-104.9876458,(303) 282-6206,,402-00294|402R-00917,,TRUE,FALSE,
BUILDING BETTER DAYS LLC,building-better-days-llc,REEFER MADNESS,reefer-madness,dispensary,https://www.reefermadnessdenver.com/,,"4401 East 46th Avenue, Unit B",Denver,CO,80216,US,39.78052267,-104.9361908,(303) 322-3404,,402-00409 | 402R-00104,,TRUE,FALSE,
"209 Trading Company, Inc",209-trading-company-inc,KUSHY CANNABIS DELIVERY,kushy-cannabis-delivery,dispensary,,,,,CA,,US,,,(209) 640-3085,209ziggys@gmail.Com,C9-0000375-LIC,,TRUE,FALSE,
A & D Couriers,a-d-couriers,"West Coast Safe Delivery, Inc.",west-coast-safe-delivery-inc,dispensary,,,,,CA,,US,,,(626) 945-3532,Anniesantillan@yahoo.Com,C9-0000797-LIC,,TRUE,FALSE,
ABCDELIVERY LLC,abcdelivery-llc,BETTER DAYS DELIVERY,better-days-delivery,other,,,1965 Kingston Street,Aurora,CO,80010,US,39.74676853,-104.858823,,,505-00018|605R-00012|406RNP-00015,,TRUE,FALSE,
"Bay Care Delivery, Inc",bay-care-delivery-inc,The Sensi Society,sensi-society,dispensary,,,,,CA,,US,,,(415) 647-7520,Baycaredelivery@gmail.Com,C9-0000059-LIC,,TRUE,FALSE,
Bnn One LLC,bnn-one-llc,Elev8ted Delivery,elev8ted-delivery,dispensary,,,,,CA,,US,,,(559) 371-1676,Brandigurl87@gmail.Com,C9-0000844-LIC,,TRUE,FALSE,
"C3 Delivery, Inc.",c3-delivery-inc,C3 Delivery,c3-delivery,dispensary,,,,,CA,,US,,,(510) 616-8381,Luxnco@gmail.Com,C9-0000793-LIC,,TRUE,FALSE,
Cali Cannabis Care,cali-cannabis-care,Budzilla Cannabis Delivery,budzilla-cannabis-delivery,dispensary,,,,,CA,,US,,,(661) 317-6726,Espindolaphotography@gmail.Com,C9-0000362-LIC,,TRUE,FALSE,
"Chad Enterprises, LLC",chad-enterprises-llc,Foundation Delivery,foundation-delivery,other,,,,,CA,,US,,,(760) 799-3636,Chad.Everything@gmail.Com,C12-0000334-LIC,,TRUE,FALSE,
Erba Delivery-1,erba-delivery-1,"ERBA DELIVERY, ERBA MARKETS",erba-delivery-erba-markets,dispensary,,,,,CA,,US,,,(323) 547-4455,Victoriaimtanes@gmail.Com,C9-0000463-LIC,,TRUE,FALSE,
Eric Sedrakyan,eric-sedrakyan,Happy High Delivery,happy-high-delivery,dispensary,,,,,CA,,US,,,(323) 810-1063,Eric_Sedrakyan@yahoo.Com,C9-0000719-LIC,,TRUE,FALSE,
Farmdale Delivery LLC.,farmdale-delivery-llc,Bud Nest,bud-nest,dispensary,,,,,CA,,US,,,(818) 275-2465,Farmdaledelivery@gmail.Com,C9-0000715-LIC,,TRUE,FALSE,
Firefly Delivery LLC,firefly-delivery-llc,Firefly Delivery,firefly-delivery,dispensary,,,,,CA,,US,,,(619) 407-0729,Contact@fireflydeliveries.Com,C9-0000649-LIC,,TRUE,FALSE,
Four Star Distribution And Delivery LLC,four-star-distribution-and-delivery-llc,HIGHATUS,highatus,other,,,,,CA,,US,,,(323) 894-5767,,C11-0000040-LIC,,TRUE,FALSE,
GOGI CANNABIS DELIVERY LLC,gogi-cannabis-delivery-llc,GOGI,gogi,other,,,1520 Iris Street,Lakewood,CO,80215,US,39.74050044,-105.1064175,,,406-00012|406R-00022,,TRUE,FALSE,
"Green Delivery, Inc",green-delivery-inc,,,dispensary,,,,,CA,,US,,,(949) 246-9643,Amousavi@mousavilee.Com,C9-0000301-LIC,,TRUE,FALSE,
Green Gold Investment Corporation,green-gold-investment-corporation,GREEN GOLD DELIVERY,green-gold-delivery,dispensary,,,,,CA,,US,,,(510) 282-1410,Greengoldinvestmentcorp@gmail.Com,C9-0000812-LIC,,TRUE,FALSE,
Intangible Love,intangible-love,Intangible Love Delivery,intangible-love-delivery,other,,,,,CA,,US,,,(510) 606-2637,Intangiblelovedelivery@gmail.Com,C12-0000447-LIC,,TRUE,FALSE,
Kk Deliveries Inc.,kk-deliveries-inc,KK Delivery,kk-delivery,dispensary,,,,,CA,,US,,,(510) 838-5775,Mikekkd510@gmail.Com,C9-0000816-LIC,,TRUE,FALSE,
Kushizm Inc,kushizm-inc,Deli Boys Delivery,deli-boys-delivery,dispensary,,,,,CA,,US,,,(323) 394-0445,Ladeliboys91@gmail.Com,C9-0000770-LIC,,TRUE,FALSE,
Lonnell Crawford,lonnell-crawford,Wakery Bakery Delivery,wakery-bakery-delivery,dispensary,,,,,CA,,US,,,(818) 633-9012,Lonnell4money@gmail.Com,C9-0000733-LIC,,TRUE,FALSE,
"Mc3, Inc.",mc3-inc,"KINGS, KINGS DELIVERY, KINGS DISTRIBUTION, KINGS MANUFACTURING, DELIVERY BY KINGS",kings-kings-delivery-kings-distribution-kings-manufacturing-delivery-by-kings,other,,,,,CA,,US,,,(818) 619-4003,Erikarut818@gmail.Com,C12-0000492-LIC,,TRUE,FALSE,
Moab Delivery LLC,moab-delivery-llc,MOAB DELIVERY,moab-delivery,dispensary,,,,,CA,,US,,,(916) 215-1351,Moabdelivery@gmail.Com,C9-0000698-LIC,,TRUE,FALSE,
"Nexus Delivery, LLC",nexus-delivery-llc,nexus delivery,nexus-delivery,dispensary,,,,,CA,,US,,,(310) 968-8458,Nexusglass710@gmail.Com,C9-0000651-LIC,,TRUE,FALSE,
Noble Trees LLC,noble-trees-llc,Green Dash Delivery,green-dash-delivery,other,,,,,CA,,US,,,(619) 379-5659,Ryan@nobletreesca.Com,C12-0000584-LIC,,TRUE,FALSE,
Pro Genitor,pro-genitor,FLYT Delivery,flyt-delivery,dispensary,,,,,CA,,US,,,(415) 425-6752,Flytpatterns@gmail.Com,C9-0000581-LIC,,TRUE,FALSE,
Prospect Beach LLC,prospect-beach-llc,The Green Giant Delivery,green-giant-delivery,dispensary,,,,,CA,,US,,,(916) 501-7565,Machenley@aol.Com,C9-0000806-LIC,,TRUE,FALSE,
Quickie Delivery LLC,quickie-delivery-llc,Quickie Cannabis Delivery,quickie-cannabis-delivery,dispensary,,,,,CA,,US,,,(213) 712-2222,Gary@desertsunventuresLLC.Com,C9-0000851-LIC,,TRUE,FALSE,
Riverside County Dispensary And Delivery Inc,riverside-county-dispensary-and-delivery-inc,The Cake House,cake-house,dispensary,,,"1275 Santa Fe Ave, Unit 101-103",Vista,CA,92083,US,33.1872817,-117.22563,(951) 212-2141,Geo@cakehousecannabis.Com,C10-0000769-LIC,,TRUE,FALSE,
Sacramento Confidential Delivery Inc.,sacramento-confidential-delivery-inc,GreenWerx Delivers,greenwerx-delivers,other,,,,,CA,,US,,,(707) 695-9782,Scdprop64@gmail.Com,C12-0000044-LIC,,TRUE,FALSE,
San Fernando Express,san-fernando-express,Orange Leaf Delivery,orange-leaf-delivery,dispensary,,,,,CA,,US,,,(818) 919-9910,Info@sanfernandoexpress.Com,C9-0000561-LIC,,TRUE,FALSE,
Smoakland Weed Delivery Corp.,smoakland-weed-delivery-corp,Smoakland,smoakland,dispensary,,,,,CA,,US,,,(415) 685-3541,C.Yi@smoakland.Com,C9-0000843-LIC,,TRUE,FALSE,
SUN-UP DELIVERY LLC,sun-up-delivery-llc,SUN-UP DELIVERY,sun-up-delivery,other,,,6859 North Foothills Highway Building C - 200,Boulder,CO,80302,US,40.09838289,-105.2821608,,,406-00013,,TRUE,FALSE,
SUN-UP DELIVERY LLC,sun-up-delivery-llc,SUN-UP DELIVERY,sun-up-delivery,other,,,"6859 North Foothills Highway, Building C, Unit 200",Boulder,CO,80302,US,40.09838289,-105.2821608,,,406R-00023,,TRUE,FALSE,
"Tech Delivery Solutions, LLC",tech-delivery-solutions-llc,Royal Kush,royal-kush,dispensary,,,,,CA,,US,,,(727) 777-7372,Royalkush2019@gmail.Com,C9-0000378-LIC,,TRUE,FALSE,
"Trd Associates, LLC",trd-associates-llc,HIGHER PURPOSE DELIVERY SERVICE,higher-purpose-delivery-service,dispensary,,,,,CA,,US,,,(424) 310-9486,Danagenerally@gmail.Com,C9-0000779-LIC,,TRUE,FALSE,
"Twisted Roots, Inc.",twisted-roots-inc,Sublime Delivery,sublime-delivery,other,,,,,CA,,US,,,(805) 684-5566,Dryerycarpinteria@gmail.Com,C11-0001972-LIC,,TRUE,FALSE,
"Twisted Roots, Inc.",twisted-roots-inc,Sublime Delivery,sublime-delivery,other,,,,,CA,,US,,,(805) 684-5566,Thetwistedroots00@gmail.Com,C12-0000570-LIC,,TRUE,FALSE,
West Coast Medical Finest Inc,west-coast-medical-finest-inc,Yesca Oaks Delivery,yesca-oaks-delivery,dispensary,,,,,CA,,US,,,(650) 540-3766,Info@wcmfinest.Org,C9-0000032-LIC,,TRUE,FALSE,
"Wholesome Delivery, Inc.",wholesome-delivery-inc,"Dreamy Delivery, Alpaca Club",dreamy-delivery-alpaca-club,dispensary,,,,,CA,,US,,,(707) 386-9674,Mjpasqual@gmail.Com,C9-0000204-LIC,,TRUE,FALSE,
Wmjh Logistics LLC,wmjh-logistics-llc,Stealthee Delivery,stealthee-delivery,dispensary,,,,,CA,,US,,,(209) 594-8788,Wmjhlogistics@gmail.Com,C9-0000852-LIC,,TRUE,FALSE,
Yan B Delivery,yan-b-delivery,HITS LA,hits-la,dispensary,,,,,CA,,US,,,(818) 747-9818,Yanbdeliveryinc@gmail.Com,C9-0000819-LIC,,TRUE,FALSE,
Yes Delivery LLC,yes-delivery-llc,"Yes Delivery, LLC",yes-delivery-llc,other,,,,,CA,,US,,,(310) 592-8318,Mattmartinez@yescannabis.Us,DCC-10004872,,TRUE,FALSE,
Young Bulls Delivery LLC,young-bulls-delivery-llc,Young Bulls Delivery,young-bulls-delivery,dispensary,,,,,CA,,US,,,(562) 284-1545,Dcadena92@yahoo.Com,C9-0000660-LIC,,TRUE,FALSE,
,,Elder Creek Delivery Inc.,elder-creek-delivery-inc,dispensary,,,,,CA,,US,,,(805) 801-0083,Shawn.Bean@thesourceslo.Com,C9-0000837-LIC,,TRUE,FALSE,
,,ELEVATION DELIVERY LLC,elevation-delivery-llc,other,,,2076 South Yates Street,Denver,CO,80219,US,39.67954948,-105.0509963,,,605R-00078|406RNP-00047,,TRUE,FALSE,
,,GETGO DELIVERY LLC,getgo-delivery-llc,dispensary,,,,,CA,,US,,,(747) 755-2143,Admin@getgola.Com,C9-0000723-LIC,,TRUE,FALSE,
,,Lit Delivery service,lit-delivery-service,other,,,,,CA,,US,,,(510) 563-9201,Delvin@litdeliveryservice.Com,C12-0000531-LIC,,TRUE,FALSE,
,,"NATURA DELIVERY ONLY DISPENSARY, LLC",natura-delivery-only-dispensary-llc,dispensary,,,,,CA,,US,,,(916) 209-0038,Compliance@natura.Io,C9-0000388-LIC,,TRUE,FALSE,
,,"NICE GUYS DELIVERY, INC.",nice-guys-delivery-inc,dispensary,,,,,CA,,US,,,(415) 464-7572,Monica@niceguysdelivery.Com,C9-0000019-LIC,,TRUE,FALSE,
,,OFL Delivery Sacramento LLC,ofl-delivery-sacramento-llc,dispensary,,,,,CA,,US,,,(909) 662-7922,Linzi@oakfruitland.Com,C9-0000817-LIC,,TRUE,FALSE,
,,"Old Route 66 Dispensary; Drive Thru, Old Route 66 Releaf; Old Route 66 Wellness Dispensary; Delivery",old-route-66-dispensary-drive-thru-old-route-66-releaf-old-route-66-wellness-dispensary-delivery,other,,,2823 N Glenstone Ave,Springfield,MO,65803,US,37.248099,-93.262172,417-895-8733,,DIS000089,,TRUE,FALSE,
,,"On Deck Delivery, LLC",on-deck-delivery-llc,dispensary,,,,,CA,,US,,,(562) 217-7105,Ondecklh@gmail.Com,C9-0000567-LIC,,TRUE,FALSE,
,,SK Delivery Inc,sk-delivery-inc,other,,,,,CA,,US,,,(909) 718-8915,Bryan.Marquez@workforceenterprises.Net,DCC-10004920,,TRUE,FALSE,
,,SK Delivery Inc.,sk-delivery-inc,dispensary,,,,,CA,,US,,,(909) 727-6876,Andrew.Hernandez@workforceenterprises.Net,C9-0000742-LIC,,TRUE,FALSE,
,,SK Delivery Inc.,sk-delivery-inc,dispensary,,,,,CA,,US,,,(909) 727-6876,Andrew.Hernandez@workforceenterprises.Net,C9-0000745-LIC,,TRUE,FALSE,
,,"THE DELIVERY LA, LLC",delivery-la-llc,dispensary,,,,,CA,,US,,,(562) 846-5365,Irving@lablueprintz.Com,C9-0000787-LIC,,TRUE,FALSE,
,,YES DELIVERY LLC,yes-delivery-llc,other,,,,,CA,,US,,,(310) 592-8318,Mattmartinez@yescannabis.Us,C11-0001763-LIC,,TRUE,FALSE,
,,YES DELIVERY LLC,yes-delivery-llc,dispensary,,,,,CA,,US,,,(310) 592-8318,Mattmartinez@yescannabis.Us,C9-0000661-LIC,,TRUE,FALSE,
Terrace Corporation of New York,terrace-corporation-of-new-york,Terrace Corporation of New York,terrace-corporation-of-new-york,other,tentencannabis.com,,,Gansevoort,NY,,US,43.10738,-73.8639,,,OCM-MICR-24-000004,36_0006,FALSE,FALSE,
"Highview Farms, Inc.",highview-farms-inc,"Highview Farms, Inc.",highview-farms-inc,cultivator,,,,Altamont,NY,,US,42.60018,-73.97356,,,OCM-MICR-24-000020,36_0057,FALSE,FALSE,
Jeanette M Miller,jeanette-m-miller,The Eclectic Farmstead LLC|Eclectic Farmacy LLC|D.K.C.,eclectic-farmstead-llc,breeder|cultivator,https://eclecticfarmstead.com/,,,Newfane,NY,,US,43.17314,-78.69095,(716) 603-8532,eclecticfarmstead@gmail.com,OCM-MICR-24-000115,36_0078,FALSE,TRUE,
BLACK PHEASANT FARM LLC,black-pheasant-farm-llc,BLACK PHEASANT FARM LLC,black-pheasant-farm-llc,cultivator,www.BPFarm.net,,,Dover Plains,NY,,US,41.76515,-73.74286,,,OCM-MICR-24-000082,36_0093,FALSE,FALSE,
Adirondack Hemp LLC,adirondack-hemp-llc,Adirondack Hemp LLC,adirondack-hemp-llc,cultivator,adkhempfarms.com/,,,Whitehall,NY,,US,43.3137,-73.43076,,,OCM-MICR-24-000076,36_0147,FALSE,FALSE,
"GRFNY3662 , LLC",grfny3662-llc,"GRFNY3662 , LLC",grfny3662-llc,cultivator,,,,Cortland,NY,13045,US,42.59501,-76.07027,,,OCM-MICR-24-000070,36_0152,FALSE,FALSE,
Kaaterskill Cannabis LLC,kaaterskill-cannabis-llc,Kaaterskill Cannabis LLC,kaaterskill-cannabis-llc,cultivator,kaaterskillcanna.com,,,Accord,NY,12404,US,41.88815,-74.25857,,,OCM-MICR-24-000151,36_0254,FALSE,FALSE,
Agricultural Development Services LLC,agricultural-development-services-llc,Agricultural Development Services LLC,agricultural-development-services-llc,cultivator,,,,Lyons,NY,14489,US,43.06588,-76.97845,,,OCM-MICR-24-000092,36_0255,FALSE,FALSE,
Sanctuary Gardens LLC,sanctuary-gardens-llc,Sanctuary Gardens LLC,sanctuary-gardens-llc,cultivator,,,,Canajoharie,NY,13317,US,42.90228,-74.43968,,,OCM-MICR-24-000059,36_0258,FALSE,FALSE,
"55 Oc Collective, Inc.",55-oc-collective-inc,Jungle Boys,jungle-boys,breeder|dispensary,https://www.jungleboys.com/,,2911 Tech Ctr,Santa Ana,CA,92705,US,33.705625,-117.855616,(760) 814-7398,55occollective420@gmail.Com,C10-0000103-LIC,,FALSE,TRUE,TRUE
"ABC Farms, Inc.",abc-farms-inc,"ABC Farms, Inc.",abc-farms-inc,cultivator,,,,Eureka,CA,,US,,,(707) 267-0089,LLCesaretti@yahoo.Com,C12-0000480-LIC,,FALSE,FALSE,
AF INC,af-inc,APOTHECARY FARMS,apothecary-farms,breeder|dispensary,https://www.apothecaryfarms.com/,,2251 South Broadway,Denver,CO,80210,US,39.6757788,-104.9876473,(303) 862-5016,info@apothecaryfarms.com,402-00375|402R-00048,,FALSE,TRUE,
AF INC,af-inc,APOTHECARY FARMS,apothecary-farms,breeder|dispensary,https://www.apothecaryfarms.com/,,1917 Santa Fe Drive,Pueblo,CO,81006,US,38.24566308,-104.5756992,(719) 544-5323,info@apothecaryfarms.com,402-00980|402R-00382,,FALSE,TRUE,
AF INC,af-inc,APOTHECARY FARMS,apothecary-farms,breeder|dispensary,https://www.apothecaryfarms.com/,,3049 Delta Drive,Colorado Springs,CO,80910,US,38.79540018,-104.7770439,719-822-0420,info@apothecaryfarms.com,402-01119,,FALSE,TRUE,
AF INC,af-inc,APOTHECARY FARMS,apothecary-farms,breeder|dispensary,https://www.apothecaryfarms.com/,,414 West Garden of the Gods Road,Colorado Springs,CO,80918,US,38.89695298,-104.8274983,719-301-1551,info@apothecaryfarms.com,402-01330|402R-01094,,FALSE,TRUE,
AF INC,af-inc,APOTHECARY FARMS,apothecary-farms,breeder|dispensary,https://www.apothecaryfarms.com/,,468 South Federal Boulevard,Denver,CO,80219,US,39.7081356,-105.0250085,720-739-4206,info@apothecaryfarms.com,402R-00884,,FALSE,TRUE,
AF INC,af-inc,APOTHECARY FARMS,apothecary-farms,breeder|cultivator,https://www.apothecaryfarms.com/,,3415 Riddle Place,Colorado City,CO,81019,US,37.944143,-104.8403544,,info@apothecaryfarms.com,403-01548|403R-00734,,FALSE,TRUE,
ALTITUDE,altitude,ALTITUDE,altitude,dispensary,https://altitudemj.com/menu/,,260 MERLOT DR,PROSSER,WA,99350,US,46.2198959,-119.7854261,(509) 786-4200,,414225,,FALSE,FALSE,
Amsterdam Farms LLC,amsterdam-farms-llc,Amsterdam Farms LLC,amsterdam-farms-llc,cultivator,,,,Central Bridge,NY,,US,42.58822,-74.44212,,,OCM-MICR-24-000053,,FALSE,FALSE,
BlazinUp LLC,blazinup-llc,The Alchemy,alchemy,dispensary,https://www.thealchemy.com/,,302 8th Ave,New York,NY,10001,US,40.74676,-73.99737,(646) 819-4143,,OCM-CAURD-24-000214,,FALSE,FALSE,
CANNABIS CORP,cannabis-corp,THE JOINT BY CANNABIS,joint-by-cannabis,dispensary,https://thejointbycannabis.com/,,4745 West 38th Avenue,Denver,CO,80212,US,39.76941702,-105.0479686,(303) 455-0079,,402R-00230,,FALSE,TRUE,
Cdxx Virtuosi Group LLC,cdxx-virtuosi-group-llc,Phat Panda,phat-panda,cultivator,https://phatpanda.com/,,,Los Angeles,CA,,US,,,(509) 290-3301,Queenpanda@growopfarms.Com,C12-0000319-LIC,,FALSE,TRUE,TRUE
"Celestial Farms, Inc.",celestial-farms-inc,,,cultivator,,,,Humboldt County,CA,,US,,,(910) 619-0653,Mattcwyatt12@gmail.Com,CCL19-0004922,,FALSE,FALSE,
"Ceres Farm, LLC",ceres-farm-llc,"Ceres Farm, LLC",ceres-farm-llc,other,https://www.goheadwaters.com/,,,Humboldt County,CA,,US,,,(805) 455-5926,Ceres@goheadwaters.Com,C13-0000225-LIC,,FALSE,FALSE,
Clear Water Farms,clear-water-farms,,,cultivator,,,,Humboldt County,CA,,US,,,(707) 599-8498,Mariah1977@gmail.Com,CCL19-0000713|C13-0000013-LIC,,FALSE,FALSE,
D&R Enterprises LLC,dr-enterprises-llc,D&R Enterprises LLC,dr-enterprises-llc,cultivator,,,,Trinity County,CA,,US,,,(530) 739-2190,Northmeadow411@outlook.Com,CCL19-0001237,,FALSE,FALSE,
"Deluxe Company, LLC",deluxe-company-llc,"Deluxe Company, LLC",deluxe-company-llc,cultivator,,,,San Diego County,CA,,US,,,(619) 807-7233,Deluxecannabis8141@gmail.Com,CCL23-0000142,,FALSE,FALSE,
"Emerald Mountain Farms, Inc.",emerald-mountain-farms-inc,"Emerald Mountain Farms, Inc.",emerald-mountain-farms-inc,cultivator,,,,Hydesville,CA,,US,,,(214) 960-0906,Restaurantmiles@gmail.Com,CCL23-0000106,,FALSE,FALSE,
"Enchanted Farms, LLC",enchanted-farms-llc,"Enchanted Farms, LLC",enchanted-farms-llc,cultivator,,,,Bridgeville,CA,,US,,,(707) 362-7008,Marianna_Voulgaris@yahoo.Com,CCL20-0002428,,FALSE,FALSE,
Exotic Farms LLC,exotic-farms-llc,Exotic Farms LLC,exotic-farms-llc,dispensary,https://exoticfarmsdispensary.com/,,203 Main St,Brockport,NY,14420,US,43.21072,-77.9393,(585) 503-3600,,OCM-RETL-25-000316,,FALSE,FALSE,
"Filifera, LLC",filifera-llc,Wizard Trees,wizard-trees,breeder|cultivator,https://www.wizardtrees.com/,,,Los Angeles,CA,,US,,,(213) 281-0006,Info@wizardtrees.Com,C11-0001784-LIC,,FALSE,TRUE,TRUE
"Fusion Farms, LLC",fusion-farms-llc,"Fusion Farms, LLC",fusion-farms-llc,cultivator,,,,Adelanto,CA,,US,,,(713) 858-7515,Vickik@fusionfarms.Io,CCL18-0000291|DCC-10003234|C11-0000860-LIC,,FALSE,FALSE,
"Green Fire Farms, LLC",green-fire-farms-llc,Green Fire Genetics,green-fire-genetics,breeder|cultivator,,,,Nevada County,CA,,US,,,(530) 615-7350,Mattsbusiness67@yahoo.Com,CCL20-0001531,,FALSE,FALSE,
GREEN LIGHT SUPPLY LLC,green-light-supply-llc,GROWLYTICS,growlytics,cultivator,,,4105 North Jason Street,Denver,CO,80211,US,39.77307763,-104.9994779,,,403R-00068,,FALSE,FALSE,
"Green Rose Farm, LLC",green-rose-farm-llc,"Green Rose Farm, LLC",green-rose-farm-llc,cultivator,,,,Trinity County,CA,,US,,,(763) 226-8226,Greenrosefarm1290@gmail.Com,CCL24-0000192,,FALSE,FALSE,
GREENHAND,greenhand,GREENHAND,greenhand,dispensary,https://greenhand.com/,,2424 N MONROE STREET,SPOKANE,WA,99205,US,47.68001387,-117.4265728,2067357072,,420898,,FALSE,FALSE,
GREENLIGHT,greenlight,GREENLIGHT,greenlight,dispensary,https://spokanegreenlight.com/,,10309 E TRENT AVE,MILLWOOD,WA,992064514,US,47.68449118,-117.2660701,5094752821,,415112,,FALSE,FALSE,
Flora Farms,flora-farms,Flora Farms,flora-farms,dispensary,https://florafarmsmo.com/shop/ferguson-mo/,,517 S Florissant Rd,Ferguson,MO,63135,US,38.73700098,-90.30247996,(844) 785-9333,,DIS000049,,FALSE,FALSE,
Peace And Joy LLC,peace-and-joy-llc,Happy Valley Farms,happy-valley-farms,cultivator,,,,Bridgeville,CA,,US,,,(832) 480-3481,Larabeevalleymanagement@gmail.Com,CCL18-0003476,,FALSE,TRUE,
Peace And Joy LLC,peace-and-joy-llc,Happy Valley Farms,happy-valley-farms,cultivator,,,,Bridgeville,CA,,US,,,(832) 480-3481,Larabeevalleymanagement@gmail.Com,CCL20-0000223,,FALSE,FALSE,
High Moon LLC,high-moon-llc,High Moon LLC,high-moon-llc,cultivator|dispensary,,,,,NY,,US,41.42666,-73.74951,,,OCM-MICR-24-000055,,FALSE,FALSE,
HIGH OCTANE LLC,high-octane-llc,HIGH OCTANE LLC,high-octane-llc,dispensary,https://www.highoctanedispensary.com/,,8910 South Interstate 25,Pueblo,CO,81004,US,37.96963069,-104.7868015,(719) 676-2197,,402R-00797,,FALSE,FALSE,
