Tradename,License ,UBI,Street Address,Suite Rm,City,State,county,Zip Code,Priv Desc,Privilege Status,Day Phone
395 HERB                                     ,430369,6042834300010002,3948B 3RD AVE UNIT 2          ,                         ,LOON LAKE               ,WA,STEVENS,99148    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5096440420
395 HERB INC                                 ,413805,6024843170010006,3948 3RD AVE UNIT 1           ,                         ,LOON LAKE               ,WA,STEVENS,981489683,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5096844420
4:20 FRIENDLY                                ,413586,6033515760010001,1515 LEWIS ST                 ,                         ,SPOKANE                 ,WA,SPOKANE,99224    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5094990999
418BAL ACCESS RETAIL                         ,414418,6033185960010004,661 NESS' CORNER RD           ,                         ,PORT HADLOCK            ,WA,JEFFERSON,983390000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3602977996
420 CAPITOL                                  ,424848,6035340690010002,5980 CAPITOL BLVD SE          ,                         ,TUMWATER                ,WA,THURSTON,98501    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604026368
420 CARPENTER                                ,415083,6033585480010002,422 CARPENTER RD STE 105      ,                         ,LACEY                   ,WA,THURSTON,985037906,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604026368
420 DOWNTOWN                                 ,421797,6035495920010004,23694 HIGHWAY 3 STE A         ,                         ,BELFAIR                 ,WA,MASON,985280000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3605616972
420 ELMA ON MAIN                             ,426678,6035792630010002,306 W MAIN ST                 ,                         ,ELMA                    ,WA,GRAYS HARBOR,985410000,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2539061919
420 EVERGREEN,427533,6033591250010002,25 NE 2ND ST STE B,,STEVENSON,WA,SKAMANIA,986484215,CANNABIS RETAILER                  ,CLOSED (PERMANENT),9715060696
420 GRAND CENTRAL                            ,428560,6041829490010002,19941 OLD HIGHWAY 99 SW       ,                         ,ROCHESTER               ,WA,THURSTON,98579    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604026368
420 HOLIDAY                                  ,415526,6033592380010001,2028 10TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986324007,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607033103
420 SHELTON,426677,6035495920010006,1065 SE STATE ROUTE 3,,SHELTON,WA,MASON,985849195,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3605616972
420 SPOT SHOP                                ,414550,6034051800010001,1374 SE LUND AVE              ,SMP - 1                  ,PORT ORCHARD            ,WA,KITSAP,98366    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3603405966
420 WEST                                     ,414733,6033585480010001,410 RONLEE LN NW A1           ,                         ,OLYMPIA                 ,WA,THURSTON,985029266,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604026368
"420ME, LLC                                   ",421759,6041829490010001,430 CARPENTER RD SE           ,                         ,LACEY                   ,WA,THURSTON,985037930,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3604026368
49* NORTH CANNABIS                           ,422202,6024843170010012,1380 MILL ST STE A            ,                         ,ADDY                    ,WA,STEVENS,991019677,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5096844420
4EVER HEALING                                ,414775,6034232020010001,9925 214TH AVE E STE F        ,                         ,BONNEY LAKE             ,WA,PIERCE,983910000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532241442
4US RETAIL,413700,6021379110010003,23251 HWY 20,,OKANOGAN,WA,OKANOGAN,988400000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5095579065
8 BALL BARRISTER,421562,6033479560010004,3833 PACIFIC AVE STE 3-C,,TACOMA,WA,PIERCE,984187897,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2533700736
"8 BALL BARRISTER, LLC",421757,6033479560010005,113 HOWERTON AVE,STE B,ILWACO,WA,PACIFIC,986249088,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2535721500
A BUD & LEAF,413782,6033579130010002,3015 PACIFIC AVE SE,,OLYMPIA,WA,THURSTON,985012042,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608706000
A BUD & LEAF                                 ,413821,6033579130010001,421 LILLY RD SE               ,                         ,OLYMPIA                 ,WA,THURSTON,985012108,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3608706000
A GREEN LIFE                                 ,413361,6032719560010001,15219 NE 90TH ST UNIT B       ,                         ,REDMOND                 ,WA,KING,980523561,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068537391
A GREEN LIFE                                 ,421755,6032719560010002,9625 15TH AVE SW              ,                         ,SEATTLE                 ,WA,KING,981062821,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068537391
A GREEN LIFE                                 ,421995,6032719560010003,9823 15TH AVE SW UNIT D2      ,UNIT D2                  ,SEATTLE                 ,WA,KING,981062847,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068537391
A GREEN LIFE,425507,6032719560010005,16390 CLEVELAND ST,,REDMOND,WA,KING,980524314,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2069159212
A GREENER TODAY MARIJUANA                    ,414441,6034501390010005,5209 MARTIN LUTHER KING JR.   ,WAY S                    ,SEATTLE                 ,WA,KING,98118    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068017756
A GREENER TODAY MARIJUANA                    ,414814,6034501390010003,16053 AURORA AVE N STE B      ,STE B                    ,SHORELINE               ,WA,KING,98133    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2068017756
A GREENER TODAY MARIJUANA,422044,6034501390010004,19315 BOTHELL EVERETT HWY #1,UNIT 1,BOTHELL,WA,SNOHOMISH,980127112,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066877877
A GREENER TODAY MARIJUANA                    ,422044,6041339060010001,19315 BOTHELL EVERETT HWY #1  ,UNIT 1                   ,BOTHELL                 ,WA,SNOHOMISH,98012    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4257736021
A GREENER TODAY MARIJUANA-GOLD BAR           ,422168,6035559160010003,16810 415TH AVE SE STE A-2    ,                         ,GOLD BAR                ,WA,SNOHOMISH,98251    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4257736037
A GREENER TODAY MARIJUANA-LYNNWOOD           ,422109,6035559160010002,14608 HWY 99 SUITE #304       ,                         ,LYNNWOOD                ,WA,SNOHOMISH,98087    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4257736037
A GREENER TODAY RECREATIONAL                 ,402107,6034501390010002,10522 LAKE CITY WAY NE STE    ,C103 & C104              ,SEATTLE                 ,WA,KING,981250000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4257736021
A GREENER TODAY WALLA WALLA                  ,426039,6035146970010003,655 WEST POPLAR ST            ,                         ,WALLA WALLA             ,WA,WALLA WALLA,99362    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2063803608
A PIPE DREAM                                 ,422849,6035939070010002,RETAIL TITLE CERTIFICATE      ,                         ,MORTON                  ,WA,LEWIS,983560000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2069632900
A PIPE DREAM                                 ,422849,6035939070010002,RETAIL TITLE CERTIFICATE      ,                         ,MORTON                  ,WA,LEWIS,983560000,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2069632900
AARDVARK REEFEROLOGY                         ,413896,6034341890010001,325 NE LECHNER ST             ,                         ,CAMAS                   ,WA,CLARK,986070000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3609075453
ABCDEF LLC                                   ,421114,6047542880010001,RETAIL TITLE CERTIFICATE      ,                         ,CAMAS                   ,WA,CLARK,986072454,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,3609097037
ACCESS CANIBUS LLC                           ,422765,6035572950010001,3082 WAITTS LAKE RD           ,                         ,VALLEY                  ,WA,STEVENS,99181    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3604703051
ALIEN COMMANDER LLC,422663,6043425950000000,RETAIL TITLE CERTIFICATE,,BELLEVUE,WA,KING,980040000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2064099468
ALIEN COMMANDER LLC,422663,6043425950000000,RETAIL TITLE CERTIFICATE,,BELLEVUE,WA,KING,980040000,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2064099468
ALL SPARK,421737,6033451150010006,1625 CENTER ST STE A,,TACOMA,WA,PIERCE,984097920,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2063999999
ALTERNATIVE MEDICINE COLLECTIVE,077000,6032719560010007,15041 BOTHELL WAY NE,,LAKE FOREST PARK,WA,KING,981557603,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2069159212
ALTERNATIVE MEDICINE COLLECTIVE,420895,6032719560010006,17917 VASHON HWY SW,,VASHON,WA,KING,980705204,CANNABIS RETAILER                  ,CLOSED (PERMANENT),9168359616
ALTITUDE,414225,6033570900010001,260 MERLOT DR,,PROSSER,WA,BENTON,993509533,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5097864200
ALTITUDE                                     ,414225,6056243110010001,260 MERLOT DR                 ,                         ,PROSSER                 ,WA,BENTON,99350    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5093890676
ALWAYS GREENER DOWNTOWN,415486,6034023580010003,15937 REDMOND WAY STE B,,REDMOND,WA,KING,980523836,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4258615497
ALWAYS GREENER DOWNTOWN,415486,6035989000010001,15937 REDMOND WAY STE B,,REDMOND,WA,KING,980523836,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4258615497
AMERICAN HARVEST                             ,422954,6033525730010005,7550 US HWY 97                ,                         ,PESHASTIN               ,WA,CHELAN,988470000,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5033177035
AMERICAN HARVEST                             ,423431,6033525730010004,3014 GS CENTER RD STE D       ,                         ,WENATCHEE               ,WA,CHELAN,988019144,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5096301707
AMERICAN POT SHOP                            ,421905,6032170680010006,3005 NORTHVIEW CIRCLE         ,                         ,SHELTON                 ,WA,MASON,985842948,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2063292223
AMERICANNA WEED CO                           ,414649,6033580640010001,320 N KELLOGG ST STE B        ,                         ,KENNEWICK               ,WA,BENTON,993364944,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4252100546
ANACORTES CANNABIS                           ,421652,6033570100010002,7656 STATE ROUTE 20 UNIT A    ,                         ,ANACORTES               ,WA,SKAGIT,982218311,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3605886222
APEX CANNABIS                                ,420941,6033264170010006,120 E MISSION AVE             ,                         ,SPOKANE                 ,WA,SPOKANE,992021817,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5099983405
APEX CANNABIS                                ,421110,6033264170010002,955 W BROADWAY AVE            ,                         ,MOSES LAKE              ,WA,GRANT,988372602,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5094990646
APEX CANNABIS                                ,422447,6033264170010004,21502 E GILBERT AVE           ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279241,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5094990646
APEX CANNABIS                                ,425767,6033264170010008,1325 N DIVISION ST STE 104    ,                         ,SPOKANE                 ,WA,SPOKANE,992021808,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5094990646
APEX MOSES LAKE                              ,439988,6058995220010001,955 W BROADWAY AVE            ,                         ,MOSES LAKE              ,WA,GRANT,988372602,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2065082410
APEX Otis Orchards                           ,440314,6058995220010003,21502 E GILBERT AVE           ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279241,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2065082410
APEX SPOKANE                                 ,440307,6058995220010002,1325 N DIVISION ST STE 104    ,                         ,SPOKANE                 ,WA,SPOKANE,992021808,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2065082410
ARISTOCRAT CANNABIS                          ,422420,6035889360010001,285 CANAL RD                  ,                         ,TOUTLE                  ,WA,COWLITZ,986499703,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2066596531
ARISTOCRAT ENTERPRISES II                    ,422460,6047743750010001,2947 E HWY 101  STE A         ,"B, SUITE A AND B         ",PORT ANGELES            ,WA,CLALLAM,98362    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2062000462
ARKY VANDELAY LLC                            ,414450,6042912990010001,417 NW 65TH ST                ,                         ,SEATTLE                 ,WA,KING,981175027,CANNABIS RETAILER                  ,CLOSED (PERMANENT),0000000000
AUDYSEA                                      ,422175,6035792630010001,5703 OLYMPIC HWY              ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985200000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3605616972
AUSTIN LOTT,413530,6033549000010001,29 HORIZON FLATS RD STE 8,,WINTHROP,WA,OKANOGAN,988628400,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5094295556
AWOW INC. (TITLE OWNER ONLY)                 ,414381,6034023650000000,RETAIL TITLE CERTIFICATE      ,                         ,KENT                    ,WA,KING,980320000,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,4258299707
B STREET BUD                                 ,414558,6032410690010002,400 BURDIN AVE                ,                         ,GRAND COULEE            ,WA,GRANT,99133    ,CANNABIS RETAILER                  ,CLOSED (TEMPORARY),5095929334
BAD ASS WEED CO.,085059,6033524760010006,8459 MAIN ST  UNIT B,UNIT B,DRYDEN,WA,CHELAN,988210000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5092648044
BARNIES GREENERY LLC (TITLE OWNER ONLY)      ,357353,6043079930000000,RETAIL TITLE CERTIFICATE      ,                         ,WINLOCK                 ,WA,LEWIS,985969750,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2532731260
BATSTONE BUD SHOP,420478,6034395390010001,933 E JOHNS PRAIRIE RD,,SHELTON,WA,MASON,985841270,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3604908753
BAYSHORE CANNABIS CO                         ,415127,6041578100010001,3831 HIGHWAY 3                ,                         ,SHELTON                 ,WA,MASON,98584    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2062344663
BB&B,415544,6033558630010002,RETAIL TITLE CERTIFICATE,,FEDERAL WAY,WA,KING,980032406,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2532794511
BB&B,415544,6033558630010002,RETAIL TITLE CERTIFICATE,,FEDERAL WAY,WA,KING,980032406,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2532794511
BELFAIR CANNABIS COMPANY                     ,422298,6045863300010003,24090 NE STATE ROUTE 3 STE I  ,                         ,BELFAIR                 ,WA,MASON,985289665,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4044063054
BELLEVUE MARIJUANA                           ,415253,6033504230010001,614 116TH AVE NE              ,                         ,BELLEVUE                ,WA,KING,980045206,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254535749
BELLEVUE MARIJUANA,426125,6033504230010004,638 116TH AVE NE,,BELLEVUE,WA,KING,980045216,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254535749
BELLINGHAM MARIJUANA,422612,6035966060010001,5463 GUIDE MERIDIAN RD,,BELLINGHAM,WA,WHATCOM,982269771,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2067553751
BERNER'S TACOMA                              ,424473,6041326560010004,2632 S 38TH ST STE A          ,                         ,TACOMA                  ,WA,PIERCE,984097304,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2535031411
BETTER BUDS                                  ,414277,6033530980010001,4235 OLYMPIC DR W             ,                         ,BREMERTON               ,WA,KITSAP,983120000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2538964100
BETTER BUDS                                  ,421709,6035924360010001,841 NESS CORNER RD  STE B     ,STE B                    ,PORT HADLOCK            ,WA,JEFFERSON,983399572,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607316611
BETTER BUDS                                  ,422525,6033530980010005,2840 E HWY 101                ,                         ,PORT ANGELES            ,WA,CLALLAM,98362    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607316611
BETTER BUDS                                  ,425965,6033530980010004,10384 SILVERDALE WAY NW STE 10,                         ,SILVERDALE              ,WA,KITSAP,98383    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607316611
BETTER BUDS,430175,6035765800010007,946 WASHINGTON WAY STE 100,,LONGVIEW,WA,COWLITZ,986324030,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3609676056
BETTER BUDS                                  ,430175,6046285230010001,946 WASHINGTON WAY STE 100    ,                         ,LONGVIEW                ,WA,COWLITZ,98632    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3607033791
BIG EYES LLC DBA BUDHUT,427458,6035481120010006,2616 NE 112TH AVE,,VANCOUVER,WA,CLARK,986844284,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4252494949
BIGTROPHY ENTERPRISES,420338,6020200610010006,401 RAINER AVE N STE 1,,RENTON,WA,KING,980575319,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4257652935
BIRCH BAY BUDZ                               ,429761,6043510130010003,8125 BIRCH BAY SQUARE ST #222 ,                         ,BLAINE                  ,WA,WHATCOM,98230    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5092094569
BLAINE CANNABIS                              ,415064,6045989840010001,922 PEACE PORTAL DR           ,                         ,BLAINE                  ,WA,WHATCOM,982304409,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3603328922
BLOOM                                        ,350766,6048652490010001,11311 HIGHWAY 99              ,                         ,EVERETT                 ,WA,SNOHOMISH,982044816,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5038057828
BLOOM,414103,6033549360010002,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,PIERCE,984446098,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254443456
BLOOM,414103,6043447500010001,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,PIERCE,984446098,CANNABIS RETAILER                  ,CLOSED (PERMANENT),8034131254
BLOOM                                        ,414103,6048643700010001,"10707 PACIFIC AVE S STE E,F   ",                         ,TACOMA                  ,WA,PIERCE,984446098,CANNABIS RETAILER                  ,ACTIVE (ISSUED),5038057828
BLOOM CANNABIS,350766,6033549360010003,11311 HWY 99,,EVERETT,WA,SNOHOMISH,982044816,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254443456
BLOOM CANNABIS,350766,6043447500010002,11311 HWY 99,,EVERETT,WA,SNOHOMISH,982044816,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254056700
BLOWIN SMOKE                                 ,414902,6030688930010002,545 C HWY 395 S               ,                         ,COLVILLE                ,WA,STEVENS,991140000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5096758564
BLOWIN SMOKE,422202,6030688930010003,1967 HIGHWAY 395 S STE C,,CHEWELAH,WA,STEVENS,991099708,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5099357420
BLOWIN SMOKE,422202,6040183840010003,1967 HIGHWAY 395 S STE C,,CHEWELAH,WA,STEVENS,991099708,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5096756901
BOMAR HOLDINGS,415127,6033597820010001,3831 HIGHWAY 3,,SHELTON,WA,MASON,985840000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2062952411
BORED N BUZZED                               ,436428,6055079200010001,11516 124TH AVE NE            ,                         ,KIRKLAND                ,WA,KING,980334643,CANNABIS RETAILER                  ,ACTIVE (ISSUED),2062265888
BOYDEN INVESTMENT GROUP                      ,415241,6033536370010003,2215 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981341516,CANNABIS RETAILER                  ,CLOSED (PERMANENT),5202508988
BRIGHTON BAY 2,422414,6035122630010001,RETAIL TITLE CERTIFICATE,,LYNNWOOD,WA,SNOHOMISH,980364715,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2063999999
BRIGHTON BAY 2,422414,6035122630010001,RETAIL TITLE CERTIFICATE,,LYNNWOOD,WA,SNOHOMISH,980364715,RETAIL CERTIFICATE HOLDER          ,FORMER TITLE CERTIFICATE,2063999999
BUD BARN                                     ,421335,6043374800010001,6725 MARTIN WAY E             ,                         ,OLYMPIA                 ,WA,THURSTON,98516    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3609601220
BUD BARN,428005,6040474400010004,10619 VANCIL RD SE,,YELM,WA,THURSTON,985979504,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3605397291
BUD BARN                                     ,428005,6043374800010002,10619 VANCIL RD SE            ,                         ,YELM                    ,WA,THURSTON,98597    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3609601220
BUD COMMANDER                                ,413802,6033518190010001,849 TROSPER RD SW STE 207     ,                         ,TUMWATER                ,WA,THURSTON,98512    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),3606881709
BUD HUT,410831,6035699590010001,26207 MAPLE VALLEY BLACK,DIAMOND RD,MAPLE VALLEY,WA,KING,980388378,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4257604345
BUD HUT,413901,6033591690010001,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,ISLAND,982828833,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254789928
BUD HUT                                      ,415361,6033525070010003,8142 HIGHWAY 14               ,                         ,LYLE                    ,WA,KLICKITAT,986350000,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4254781077
BUD HUT,415504,6033594940010001,11603 HWY 99,,EVERETT,WA,SNOHOMISH,982044811,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4253531449
BUD HUT                                      ,421568,6035481120010003,1717 NE ANDRESEN RD           ,                         ,VANCOUVER               ,WA,CLARK,986616890,CANNABIS RETAILER                  ,CLOSED (PERMANENT),4257896996
BUD HUT,422781,6036026430010002,200 SUZANNE LANE STE D,,MOUNT VERNON,WA,SKAGIT,982739514,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3606681111
BUD HUT,422792,6036026430010001,2200 TALLEY WAY  STE A,SUITE A,KELSO,WA,COWLITZ,986265511,CANNABIS RETAILER                  ,CLOSED (PERMANENT),3606681111
BUD NATION                                   ,072437,6030294870010003,9640 16TH AVE SW STE A        ,                         ,SEATTLE                 ,WA,KING,981062827,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2068198898
BUD NATION,415203,6030294870010004,9640 16TH AVE SW STE C & D,,SEATTLE,WA,KING,981062827,CANNABIS RETAILER                  ,CLOSED (PERMANENT),2065882441
BUDDY'S                                      ,413893,6033590560010001,420 SUNSET BLVD N STE A       ,                         ,RENTON                  ,WA,KING,98055    ,CANNABIS RETAILER                  ,ACTIVE (ISSUED),4256819665
