License_Holder,Dispensary_Name,Street,City,State,ZIP,Phone,License_Issue_Date,Credential_Number,License_Section
SB IL 4 HOFFMAN ESTATE LLC,Starbuds – Hoffman Estates,"5 E Golf Rd Hoffman, 0909",Estates,IL,60169,,01/20/2023,284.000271-AUDO,Active Adult Use
CESAM LLC,Bud & Rita's - The Loop,781 N Milwaukee Ave,Wheeling,IL,60090,(847) 307-0100,01/26/2023,284.000142-AUDO,Active Adult Use
"Family Roots, LLC",Grasshopper Club,2551 N Milwaukee Ave 1st,Fl Chicago,IL,60647,(773) 697-3191,02/01/2023,284.000187-AUDO,Active Adult Use
"Kush21 Chicago, LLC.",Kush21 - Jacksonville,1112 Veterans Dr,Jacksonville,IL,62650,(217) 408-1246,02/09/2023,284.000213-AUDO,Active Adult Use
"THF Illinois, LLC DBA Greenlight",Greenlight Dispensary - Park City,"3331 Belvidere Rd Suites B, & C",Park City,IL,60085,,02/27/2023,284.000288-AUDO,Active Adult Use
NLJ Partners LLC,Lux Leaf Dispensary,5539 Miller Circle Dr,Matteson,IL,60443,(708) 905-4500,03/14/2023,284.000296-AUDO,Active Adult Use
Deer Park Partners LLC,Phili Dispensary,"Locke Dr Bourbonnais, IL, 60914",,,,(847) 528-8753,03/21/2023,284.000229-AUDO,Active Adult Use
"World of Weed, INC",Ivy Hall - Waukegan,996 S Waukegan Rd,Waukegan,IL,60085,(855) 489-4255,03/22/2023,284.000180-AUDO,Active Adult Use
Fortunate Sons Partners LLC,Cloud9 Cannabis,505 W Town Center Blvd,Champaign,IL,61822,(217) 866-0905,03/22/2023,284.000259-AUDO,Active Adult Use
"The Homecoming Group, LLC",Ascend by Homecoming,16200 Harlem Ave Tinley,Park,IL,60477,(312) 535-5720,04/10/2023,284.000235-AUDO,Active Adult Use
"Joint Ventures 1, LLC.",Consume – St.Charles,584 S Randall Rd St,Charles,IL,60174,(630) 931-2800,04/17/2023,284.000295-AUDO,Active Adult Use
River Bluff Cannabis Inc.,River Bluff Cannabis,1350 Lake St,Roselle,IL,60172,(847) 306-9916,04/18/2023,284.000205-AUDO,Active Adult Use
"NMG IL 4, LLC.",BaM Body and Mind,3063 W 159th St,Markham,IL,60428,(708) 224-7897,04/20/2023,284.000159-AUDO,Active Adult Use
Fortunate Sons Partners LLC,Cloud9 Cannabis,2341 Plum St,Edwardsville,IL,62025,(618) 685-0801,04/24/2023,284.000304-AUDO,Active Adult Use
"World of Weed, INC",Ivy Hall - Montgomery,"1970 Caterpillar Dr, 2061",Montgomery,IL,60538,(855) 489-5255,04/25/2023,284.000181-AUDO,Active Adult Use
"IllinoisCannabis49, Inc.",AltonDispensary,1400 E Broadway,Alton,IL,62002,(618) 330-0420,05/09/2023,,Active Adult Use
"G+F Ashland, LLC",Spark’d – Wicker Park,1212 N Ashland Ave,Chicago,IL,60622,(708) 856-8924,05/22/2023,,Active Adult Use
"Canna Ventures, LLC",OKAY Cannabis – West Town,1914 W Chicago Ave,Chicago,IL,60622,(312) 804-5316,05/27/2023,,Active Adult Use
"CTY Enterprises, LLC",Green Temple,904 Edwardsville Rd,Troy,IL,62294,(618) 505-0054,06/05/2023,284.000168-AUDO,Active Adult Use
IL- LUSTRIOUS VETERANS' UNIT II LLC,Key Cannabis - Carbondale,1010 E Main St,Carbondale,IL,62901,(618) 457-7322,06/07/2023,284.000215-AUDO,Active Adult Use
"V3 Illinois Vending, LLC",Terrabis - Grayville,105 Koehler St,Grayville,IL,62844,(314) 714-6585,,284.000227-AUDO,Active Adult Use
World of Weed Inc.,Ivy Hall - Bolingbrook,361 S Bolingbrook Drive,Bolingbrook,IL,60440,(855)-489-4255,,284.000183-AUDO,Active Adult Use
"Exxotic Strains, LLC",Aroma Hill,"1237 North Barrington, Road",Hoffman Estates,IL,60169,(773)-936-4527,,284.000287-AUDO,Active Adult Use
"Kana Grove North, LLC",Stash Peru,1320 38th Street,Peru,IL,61354,(815)-224-1137,,284.000170-AUDO,Active Adult Use
"Kana Grove North, LLC",Stash Orland Hills,9545 167th Street,Orland Hills,IL,60467,(708)-428-2296,,284.000281-AUDO,Active Adult Use
Deeprootz LLC,Terrace – Moline,2727 Avenue of the Cities,Moline,IL,61265,,,284.000175-AUDO,Active Adult Use
"INDUS365, LLC",Mystic Greenz - Decatur,5045 Indus Drive,Decatur,IL,62522,(248)-703-3410,,284.000312-AUDO,Active Adult Use
G+F Streamwood LLC,Spark'd Streamwood,1594 Buttitta Drive,Streamwood,IL,60107,,,284.000194-AUDO,Active Adult Use
"Vertical Management Cary, LLC",Vertical Dispensary,20 Northwest Hwy,Cary,IL,60013,847-516-9333,,284.000300-AUDO,Active Adult Use
"Family Roots, LLC",Grasshopper Club - Roosevelt,"58 E. Roosevelt Road, 1st, Floor,",Chicago,IL,60605,(773)-697-3191,,284.000188-AUDO,Active Adult Use
"VILL-OPS, INC (DBA VIOLA)",Viola CHI,"1516 Roosevelt Rd.,",Broadview,IL,60155,(773)-997-0258,,284.000207-AUDO,Active Adult Use
"G+B Winthrop, LLC",Spark'd – Winthrop Harbor,"935 Sheridan Rd, 1633",Winthrop Harbor,IL,60096,,,284.000272-AUDO,Active Adult Use
"World of Weed, INC",Ivy Hall - Glendale Heights,"2130 Bloomingdale Rd,, Unit B, Glendale Heights, IL, 60139",,,,(855)-489-4255,,284.000182-AUDO,Active Adult Use
"KXD PARTNERS, LLC",Karma Club,"1590 N. Clybourn Ave., Chicago, IL, 60642",,,,(773)-454-6751,,284.000263-AUDO,Active Adult Use
NIRVANA MANAGEMENT CORPORATION,Socíale,"1036 W Higgins Rd, Park",Ridge,IL,60068,,,284.000317-AUDO,Active Adult Use
"HIGH HAVEN DISPENSARY, LLC",High Haven Dispensary,"8131 S. Cass Ave, Darien, IL. 60561, (331)777-9993",,,,,,284.000328-AUDO,Active Adult Use
Blounts & Moore LLC,Market 96 - Oswego,"1144 Douglas Road,",Oswego,IL,60543,(847)-687-6604,,284.000238-AUDO,Active Adult Use
"Triumph 7 Investments, LLC",Snap Canna – Elk Grove Village,840 E. Higgins Road,Elk Grove Village,IL,60007,(847)-409-2877,,284.000222-AUDO,Active Adult Use
Holy Vana LLC,Namaste Cannabis & Wellness,6119 A East Avenue,Hodgkins,IL,60525,(708)-402-4232,,284.000279-AUDO,Active Adult Use
"SHARE. Consolidated, LLC",SHARE,"3600 S. 06th St.,",Springfield,IL,62703,(217)-725-5614,,284.000346-AUDO,Active Adult Use
"Parkway Dispensary, LLC",Parkway Dispensary,"2 Donna Drive, Suite 1",Tilton,IL,61833,(219)-309-3090,,284.000173-AUDO,Active Adult Use
"Earth's Design Recreational Dispensary, LLC",Starbuds - Riverside,2704 S. Harlem Ave.,Riverside,IL,60546,(312)-894-0130,,284.000268-AUDO,Active Adult Use
"Navada Labs, LLC",Blyss Dispensary,610B S. 42nd Street,Mount Vernon,IL,62864,,,284.000226-AUDO,Active Adult Use
"Project Equity Illinois, Inc.",Cookies - Bloomington,"1006 Jc Pkwy, 5021",Bloomington,IL,61705,,,284.000321-AUDO,Active Adult Use
Allgreens Dispensary LLC,Thrive Dispensary - Casey,912 N Route 49,Casey,IL,62420,(217)-780-7122,,284.000171-AUDO,Active Adult Use
"Illinois Kindness, LLC",Consume Antioch,"453 Main St, Unit B,",Antioch,IL,60002,(224)-788-7801,,284.000294-AUDO,Active Adult Use
"HeartLand Leaf, LLC",Aroma Hill - Belvidere,1874 Crystal Parkway,Belvidere,IL,61008,(847)-906-8701,10/11/2023,284.000165-AUDO,Active Adult Use
"G+B Richmond, LLC",Spark’d – Richmond,9705 Prairie Rdg,Richmond,IL,60071,,10/18/2023,284.000273-AUDO,Active Adult Use
"Triumph 7 Investments, LLC",Snap Canna - Pontiac,1910 W Reynolds St Unit A,Pontiac,IL,61764,(847)-409-2877,10/24/2023,284.000225-AUDO,Active Adult Use
"Island Thyme, LLC",Be. – Blue Island,"12720 South Western, Avenue, Blue Island, IL, 60406",,,,(708)-277-4154,,284.000245-AUDO,Active Adult Use
"DMR Wellness, LLC.",Lyfe Dispensary,6774 Troy Dr,Rockford,IL,61107,(815) 708-8710,,284.000224-AUDO,Active Adult Use
"ILLINOIS WORKS, LLC",Aroma Hill - Kankakee,2255 E Court St,Kankakee,IL,60901,(815) 421-9420,11/13/2023,284.000219-AUDO,Active Adult Use
"Canndid Spirit Too, LLC",Excelleaf Dispensary,305 E Locust St,Dekalb,IL,60115,(815) 421-9420,11/15/2023,284.000231-AUDO,Active Adult Use
InLabs 3 LLC,Ascend Cannabis Outlet by InLabs,39 W North Ave,Northlake,IL,60164,(708) 546-3039,11/16/2023,284.000197-AUDO,Active Adult Use
"Indus365 Lincoln, LLC",Mystic Greenz - Lincoln,1120 Woodlawn Rd,Lincoln,IL,62656,(217) 651-6968,11/20/2023,284.000353-AUDO,Active Adult Use
"Green & Campbell, LLC",Glenwood Dispensary,18425 S Halsted St,Glenwood,IL,60425,(708) 964-0420,11/21/2023,284.000149-AUDO,Active Adult Use
"Planet 13 Illinois, LLC",Planet 13 - Waukegan,4000 Northpoint Blvd,Waukegan,IL,60085,,11/22/2023,284.000162-AUDO,Active Adult Use
Bolden Investments I LLC,Stashouse - Moline,4301 44th Ave,Moline,IL,61265,,11/22/2023,284.000174-AUDO,Active Adult Use
"GRI HOLDINGS, LLC",Green Rose - Lincolnwood,4656 W Touhy Ave,Lincolnwood,IL,60712,,,284.000249-AUDO,Active Adult Use
"PROJECT EQUITY ILLINOIS, INC",Cookies - Peoria Heights,1209 E War Memorial Dr,Peoria Heights,IL,61616,,,284.000319-AUDO,Active Adult Use
"EARTHMED, LLC",Earthmed - McHenry,1711 N Richmond Rd,McHenry,IL,60051,(779) 244-5817,,284.000144-AUDO,Active Adult Use
"World of Weed, INC",Ivy Hall - Peoria,3929 W. War Memorial Dr,Peoria,IL,61615,,12/12/2023,284.000230-AUDO,Active Adult Use
Green Skies - Illinois 1 LLC,Noxx - East Peoria,300 S Main St,East Peoria,IL,61611,,,284.000209-AUDO,Active Adult Use
Bolden Investments III LLC,High Profile Cannabis Shop,4211 Conestoga Dr,Springfield,IL,62711,(217) 993-8576,,284.000178-AUDO,Active Adult Use
"World of Weed, INC",Ivy Hall - Logan Square,3115 W Armitage Ave,Chicago,IL,60647,(773) 828-6259,,284.000184-AUDO,Active Adult Use
Mint Ventures LLC,Cookies - Chicago,215 N Clinton St,Chicago,IL,60661,(312) 313-7374,,284.000157-AUDO,Active Adult Use
"G+F Wabash, LLC",Spark'd Dispensary - South Loop,2114 S Wabash Ave,Chicago,IL,60616,(312) 253-1504,,284.000192-AUDO,Active Adult Use
Bolden Investments I LLC,Stashouse - Maryville,2533 Vandalia St,Collinsville,IL,62234,(618) 855-1080,,284.000167-AUDO,Active Adult Use
CESAM LLC,OKAY Cannabis Dispensary - Evanston,100 Chicago Ave,Evanston,IL,60202,(773) 257-7559,,284.000143-AUDO,Active Adult Use
Galaxy 1 Inc.,Stash – Richton Park,22214 Governors Hwy,Richton Park,IL,60471,,,284.000244-AUDO,Active Adult Use
"Fly Society Group of Aurora, LLC",AuraLight - Aurora,1350 N Orchard Rd,Aurora,IL,60506,(331) 249-8900,,284.000190-AUDO,Active Adult Use
"Botavi Wellness, LLC",Nirvana Dispensary – Palatine,333 East Lake Cook Rd,Palatine,IL,60074,(847) 637-5740,,284.000250-AUDO,Active Adult Use
Island Thyme LLC,Be. - Oak Forest,5940 159th St,Oak Forest,IL,60452,(708)-575-4313,,284.000246-AUDO,Active Adult Use
"Subsero Emerald Ops, LLC",Terrace - Alton,1400 E Broadway,Alton,IL,62002,(618) 330-0420,,284.000258-AUDO,Active Adult Use
Veltiste ILLINOIS LLC,Bisa Lina – Carol Stream,"720 E North Ave, 2129",Carol Stream,IL,60188,(630)-332-8822,,284.000318-AUDO,Active Adult Use
GRD ILLINOIS LLC,Green Releaf - Bourbonnais,"1660 N State Route 50, 9304",Bourbonnais,IL,60914,(779)-701-5159,,284.000311-AUDO,Active Adult Use
"Canna Verde, LLC",Ivy Hall - Streamwood,"630 S Sutton Rd, 2368",Streamwood,IL,60107,(224)-331-0237,,284.000141-AUDO,Active Adult Use
"ILLINOIS WORKS, LLC",Aroma Hill - Fox Lake,1298 S US Highway 12,Fox Lake,IL,60020,(845)-865-8420,,284.000154-AUDO,Active Adult Use
KAP-JG LLC,Sway,3340 N Halsted St,Chicago,IL,60657,,,284.000200-AUDO,Active Adult Use
Fello Inc.,Cloud 9 - East Peoria,406 W Camp St,East Peoria,IL,61611,(309) 209-5001,,284.000303-AUDO,Active Adult Use
"Green and Randle, LLC",Bud and Rita's – Chicago,3425 W Belmont Ave,Chicago,IL,60618,,,284.000276-AUDO,Active Adult Use
"Seven Point of Illinois, LLC",Seven Point - Danville,380 Eastgate Dr,Danville,IL,61834,(217) 481-3420,,284.000316-AUDO,Active Adult Use
