index,name,name_slug,dba,dba_slug,type,url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_usda,license_state,license_other,delivery,sells_seeds,duplicate
US-0000050,1543 Newton LLC,1543-newton-llc,1543 Newton LLC,1543-newton-llc,cultivator,,,,CA,,US,,,(213) 567-4201,Jesse@shrynegroup.Com,,CCL21-0004552,FALSE,FALSE,TRUE,FALSE
US-0000051,164 Buck LLC,164-buck-llc,164 Buck LLC,164-buck-llc,cultivator,,,,CA,,US,,,(210) 273-6024,Jamesgreenfield1@gmail.Com,,CCL19-0002045,FALSE,FALSE,TRUE,FALSE
US-0000052,1650 CRANE STREET DISPENSARY LLC,1650-crane-street-dispensary-llc,1650 CRANE STREET DISPENSARY LLC,1650-crane-street-dispensary-llc,dispensary,,1650 Crane St Ste 1,Schenectady,NY,12303,US,42.78936,-73.94404,,,,OCM-RETL-24-000138,FALSE,FALSE,TRUE,FALSE
US-0000053,"17325 Muskrat, Inc",17325-muskrat-inc,"17325 Muskrat, Inc",17325-muskrat-inc,other,,,,CA,,US,,,(818) 306-4444,Nshano@hotmail.Com,,C11-0001599-LIC,FALSE,FALSE,TRUE,FALSE
US-0000054,"17325 MUSKRAT, INC",17325-muskrat-inc,"17325 MUSKRAT, INC",17325-muskrat-inc,cultivator,,,,CA,,US,,,(909) 297-6825,17325muskratinc@gmail.Com,,CCL21-0002236,FALSE,FALSE,TRUE,FALSE
US-0000055,"17325 Muskrat, Inc",17325-muskrat-inc,"17325 Muskrat, Inc",17325-muskrat-inc,cultivator,,,,CA,,US,,,(818) 306-4444,Nshano@hotmail.Com,,CCL23-0000610,FALSE,FALSE,TRUE,FALSE
US-0000056,1784 Shaw Retail LLC,1784-shaw-retail-llc,Embarc,embarc,dispensary,,1784 W Shaw Ave,Fresno,CA,93711,US,36.8087,-119.825936,(916) 573-2448,Licensing@goembarc.Com,,C10-0001442-LIC,FALSE,FALSE,TRUE,FALSE
US-0000057,1790 POPE VALLEY LLC,1790-pope-valley-llc,CANNA TEK,canna-tek,cultivator|dispensary,,1790 Pope Valley Ranch Road,Pueblo,CO,81005,US,38.2275694,-104.9608211,,,,403R-00885,FALSE,FALSE,TRUE,FALSE
US-0000058,"17k Muskrat 1, Inc.",17k-muskrat-1-inc,"17k Muskrat 1, Inc.",17k-muskrat-1-inc,cultivator,,,,CA,,US,,,(714) 717-1145,Dbbnv@yahoo.Com,,CCL20-0000276,FALSE,FALSE,TRUE,FALSE
US-0000059,"17k Muskrat 2, Inc.",17k-muskrat-2-inc,"17k Muskrat 2, Inc.",17k-muskrat-2-inc,cultivator,,,,CA,,US,,,(714) 717-0400,Sakotatarian@yahoo.Com,,CCL19-0005395,FALSE,FALSE,TRUE,FALSE
US-0000060,"17k Muskrat 2, Inc.",17k-muskrat-2-inc,"17k Muskrat 2, Inc.",17k-muskrat-2-inc,other,,,,CA,,US,,,(714) 717-0400,Sakotatarian@yahoo.Com,,C11-0001149-LIC,FALSE,FALSE,TRUE,FALSE
US-0000061,"17k Muskrat 2, Inc.",17k-muskrat-2-inc,"17k Muskrat 2, Inc.",17k-muskrat-2-inc,other,,,,CA,,US,,,(714) 717-0400,Sakotatarian@yahoo.Com,,DCC-10004109,FALSE,FALSE,TRUE,FALSE
US-0000062,17th St Retail LLC,17th-st-retail-llc,17th St Retail,17th-st-retail,dispensary,,124 E 17th St,Costa Mesa,CA,92627,US,33.6371852,-117.9208975,(323) 744-1738,Peter@distillateco.Com,,C10-0001102-LIC,FALSE,FALSE,TRUE,FALSE
US-0000063,1854 Newport Investments LLC,1854-newport-investments-llc,Mr Nice Guy Marijuana Cannabis Dispensary Costa Mesa,mr-nice-guy-marijuana-cannabis-dispensary-costa-mesa,dispensary,,1854 Newport Blvd,Costa Mesa,CA,92627,US,33.641912,-117.917421,(949) 750-5674,1854newportinvest@gmail.Com,,C10-0001197-LIC,FALSE,FALSE,TRUE,FALSE
US-0000064,1858 TANEN RETAIL LLC,1858-tanen-retail-llc,1858 TANEN RETAIL LLC,1858-tanen-retail-llc,dispensary,,1858 Tanen St,Napa,CA,94559,US,38.307369,-122.286133,(916) 870-8067,Horizoncollective@yahoo.Com,,C10-0001235-LIC,FALSE,FALSE,TRUE,FALSE
US-0000065,"190 N 20th Street, Inc.",190-n-20th-street-inc,"190 N 20th Street, Inc.",190-n-20th-street-inc,dispensary,,190 N 20th ST,Battle Creek,MI,49015,US,42.31175103,-85.21910897,,,,AU-R-001117,FALSE,FALSE,TRUE,TRUE
US-0000066,190 SAM LLC,190-sam-llc,190 SAM LLC,190-sam-llc,other,,,,CA,,US,,,(949) 903-9136,Jonas@herbes.Com,,C11-0002007-LIC,FALSE,FALSE,TRUE,FALSE
US-0000067,190 SAM LLC,190-sam-llc,190 SAM LLC,190-sam-llc,other,,,,CA,,US,,,(949) 903-9136,Jonas@herbes.Com,,DCC-10005078,FALSE,FALSE,TRUE,FALSE
US-0000068,191 LAFAYETTE RD DISPENSARY COMPANY LLC,191-lafayette-rd-dispensary-company-llc,191 LAFAYETTE RD DISPENSARY COMPANY LLC,191-lafayette-rd-dispensary-company-llc,dispensary,,238 Lafayette Road,Salisbury,MA,1952,US,42.87148,-70.869087,516-776-2305,ganeshwellnessinc@gmail.com,,MR282740,FALSE,FALSE,TRUE,FALSE
US-0000069,1919 Building Inc,1919-building-inc,1919 Building Inc,1919-building-inc,other,,,,CA,,US,,,(818) 279-3680,Av.Globalremodeling@gmail.Com,,DCC-10004838,FALSE,FALSE,TRUE,FALSE
US-0000070,"1919 Building, Inc",1919-building-inc,"1919 Building, Inc",1919-building-inc,other,,,,CA,,US,,,(818) 279-3680,Av.Globalremodeling@gmail.Com,,C11-0001839-LIC,FALSE,FALSE,TRUE,FALSE
US-0000071,19701 NEW BUFFALO BUSINESS LLC,19701-new-buffalo-business-llc,19701 NEW BUFFALO BUSINESS LLC,19701-new-buffalo-business-llc,dispensary,,19703 W US 12,NEW BUFFALO,MI,49117,US,41.7618144,-86.79816822,,,,AU-R-001490,FALSE,FALSE,TRUE,FALSE
US-0000072,"19841 Ventura and Hope, LLC [Equity Retailer]",19841-ventura-and-hope-llc-equity-retailer,"19841 Ventura and Hope, LLC [Equity Retailer]",19841-ventura-and-hope-llc-equity-retailer,dispensary,,19841 Ventura Blvd,Woodland HLS,CA,91364,US,34.172552,-118.565369,(714) 273-1308,Rafealhenderson072@gmail.Com,,C10-0001285-LIC,FALSE,FALSE,TRUE,FALSE
US-0000073,1CONNECTION LLC,1connection-llc,1CONNECTION LLC,1connection-llc,dispensary,,200 Williams Street,Dighton,MA,2764,US,41.869095,-71.165059,617-335-0004,rcaruso@1connectioncare.com,,MR282401,FALSE,FALSE,TRUE,FALSE
US-0000074,1CURE LLC,1cure-llc,1CURE LLC,1cure-llc,cultivator|dispensary,,7835 Maverick Lane,Ordway,CO,81063,US,38.2180608,-103.7560606,,,,403-01998|403R-01401,FALSE,FALSE,TRUE,FALSE
US-0000075,1l Botanicals LLC,1l-botanicals-llc,MFN OIL CO.,mfn-oil-co,other,,,,CA,,US,,,(415) 404-5433,Peter@oneloghouse.Com,,DCC-10003508,FALSE,FALSE,TRUE,FALSE
US-0000076,1L GARDEN SUPPLY,1l-garden-supply,1L GARDEN SUPPLY,1l-garden-supply,cultivator,,,,CA,,US,,,(415) 302-4688,Peter@oneloghouse.Com,,CCL18-0001202,FALSE,FALSE,TRUE,FALSE
US-0000077,1L GARDEN SUPPLY,1l-garden-supply,1L GARDEN SUPPLY,1l-garden-supply,cultivator,,,,CA,,US,,,(415) 302-4688,Peter@oneloghouse.Com,,CCL18-0003694,FALSE,FALSE,TRUE,FALSE
US-0000078,1l Tree Lounge LLC,1l-tree-lounge-llc,"One Log, Cookies",one-log-cookies,dispensary,,"705 Us Highway 101, C4",Garberville,CA,95542,US,40.010042,-123.790141,(707) 267-4796,Admin@oneloghouse.Com,,C10-0000190-LIC,FALSE,FALSE,TRUE,FALSE
US-0000079,1ldx LLC,1ldx-llc,1LDX,1ldx,other,,,,CA,,US,,,(408) 797-9800,Ian@oneloghouse.Com,,C11-0000342-LIC,FALSE,FALSE,TRUE,FALSE
US-0000080,"1PN, LLC",1pn-llc,"1PN, LLC",1pn-llc,cultivator,,,,CA,,US,,,(864) 979-4797,Matt@lifted-Organics.Com,,CCL24-0000156,FALSE,FALSE,TRUE,FALSE
US-0000081,1WILDE1 LLC,1wilde1-llc,WILDE ROOTS DISPENSARY,wilde-roots-dispensary,dispensary,,4179 State Route 20,Castleton,NY,12033,US,42.54215,-73.66573,,,,OCM-RETL-24-000081,FALSE,FALSE,TRUE,FALSE
US-0000082,2 Forest Park Lane LLC,2-forest-park-lane-llc,Charlie Fox,charlie-fox,dispensary,shopcharliefox.com,719 7th Ave,New York,NY,10036,US,40.75973,-73.9842,,,,OCM-RETL-24-000254,FALSE,FALSE,TRUE,FALSE
US-0000085,20 PAST 4|20 Past 4,20-past-4,20 PAST 4|20 Past 4,20-past-4,dispensary|other,,3590 Ann Arbor RD,Jackson,MI,49202,US,42.25926522,-84.35052456,,,,AU-R-000160|PC-000358,FALSE,FALSE,TRUE,FALSE
US-0000086,"2000 S La Cienega And Hope, LLC [Equity Retailer]",2000-s-la-cienega-and-hope-llc-equity-retailer,DOPE SUGAR [Equity Retailer],dope-sugar-equity-retailer,dispensary,,2000 La Cienega Blvd S,Los Angeles,CA,90034,US,34.040118,-118.376753,(310) 402-3113,Khadijahallen052@gmail.Com,,C10-0000873-LIC,FALSE,FALSE,TRUE,FALSE
US-0000087,201 East 30th Corp.,201-east-30th-corp,SMILEY EXOTICS,smiley-exotics,dispensary,,201 E 30th St,New York,NY,10016,US,40.74309,-73.97963,,,,OCM-CAURD-24-000096,FALSE,FALSE,TRUE,FALSE
US-0000088,"2015 Halladay Wellness, Inc.",2015-halladay-wellness-inc,West Clinik,west-clinik,dispensary,,"2110 Yale St S, Unit A",Santa Ana,CA,92704,US,33.71891266,-117.9168768,(714) 462-5221,Halladaywellness@gmail.Com,,C10-0000402-LIC,FALSE,FALSE,TRUE,FALSE
US-0000089,2018fmo LLC,2018fmo-llc,Originals,originals,dispensary,,6220 1/3 Federal Blvd,San Diego,CA,92114,US,32.7333773,-117.0572427,(323) 595-4793,2018fmo@gmail.Com,,C10-0000775-LIC,FALSE,FALSE,TRUE,FALSE
US-0000090,2018hmpf LLC,2018hmpf-llc,HiKei Cannabis,hikei-cannabis,other,,3940 Home Ave,San Diego,CA,92105,US,32.720483,-117.11033,(619) 405-0298,Amaaronmagagna@gmail.Com,,C12-0000332-LIC,FALSE,FALSE,TRUE,FALSE
US-0000091,"202 TRADING COMPANY, INC. D/B/A BUD BARN",202-trading-company-inc-dba-bud-barn,"202 TRADING COMPANY, INC. D/B/A BUD BARN",202-trading-company-inc-dba-bud-barn,dispensary,,682 Spring Street,Winchendon,MA,1475,US,42.66638,-72.00857,508-380-3338,jldalyjr@yahoo.com,,MR281735,FALSE,TRUE,FALSE,TRUE
US-0000092,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,2020-cannabis-solutions-mt-baker-highway,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,2020-cannabis-solutions-mt-baker-highway,dispensary,,1706 MT BAKER HWY,BELLINGHAM,WA,98226,US,48.8033536,-122.3989307,3607342020,,,355469,FALSE,TRUE,FALSE,FALSE
US-0000093,2020 Long Beach LLC,2020-long-beach-llc,2020 Long Beach LLC,2020-long-beach-llc,other,,,,CA,,US,,,(818) 667-2780,Alexrahardja@gmail.Com,,C11-0001115-LIC,FALSE,TRUE,FALSE,FALSE
US-0000094,2020 Long Beach LLC,2020-long-beach-llc,2020 Long Beach LLC,2020-long-beach-llc,other,,,,CA,,US,,,(818) 268-8000,Afakheri@gmail.Com,,DCC-10003476,FALSE,TRUE,TRUE,TRUE
US-0000095,2020 Railroad Holdings LLC,2020-railroad-holdings-llc,2020 Railroad Holdings LLC,2020-railroad-holdings-llc,cultivator,,,,CA,,US,,,(916) 799-9449,Tsheridan@sheridanlawgrp.Com,,CCL22-0001325,FALSE,TRUE,TRUE,TRUE
US-0000096,"2020 Railroad Holdings, LLC",2020-railroad-holdings-llc,"2020 Railroad Holdings, LLC",2020-railroad-holdings-llc,cultivator,,,,CA,,US,,,(805) 441-5014,Licensing@railroadholdings.Com,,CCL25-0000151,FALSE,TRUE,TRUE,TRUE
US-0000097,"2020 Railroad Holdings, LLC",2020-railroad-holdings-llc,"2020 Railroad Holdings, LLC",2020-railroad-holdings-llc,other,,,,CA,,US,,,(916) 582-8005,Licensing@railroadholdings.Com,,C11-0001905-LIC,FALSE,TRUE,TRUE,TRUE
US-0000098,2020 SOLUTIONS EPHRATA,2020-solutions-ephrata,2020 SOLUTIONS EPHRATA,2020-solutions-ephrata,dispensary,,1615 BASIN ST SW,EPHRATA,WA,988232134,US,47.30462212,-119.5633306,3609154944,,,422239,FALSE,TRUE,TRUE,TRUE
US-0000099,2020 SOLUTIONS IRON STREET,2020-solutions-iron-street,2020 SOLUTIONS IRON STREET,2020-solutions-iron-street,dispensary,,2018 IRON ST STE A,BELLINGHAM,WA,98226,US,48.75672806,-122.4662873,2068180966,,,415470,FALSE,TRUE,TRUE,TRUE
US-0000100,2020 SOLUTIONS PACIFIC HIGHWAY,2020-solutions-pacific-highway,2020 SOLUTIONS PACIFIC HIGHWAY,2020-solutions-pacific-highway,dispensary,,4770 PACIFIC HWY STE A,BELLINGHAM,WA,98226,US,48.81328128,-122.543462,3607342020,,,420908,FALSE,TRUE,TRUE,TRUE
US-0000101,"203 Organix, Llc",203-organix-llc,SWC Prescott,swc-prescott,other,,123 E Merritt St,Prescott,AZ,86301,US,34.55488846,-112.4690974,(312) 819-5061,,,00000070ESCO78837103,FALSE,TRUE,TRUE,TRUE
US-0000103,"2074 Armory, Inc.",2074-armory-inc,Jane Dispensary,jane-dispensary,dispensary,,2074 Armory Dr,Santa Rosa,CA,95401,US,38.4576583,-122.7253633,(707) 529-8385,Mario@janeandcompany.Com,,C10-0000861-LIC,FALSE,TRUE,FALSE,FALSE
US-0000104,"208 WORCESTER STREET, LLC",208-worcester-street-llc,"208 WORCESTER STREET, LLC",208-worcester-street-llc,dispensary,,208 Worcester Street,Southbridge,MA,1550,US,42.08366,-72.0266,508-943-7800,nick@lakeshorelegalsolutions.com,,MR283652,FALSE,TRUE,TRUE,FALSE
