License_Number,UBI,Trade_Name,Licensee,Privilege_Status,Privilege_Type,Street,Suite,City,State,ZIP,County,Phone,Expiration_Date,Mailing_Address,SE_Retailer
422168,6035559160010003,A GREENER TODAY MARIJUANA-GOLD BAR,,ACTIVE (ISSUED),CANNABIS RETAILER,16810 415TH AVE SE STE A-2,,GOLD BAR,WA,98251,SNOHOMISH,4257736037,,,
422109,6035559160010002,A GREENER TODAY MARIJUANA-LYNNWOOD,,ACTIVE (ISSUED),CANNABIS RETAILER,14608 HWY 99 SUITE #304,,LYNNWOOD,WA,98087,SNOHOMISH,4257736037,,,
402107,6034501390010002,A GREENER TODAY RECREATIONAL,,CLOSED (PERMANENT),CANNABIS RETAILER,10522 LAKE CITY WAY NE STE,C103 & C104,SEATTLE,WA,981250000,KING,4257736021,,,
426039,6035146970010003,A GREENER TODAY WALLA WALLA,,ACTIVE (ISSUED),CANNABIS RETAILER,655 WEST POPLAR ST,,WALLA WALLA,WA,99362,WALLA WALLA,2063803608,,,
422849,6035939070010002,A PIPE DREAM,,CLOSED (PERMANENT),CANNABIS RETAILER,RETAIL TITLE CERTIFICATE,,MORTON,WA,983560000,LEWIS,2069632900,,,
422849,6035939070010002,A PIPE DREAM,,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,MORTON,WA,983560000,LEWIS,2069632900,,,
413896,6034341890010001,AARDVARK REEFEROLOGY,,CLOSED (PERMANENT),CANNABIS RETAILER,325 NE LECHNER ST,,CAMAS,WA,986070000,CLARK,3609075453,,,
421114,6047542880010001,ABCDEF LLC,,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,CAMAS,WA,986072454,CLARK,3609097037,,,
422765,6035572950010001,ACCESS CANIBUS LLC,,ACTIVE (ISSUED),CANNABIS RETAILER,3082 WAITTS LAKE RD,,VALLEY,WA,99181,STEVENS,3604703051,,,
422663,6043425950000000,ALIEN COMMANDER LLC,,CLOSED (PERMANENT),CANNABIS RETAILER,RETAIL TITLE CERTIFICATE,,BELLEVUE,WA,980040000,KING,2064099468,,,
422663,6043425950000000,ALIEN COMMANDER LLC,,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,BELLEVUE,WA,980040000,KING,2064099468,,,
421737,6033451150010006,ALL SPARK,,CLOSED (PERMANENT),CANNABIS RETAILER,1625 CENTER ST STE A,,TACOMA,WA,984097920,PIERCE,2063999999,,,
077000,6032719560010007,ALTERNATIVE MEDICINE COLLECTIVE,,CLOSED (PERMANENT),CANNABIS RETAILER,15041 BOTHELL WAY NE,,LAKE FOREST PARK,WA,981557603,KING,2069159212,,,
420895,6032719560010006,ALTERNATIVE MEDICINE COLLECTIVE,,CLOSED (PERMANENT),CANNABIS RETAILER,17917 VASHON HWY SW,,VASHON,WA,980705204,KING,9168359616,,,
414225,6033570900010001,ALTITUDE,,CLOSED (PERMANENT),CANNABIS RETAILER,260 MERLOT DR,,PROSSER,WA,993509533,BENTON,5097864200,,,
414225,6056243110010001,ALTITUDE,,ACTIVE (ISSUED),CANNABIS RETAILER,260 MERLOT DR,,PROSSER,WA,99350,BENTON,5093890676,,,
415486,6034023580010003,ALWAYS GREENER DOWNTOWN,,CLOSED (PERMANENT),CANNABIS RETAILER,15937 REDMOND WAY STE B,,REDMOND,WA,980523836,KING,4258615497,,,
415486,6035989000010001,ALWAYS GREENER DOWNTOWN,,CLOSED (PERMANENT),CANNABIS RETAILER,15937 REDMOND WAY STE B,,REDMOND,WA,980523836,KING,4258615497,,,
422954,6033525730010005,AMERICAN HARVEST,,ACTIVE (ISSUED),CANNABIS RETAILER,7550 US HWY 97,,PESHASTIN,WA,988470000,CHELAN,5033177035,,,
423431,6033525730010004,AMERICAN HARVEST,,CLOSED (PERMANENT),CANNABIS RETAILER,3014 GS CENTER RD STE D,,WENATCHEE,WA,988019144,CHELAN,5096301707,,,
421905,6032170680010006,AMERICAN POT SHOP,,CLOSED (PERMANENT),CANNABIS RETAILER,3005 NORTHVIEW CIRCLE,,SHELTON,WA,985842948,MASON,2063292223,,,
414649,6033580640010001,AMERICANNA WEED CO,,CLOSED (PERMANENT),CANNABIS RETAILER,320 N KELLOGG ST STE B,,KENNEWICK,WA,993364944,BENTON,4252100546,,,
421652,6033570100010002,ANACORTES CANNABIS,,ACTIVE (ISSUED),CANNABIS RETAILER,7656 STATE ROUTE 20 UNIT A,,ANACORTES,WA,982218311,SKAGIT,3605886222,,,
420941,6033264170010006,APEX CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,120 E MISSION AVE,,SPOKANE,WA,992021817,SPOKANE,5099983405,,,
421110,6033264170010002,APEX CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,955 W BROADWAY AVE,,MOSES LAKE,WA,988372602,GRANT,5094990646,,,
422447,6033264170010004,APEX CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,21502 E GILBERT AVE,,OTIS ORCHARDS,WA,990279241,SPOKANE,5094990646,,,
425767,6033264170010008,APEX CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,1325 N DIVISION ST STE 104,,SPOKANE,WA,992021808,SPOKANE,5094990646,,,
439988,6058995220010001,APEX MOSES LAKE,,ACTIVE (ISSUED),CANNABIS RETAILER,955 W BROADWAY AVE,,MOSES LAKE,WA,988372602,GRANT,2065082410,,,
440314,6058995220010003,APEX Otis Orchards,,ACTIVE (ISSUED),CANNABIS RETAILER,21502 E GILBERT AVE,,OTIS ORCHARDS,WA,990279241,SPOKANE,2065082410,,,
440307,6058995220010002,APEX SPOKANE,,ACTIVE (ISSUED),CANNABIS RETAILER,1325 N DIVISION ST STE 104,,SPOKANE,WA,992021808,SPOKANE,2065082410,,,
422420,6035889360010001,ARISTOCRAT CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,285 CANAL RD,,TOUTLE,WA,986499703,COWLITZ,2066596531,,,
422460,6047743750010001,ARISTOCRAT ENTERPRISES II,,ACTIVE (ISSUED),CANNABIS RETAILER,2947 E HWY 101  STE A,"B, SUITE A AND B",PORT ANGELES,WA,98362,CLALLAM,2062000462,,,
414450,6042912990010001,ARKY VANDELAY LLC,,CLOSED (PERMANENT),CANNABIS RETAILER,417 NW 65TH ST,,SEATTLE,WA,981175027,KING,0000000000,,,
422175,6035792630010001,AUDYSEA,,CLOSED (PERMANENT),CANNABIS RETAILER,5703 OLYMPIC HWY,,ABERDEEN,WA,985200000,GRAYS HARBOR,3605616972,,,
413530,6033549000010001,AUSTIN LOTT,,CLOSED (PERMANENT),CANNABIS RETAILER,29 HORIZON FLATS RD STE 8,,WINTHROP,WA,988628400,OKANOGAN,5094295556,,,
414381,6034023650000000,AWOW INC. (TITLE OWNER ONLY),,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,KENT,WA,980320000,KING,4258299707,,,
414558,6032410690010002,B STREET BUD,,CLOSED (TEMPORARY),CANNABIS RETAILER,400 BURDIN AVE,,GRAND COULEE,WA,99133,GRANT,5095929334,,,
085059,6033524760010006,BAD ASS WEED CO.,,CLOSED (PERMANENT),CANNABIS RETAILER,8459 MAIN ST  UNIT B,UNIT B,DRYDEN,WA,988210000,CHELAN,5092648044,,,
357353,6043079930000000,BARNIES GREENERY LLC (TITLE OWNER ONLY),,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,WINLOCK,WA,985969750,LEWIS,2532731260,,,
420478,6034395390010001,BATSTONE BUD SHOP,,CLOSED (PERMANENT),CANNABIS RETAILER,933 E JOHNS PRAIRIE RD,,SHELTON,WA,985841270,MASON,3604908753,,,
415127,6041578100010001,BAYSHORE CANNABIS CO,,ACTIVE (ISSUED),CANNABIS RETAILER,3831 HIGHWAY 3,,SHELTON,WA,98584,MASON,2062344663,,,
415544,6033558630010002,BB&B,,CLOSED (PERMANENT),CANNABIS RETAILER,RETAIL TITLE CERTIFICATE,,FEDERAL WAY,WA,980032406,KING,2532794511,,,
415544,6033558630010002,BB&B,,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,FEDERAL WAY,WA,980032406,KING,2532794511,,,
422298,6045863300010003,BELFAIR CANNABIS COMPANY,,ACTIVE (ISSUED),CANNABIS RETAILER,24090 NE STATE ROUTE 3 STE I,,BELFAIR,WA,985289665,MASON,4044063054,,,
415253,6033504230010001,BELLEVUE MARIJUANA,,CLOSED (PERMANENT),CANNABIS RETAILER,614 116TH AVE NE,,BELLEVUE,WA,980045206,KING,4254535749,,,
426125,6033504230010004,BELLEVUE MARIJUANA,,CLOSED (PERMANENT),CANNABIS RETAILER,638 116TH AVE NE,,BELLEVUE,WA,980045216,KING,4254535749,,,
422612,6035966060010001,BELLINGHAM MARIJUANA,,CLOSED (PERMANENT),CANNABIS RETAILER,5463 GUIDE MERIDIAN RD,,BELLINGHAM,WA,982269771,WHATCOM,2067553751,,,
424473,6041326560010004,BERNER'S TACOMA,,CLOSED (PERMANENT),CANNABIS RETAILER,2632 S 38TH ST STE A,,TACOMA,WA,984097304,PIERCE,2535031411,,,
414277,6033530980010001,BETTER BUDS,,CLOSED (PERMANENT),CANNABIS RETAILER,4235 OLYMPIC DR W,,BREMERTON,WA,983120000,KITSAP,2538964100,,,
421709,6035924360010001,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,841 NESS CORNER RD  STE B,STE B,PORT HADLOCK,WA,983399572,JEFFERSON,3607316611,,,
422525,6033530980010005,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,2840 E HWY 101,,PORT ANGELES,WA,98362,CLALLAM,3607316611,,,
425965,6033530980010004,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,10384 SILVERDALE WAY NW STE 10,,SILVERDALE,WA,98383,KITSAP,3607316611,,,
430175,6035765800010007,BETTER BUDS,,CLOSED (PERMANENT),CANNABIS RETAILER,946 WASHINGTON WAY STE 100,,LONGVIEW,WA,986324030,COWLITZ,3609676056,,,
430175,6046285230010001,BETTER BUDS,,ACTIVE (ISSUED),CANNABIS RETAILER,946 WASHINGTON WAY STE 100,,LONGVIEW,WA,98632,COWLITZ,3607033791,,,
427458,6035481120010006,BIG EYES LLC DBA BUDHUT,,CLOSED (PERMANENT),CANNABIS RETAILER,2616 NE 112TH AVE,,VANCOUVER,WA,986844284,CLARK,4252494949,,,
420338,6020200610010006,BIGTROPHY ENTERPRISES,,CLOSED (PERMANENT),CANNABIS RETAILER,401 RAINER AVE N STE 1,,RENTON,WA,980575319,KING,4257652935,,,
429761,6043510130010003,BIRCH BAY BUDZ,,ACTIVE (ISSUED),CANNABIS RETAILER,8125 BIRCH BAY SQUARE ST #222,,BLAINE,WA,98230,WHATCOM,5092094569,,,
415064,6045989840010001,BLAINE CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,922 PEACE PORTAL DR,,BLAINE,WA,982304409,WHATCOM,3603328922,,,
350766,6048652490010001,BLOOM,,CLOSED (PERMANENT),CANNABIS RETAILER,11311 HIGHWAY 99,,EVERETT,WA,982044816,SNOHOMISH,5038057828,,,
414103,6033549360010002,BLOOM,,CLOSED (PERMANENT),CANNABIS RETAILER,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,984446098,PIERCE,4254443456,,,
414103,6043447500010001,BLOOM,,CLOSED (PERMANENT),CANNABIS RETAILER,10707 PACIFIC AVE S SUITE D,,TACOMA,WA,984446098,PIERCE,8034131254,,,
414103,6048643700010001,BLOOM,,ACTIVE (ISSUED),CANNABIS RETAILER,"10707 PACIFIC AVE S STE E,F",,TACOMA,WA,984446098,PIERCE,5038057828,,,
350766,6033549360010003,BLOOM CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,11311 HWY 99,,EVERETT,WA,982044816,SNOHOMISH,4254443456,,,
350766,6043447500010002,BLOOM CANNABIS,,CLOSED (PERMANENT),CANNABIS RETAILER,11311 HWY 99,,EVERETT,WA,982044816,SNOHOMISH,4254056700,,,
414902,6030688930010002,BLOWIN SMOKE,,CLOSED (PERMANENT),CANNABIS RETAILER,545 C HWY 395 S,,COLVILLE,WA,991140000,STEVENS,5096758564,,,
422202,6030688930010003,BLOWIN SMOKE,,CLOSED (PERMANENT),CANNABIS RETAILER,1967 HIGHWAY 395 S STE C,,CHEWELAH,WA,991099708,STEVENS,5099357420,,,
422202,6040183840010003,BLOWIN SMOKE,,CLOSED (PERMANENT),CANNABIS RETAILER,1967 HIGHWAY 395 S STE C,,CHEWELAH,WA,991099708,STEVENS,5096756901,,,
415127,6033597820010001,BOMAR HOLDINGS,,CLOSED (PERMANENT),CANNABIS RETAILER,3831 HIGHWAY 3,,SHELTON,WA,985840000,MASON,2062952411,,,
436428,6055079200010001,BORED N BUZZED,,ACTIVE (ISSUED),CANNABIS RETAILER,11516 124TH AVE NE,,KIRKLAND,WA,980334643,KING,2062265888,,,
415241,6033536370010003,BOYDEN INVESTMENT GROUP,,CLOSED (PERMANENT),CANNABIS RETAILER,2215 4TH AVE S,,SEATTLE,WA,981341516,KING,5202508988,,,
422414,6035122630010001,BRIGHTON BAY 2,,CLOSED (PERMANENT),CANNABIS RETAILER,RETAIL TITLE CERTIFICATE,,LYNNWOOD,WA,980364715,SNOHOMISH,2063999999,,,
422414,6035122630010001,BRIGHTON BAY 2,,FORMER TITLE CERTIFICATE,RETAIL CERTIFICATE HOLDER,RETAIL TITLE CERTIFICATE,,LYNNWOOD,WA,980364715,SNOHOMISH,2063999999,,,
421335,6043374800010001,BUD BARN,,ACTIVE (ISSUED),CANNABIS RETAILER,6725 MARTIN WAY E,,OLYMPIA,WA,98516,THURSTON,3609601220,,,
428005,6040474400010004,BUD BARN,,CLOSED (PERMANENT),CANNABIS RETAILER,10619 VANCIL RD SE,,YELM,WA,985979504,THURSTON,3605397291,,,
428005,6043374800010002,BUD BARN,,ACTIVE (ISSUED),CANNABIS RETAILER,10619 VANCIL RD SE,,YELM,WA,98597,THURSTON,3609601220,,,
413802,6033518190010001,BUD COMMANDER,,ACTIVE (ISSUED),CANNABIS RETAILER,849 TROSPER RD SW STE 207,,TUMWATER,WA,98512,THURSTON,3606881709,,,
410831,6035699590010001,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,26207 MAPLE VALLEY BLACK,DIAMOND RD,MAPLE VALLEY,WA,980388378,KING,4257604345,,,
413901,6033591690010001,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,982828833,ISLAND,4254789928,,,
415361,6033525070010003,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,8142 HIGHWAY 14,,LYLE,WA,986350000,KLICKITAT,4254781077,,,
415504,6033594940010001,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,11603 HWY 99,,EVERETT,WA,982044811,SNOHOMISH,4253531449,,,
421568,6035481120010003,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,1717 NE ANDRESEN RD,,VANCOUVER,WA,986616890,CLARK,4257896996,,,
422781,6036026430010002,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,200 SUZANNE LANE STE D,,MOUNT VERNON,WA,982739514,SKAGIT,3606681111,,,
422792,6036026430010001,BUD HUT,,CLOSED (PERMANENT),CANNABIS RETAILER,2200 TALLEY WAY  STE A,SUITE A,KELSO,WA,986265511,COWLITZ,3606681111,,,
072437,6030294870010003,BUD NATION,,CLOSED (PERMANENT),CANNABIS RETAILER,9640 16TH AVE SW STE A,,SEATTLE,WA,981062827,KING,2068198898,,,
415203,6030294870010004,BUD NATION,,CLOSED (PERMANENT),CANNABIS RETAILER,9640 16TH AVE SW STE C & D,,SEATTLE,WA,981062827,KING,2065882441,,,
413893,6033590560010001,BUDDY'S,,ACTIVE (ISSUED),CANNABIS RETAILER,420 SUNSET BLVD N STE A,,RENTON,WA,98055,KING,4256819665,,,
420661,6035688640010001,BUDEEZ,,ACTIVE (ISSUED),CANNABIS RETAILER,2111 E 11TH ST,,BREMERTON,WA,983104810,KITSAP,3606207114,,,
410831,6045346320010005,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,26207 MAPLE VALLEY BLACK,DIAMOND RD #C,MAPLE VALLEY,WA,98038,KING,2066932900,,,
413901,6045346320010001,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,1131 E STATE ROUTE 532,,CAMANO ISLAND,WA,98282,ISLAND,2066932900,,,
415504,6045346320010002,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,11603 HWY 99,,EVERETT,WA,98204,SNOHOMISH,2066932900,,,
421642,6035699590010002,BUDHUT,,CLOSED (PERMANENT),CANNABIS RETAILER,8529 52ND ST SE,,SNOHOMISH,WA,982909282,SNOHOMISH,4257896996,,,
422332,6035726930010004,BUDHUT,,ACTIVE (ISSUED),CANNABIS RETAILER,70 SALTSPRING DR  UNIT 2A,UNIT 2A,FRIDAY HARBOR,WA,982509062,SAN JUAN,3606681111,,,
421005,6033500470010006,BUDS GARAGE,,CLOSED (PERMANENT),CANNABIS RETAILER,3015 EVERETT AVE,,EVERETT,WA,982013822,SNOHOMISH,4253219471,,,
437604,6033500470010010,BUDS GARAGE,,ACTIVE (ISSUED),CANNABIS RETAILER,2712 HEWITT AVE,,EVERETT,WA,982013740,SNOHOMISH,4253219471,,,
422362,6044551770000000,"C4U2, LLC (TITLE OWNER ONLY)",,CLOSED (PERMANENT),CANNABIS RETAILER,RETAIL TITLE CERTIFICATE,,VANCOUVER,WA,986658928,CLARK,3607987194,,,
