Phone Number,Dispensary,License,Address,City,Zip code,County,Last updated,latitude,longitude
573-247-4347,Trinity,DIS000133,205 State Route B,St. James,65559,Phelps,"March 11, 2026",38.007405,-91.617371
636-355-9333,C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000173,859 Robert Raymond Dr,Lake St. Louis,63367,St. Charles,"March 11, 2026",38.7709448,-90.7821112
872-302-0293,Greenlight Dispensary,DIS000107,218 N. National Avenue,Springfield,65802,Greene,"March 11, 2026",37.210264,-93.27558
314-369-8905,Terrabis,DIS000104,850 E Kearney St,Springfield,65803,Greene,"March 11, 2026",37.240429,-93.281141
816-831-3877,Key Cannabis Dispensary,DIS000102,751 S Glenstone Ave,Springfield,65802,Greene,"March 11, 2026",37.200607,-93.262562
417-708-7751,Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000094,1510 E Sunshine St,Springfield,65804,Greene,"March 11, 2026",37.181337,-93.268179
816-556-3101,Revival 98,DIS000095,2782 W Republic Rd,Springfield,65807,Greene,"March 11, 2026",37.13785,-93.335867
417-708-7796,Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000096,"3800 W Sunshine St, A",Springfield,65807,Greene,"March 11, 2026",37.18222407,-93.35613335
417-895-8733,"Old Route 66 Dispensary; Drive Thru, Old Route 66 Releaf; Old Route 66 Wellness Dispensary; Delivery",DIS000089,2823 N Glenstone Ave,Springfield,65803,Greene,"March 11, 2026",37.248099,-93.262172
312-925-1217,Hippos Marijuana Dispensary,DIS000087,2868 S Glenstone Ave,Springfield,65804,Greene,"March 11, 2026",37.161136,-93.261736
417-708-7756,Good Day Farm Dispensary; Good Day Farm; Gdf Dispensary,DIS000082,3903 S Campbell Ave,Springfield,65807,Greene,"March 11, 2026",37.1432412,-93.2961978
636-669-8177,Good Day Farm; Good Day Farm Dispensary; Gdf Dispensary,DIS000123,2008 Richardson Road,Arnold,63010,St. Louis,"March 11, 2026",38.418102297,-90.391580042
573-240-9416,Heya Dispensary,DIS000118,100 Strauss Dr,Park Hills,63601,St. Francois,"March 11, 2026",37.842662,-90.497004
573-247-4347,Trinity,DIS000125,803 W Scenic Rivers Blvd Ste A,Salem,65560,Dent,"March 11, 2026",37.635947,-91.543503
417-800-2200,"Blue Sage Cannabis Deli, Come See Your Buds",DIS000097,2929 The Loop,Carthage,64836,Jasper,"March 11, 2026",37.137253,-94.314
816-213-4852,Releaf Resources Dispensary,DIS000077,13836 S Us Highway 71,Grandview,64030,Jackson,"March 11, 2026",38.873415026,-94.528710807
660-722-0420,C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000192,2004 W Broadway Blvd.,Sedalia,65301,Pettis,"March 11, 2026",38.705681,-93.253472
816-318-9966,Missouri Health & Wellness Dispensary,DIS000146,1801 S Limit Ave,Sedalia,65301,Pettis,"March 11, 2026",38.696133,-93.250642
417-773-4605,Easy Mountain,DIS000110,7827 W. Farm Road 174,Republic,65738,Greene,"March 11, 2026",37.13302,-93.450742
573-568-8421,"Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis, C Cannabis Dispensary",DIS000217,4805 Osage Beach Parkway,Osage Beach,65065,Camden,"March 11, 2026",38.139220913,-92.635624536
636-735-9382,Heya Dispensary,DIS000168,4300 N Service Rd,St. Peters,63376,St. Charles,"March 11, 2026",38.798968014,-90.583376983
602-327-3858,Latitude Dispensary,DIS000164,6396 Osage Beach Pkwy,Osage Beach,65079,Camden,"March 11, 2026",38.100316,-92.684625
623-297-9109,The Mint Dispensary,DIS000161,150 Mid Rivers Mall Cir,St. Peters,63376,St. Charles,"March 11, 2026",38.798378,-90.61924
314-223-6680,Kind Goods Medical Dispensary; Kind Goods,DIS000159,3899 Veterans Memorial Pkwy,St. Peters,63376,St. Charles,"March 11, 2026",38.791358,-90.564841996
636-448-6021,Swade Dispensary,DIS000151,146 Jungermann Rd,St. Peters,63376,St. Charles,"March 11, 2026",38.7940233,-90.5770436
636-262-4163,Root 66 Dispensary,DIS000098,"3004 S Saint Peters Pkwy, Ste S",St. Peters,63303,St. Charles,"March 11, 2026",38.7498301,-90.5645648
573-557-4180,Latitude Dispensary,DIS000166,1812 Highway 52,Eldon,65026,Miller,"March 11, 2026",38.33433567,-92.58577392
573-301-9865,Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000189,812 Vandiver Dr,Columbia,65202,Boone,"March 11, 2026",38.970580147,-92.326638835
312-925-1217,Hippos Marijuana Dispensary,DIS000190,2500 Broadway Bluffs Dr # 102,Columbia,65201,Boone,"March 11, 2026",38.9475,-92.301122
573-777-9077,Fresh Karma Dispensaries; Fresh Karma,DIS000191,1407 Cinnamon Hill Lane,Columbia,65201,Boone,"March 11, 2026",38.933659,-92.292547
248-255-1283,High Profile Cannabis Shop; High Profile,DIS000182,"1500 Interstate 70 Dr Sw, Suite 1, 2, And 3",Columbia,65203,Boone,"March 11, 2026",38.9640907,-92.3630765
573-529-0312,Greenlight Dispensary,DIS000177,4003 Ponderosa St,Columbia,65201,Boone,"March 11, 2026",38.905627,-92.291698
573-462-0890,"Shangri-La, Shangri-La Dispensary",DIS000172,3919 Peachtree Dr,Columbia,65203,Boone,"March 11, 2026",38.906161,-92.335885
573-462-0890,"Shangri-La, Shangri-La Dispensary",DIS000167,"1401 Creekwood Pkwy, Suite # 102 And 103",Columbia,65202,Boone,"March 11, 2026",38.965055,-92.287841
573-507-6723,Green Releaf Dispensary,DIS000160,204 E Broadway,Columbia,65203,Boone,"March 11, 2026",38.951368,-92.33494
573-719-3252,"C Cannabis Dispensary, Codes Cannabis, Codes Cannabis Dispensary, Codes Supreme Cannabis",DIS000022,2000 Highway 61 S,Hannibal,63401,Ralls,"March 11, 2026",39.68481,-91.407061
636-299-7781,Feel State Dispensary,DIS000055,444 Howdershell Rd,Florissant,63031,St. Louis,"March 11, 2026",38.8047786,-90.3612114
314-353-9817,"Sunrise, Sunrise Marijuana Dispensary, Sunrise Dispensary, Dispensary",DIS000009,8411 N. Lindberg Blvd,Florissant,63031,St. Louis City,"March 11, 2026",38.793456,-90.343132
573-529-0312,3fifteen Primo; 3fifteen; 3fifteen Primo Cannabis; Cookies,DIS000004,11088 New Halls Ferry Rd,Florissant,63033,St. Louis,"March 11, 2026",38.7734,-90.269173
858-848-4588,Swade Cannabis Dispensary; Swade Cannabis,DIS000008,13518 Us-169,Smithville,64089,Clay,"March 11, 2026",39.338501,-94.5844157
816-500-0939,816 Dispensary,MBD000008,"2701 Running Horse Rd, Ste G And H",Platte City,64079,Platte,"March 11, 2026",39.349526,-94.7626062
309-264-3199,Missouri Health & Wellness Dispensary,DIS000145,901 E. First Street,Washington,63090,Franklin,"March 11, 2026",38.553206,-91.000946
636-262-4163,Root 66 Dispensary,DIS000178,"1163 Wentzville Pkwy # 1171, Building C",Wentzville,63385,St. Charles,"March 11, 2026",38.825303,-90.86269
520-307-9708,Natures Med Dispensary,DIS000056,"207 Ne 72nd St, Suites A,B,C",Gladstone,64118,Clay,"March 11, 2026",39.2246659,-94.5781593
314-749-2677,Proper Cannabis,DIS000149,3 Walters Pl,House Springs,63051,Jefferson,"March 11, 2026",38.412662,-90.579482
816-223-7159,"Kansas City Cannabis Co., Kansas City Cannabis",DIS000026,310 S Platte Clay Way,Kearney,64060,Clay,"March 11, 2026",39.3693981,-94.3677142
706-908-9074,Kush21,MBD000011,1980 State St,Poplar Bluff,63901,Butler,"March 11, 2026",36.776043,-90.420933
573-380-3873,Greenlight Dispensary,DIS000122,1435 N. Westwood Blvd,Poplar Bluff,63901,Butler,"March 11, 2026",36.737856,-90.421255
314-369-8905,Terrabis,DIS000027,7766 N Lindbergh Blvd,Hazelwood,63042,St. Louis,"March 11, 2026",38.78705,-90.35019
314-440-1434,Good Day Farm Dispensary;Good Day Farm;Gdf Dispensary,DIS000070,16051 Manchester Rd,Ellisville,63011,St. Louis,"March 11, 2026",38.591458,-90.593969
314-749-2677,Proper Cannabis,DIS000066,15396-15398 Manchester Rd,Ellisville,63011,St. Louis,"March 11, 2026",38.5928039,-90.5619806
636-375-1860,North,DIS000165,1709 State Hwy Z,Pevely,63070,Jefferson,"March 11, 2026",38.289425377,-90.404366618
573-567-5508,Green Releaf Dispensary,DIS000157,3848 S Clark St,Mexico,65265,Audrain,"March 11, 2026",39.133744,-91.892546
314-223-6680,Kind Goods Medical Dispensary; Kind Goods,DIS000193,"14173 Manchester Rd, Ste M",Manchester,63011,St. Louis,"March 11, 2026",38.59429602,-90.49742702
314-369-8905,Terrabis,DIS000117,11062 Olive Blvd,Creve Coeur,63141,St. Louis,"March 11, 2026",38.673293,-90.423911
636-794-1840,Greenlight Dispensary,DIS000018,4451 Brown Rd,Berkeley,63134,St. Louis,"March 11, 2026",38.728465,-90.344046
636-485-5434,Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000174,301 Little Hills Industrial Expressway,St. Charles,63301,St. Charles,"March 11, 2026",38.805547011,-90.475691990
816-888-8660,Blue Sage Cannabis Deli,DIS000221,17015-17017 Bel Ray Blvd,Belton,64012,Cass,"March 11, 2026",38.814999,-94.49643
620-921-5967,Key Cannabis Dispensary; Key Dispensary,DIS000180,225 N Cedar Dr,Belton,64012,Cass,"March 11, 2026",38.816729,-94.523747
816-531-3030,Greenlight Dispensary,DIS000175,1408 N State Route 291,Harrisonville,64701,Cass,"March 11, 2026",38.664033,-94.367664
573-380-3873,Greenlight Dispensary,DIS000115,903 E. Washington St.,Hayti,63851,Pemiscot,"March 11, 2026",36.233718,-89.739809
310-435-7165,From The Earth,DIS000065,9010 E State Route 350,Raytown,64133,Jackson,"March 11, 2026",38.997263014,-94.476969994
573-462-0890,Green Releaf Dispensary,DIS000039,824 S 291 Highway,Liberty,64068,Clay,"March 11, 2026",39.23825,-94.434313
858-848-4588,Swade Cannabis,DIS000010,5918 Southview Dr,Liberty,64068,Clay,"March 11, 2026",39.200718836,-94.403960013
417-733-8086,Good Day Farm Dispensary; Gdf Dispensary; Good Day Farm,DIS000198,513 S Ash St,Buffalo,65622,Dallas,"March 11, 2026",37.636196136,-93.104385376
660-627-8690,Codes Cannabis Dispensary - Kirksville,DIS000040,120 S Main St,Kirksville,63501,Adair,"March 11, 2026",40.1940817,-92.5854681
620-921-5967,Key Cannabis Dispensary; Key Dispensary,DIS000024,400 N Baltimore St,Kirksville,63501,Adair,"March 11, 2026",40.19736,-92.571683
309-264-3199,Missouri Health & Wellness Dispensary,DIS000006,215 E Charles St,Kirksville,63501,Adair,"March 11, 2026",40.2208785,-92.5820324
573-752-2952,"Good Day Farm; Good Day Farm Dispensary, Gdf Dispensary",DIS000219,3910 S. Ward Ave,Caruthersville,63830,Pemiscot,"March 11, 2026",36.15669,-89.663745
636-262-4163,Root 66 Wellness,DIS000202,12095 Manchester Rd,Des Peres,63131,St. Louis,"March 11, 2026",38.602588,-90.437101
573-462-0890,Green Releaf Dispensary,DIS000163,2220 E Austin Blvd,Nevada,64772,Vernon,"March 11, 2026",37.835743,-94.325848
614-296-7521,"Besame Wellness Dispensary, Besame Wellness; Verts; Verts Dispensary; Verts Neighborhood Dispensary",DIS000181,1340 Thorton St,Pacific,63069,Franklin,"March 11, 2026",38.486127,-90.757368
636-775-2708,Green Releaf Dispensary,DIS000154,"109 N Lincoln Dr, E",Troy,63379,Lincoln,"March 11, 2026",38.985302,-90.970752
734-412-4600,High Profile Cannabis Shop,DIS000211,3125 Green Mountain Drive,Branson,65616,Taney,"March 11, 2026",36.63254,-93.27875
417-839-5467,Stairway Cannabis Dispensary Branson,DIS000203,1551 State Hwy 248,Branson,65616,Taney,"March 11, 2026",36.664017122,-93.246077529
872-302-0293,Greenlight Dispensary,DIS000092,201 S Wildwood Dr,Branson,65616,Taney,"March 11, 2026",36.631912,-93.262883
660-596-0623,"Good Day Farm Dispensary, Gdf Dispensary, Good Day Farm",DIS000212,319 E Ashley Rd,Boonville,65233,Cooper,"March 11, 2026",38.967643,-92.744108
660-240-1131,C Cannabis Dispensary; Codes Cannabis; Codes Cannabis Dispensary; Codes Supreme Cannabis,DIS000030,941 Washington St,Chillicothe,64601,Livingston,"March 11, 2026",39.776821,-93.552287
636-794-1840,Greenlight Dispensary,DIS000005,9800 Manchester Road Suite C,Rock Hill,63119,St. Charles,"March 11, 2026",38.606634,-90.372565
314-813-3058,Key Cannabis Dispensary,DIS000200,4730 Mid Rivers Mall Drive,Cottleville,63376,St. Charles,"March 11, 2026",38.757699,-90.636424
620-921-5967,Key Cannabis Dispensary; Key Dispensary,DIS000114,1026 Brentwood Blvd,Richmond Heights,63117,St. Louis,"March 11, 2026",38.636922,-90.345261
319-521-1850,Square Grouper; Square Grouper Dispensary,DIS000194,28744 Highway 5,Gravois Mills,65037,Morgan,"March 11, 2026",38.27124,-92.823149
734-412-4600,High Profile Cannabis Shop,DIS000215,42 Arnage Road,Chesterfield,63005,St. Louis,"March 11, 2026",38.668881,-90.613855
312-925-1217,Hippos Marijuana Dispensary,DIS000129,"17409 Chesterfield Airport Rd, G",Chesterfield,63005,St. Louis,"March 11, 2026",38.66894,-90.608083
