Business_Name,Street,City,State,ZIP,Phone,Email,Website
Trulieve,"3531 Washington Blvd., Suite 112",Halethorpe,MD,21227,,,
Trulieve,12200-B Rockville Pike,Rockville,MD,20852,,,
"Maryleaf, LLC",11530 Middlebrook Rd.,Germantown,MD,20876,,,
Mission Catonsville,6328 Baltimore National Pike,Baltimore,MD,21228,,,
Mission Rockville,"4007 Norbeck Rd., Unit A",Rockville,MD,20853,,,
Mana Supply Co. Middle River,100 Carroll Island Rd.,Middle River,MD,21220,,,
"Curaleaf MD, LLC",11722 Reisterstown Rd.,Reisterstown,MD,21136,,,
Far & Dotter,2060-A York Rd.,Timonium,MD,21093,,,
Trulieve,1526 York Rd.,Lutherville,MD,21093,,,
Health for Life Baltimore,6807 Rolling Mill Rd.,Baltimore,MD,21224,,,
Health for Life White Marsh,4741 Ridge Rd.,Nottingham,MD,21236,,,
Remedy 695,7165-C Security Blvd.,Windsor Mill,MD,21244,,,
"Temescal Wellness of MD, LLC",1636 Reisterstown Rd.,Pikesville,MD,21208,,,
ReLeaf Shop,"1114 Cathedral St., Suite 5",Baltimore,MD,21201,,,
PharmKent,"330 East Pulaski Hwy., Suite B",Elkton,MD,21921,,,
Chesapeake Apothecary,"4781 Crain Hwy., Suite A",White Plains,MD,20695,,,
Dispensary Works,"10766 DeMarr Rd., Suite 3A",White Plains,MD,20695,,,
Story of Maryland- Waldorf Dispensary,"2290 Old Washington Rd., Ste 12383",Waldorf,MD,20601,,,
Sunburst Pharm,603 Meteor Dr.,Cambridge,MD,21613,,,
Mana Supply Company,3005 Solomons Island Rd.,Edgewater,MD,21037,,,
Wellness Solutions,4606 Wedgewood Blvd.,Frederick,MD,21703,,,
True Wellness Laurel,"14703 Baltimore Ave., Suite B",Laurel,MD,20707,,,
True Wellness Aberdeen,226 S. Philadelphia Ave.,Abdereen,MD,21061,,,
Rise-Joppa,702 Pulaski Hwy.,Joppa,MD,21085,,,
Enlightened Dispensary,3111 Emmorton Rd.,Abingdon,MD,21009,,,
Nature's Medicines,10169 Baltimore National Pike,Ellicott City,MD,21042,,,
Peninsula Alternative Health,1003 Mt. Hermon Rd.,Salisbury,MD,21804,,,
Nature's Medicines,1657 Crofton Blvd.,Crofton,MD,21114,,,
Health For Life Bethesda,4909 Fairmont Ave.,Bethesda,MD,20814,,,
"Chesapeake Alternatives, LLC","10401 Old Georgetown Rd., Ste 210",Bethesda,MD,20814,,,
Green Point Wellness,823-A Elkridge Landing Rd.,Linthicum,MD,21090,,,
Herbiculture,"4009 Sandy Springs Rd., Unit 101",Burtonsville,MD,20866,,,
Hi-Tide,"12600 Marjan Ln., Unit 100",Ocean City,MD,21842,,,
Panacea Wellness,2061 Generals Hwy,Annapolis,MD,21401,,,
MI Health,8355 Snouffer School Rd.,Gaithersburg,MD,20879,,,
Verilife,5544 Nicholson Ln.,Rockville,MD,20852,,,
Zen Leaf Germantown,13007 Wisteria Dr.,Germantown,MD,20874,,,
Story Cannabis Co,2486 Chillum Rd.,Hyattsville,MD,20782,,,
Mary and Main,8801 Hampton Mall Drive N.,Capital Heights,MD,20743,,,
JOVA Wellness Center,5846 Allentown Way,Camp Springs,MD,20748,,,
Medleaf,"9520 Marlboro Pike, Unit 103 & 104",Upper Marlboro,MD,20772,,,
The Apothecarium Dispensary,100 Beall St.,Cumberland,MD,21502,,,
RISE Hagerstown,1571 Wesel Blvd,Hagerstown,MD,21740,,,
Ash + Ember,"202 Coursevall Dr., Suite 108",Centreville,MD,21617,,,
Gold Leaf,2029 West St.,Annapolis,MD,21401,,,
Curaleaf Gaithersburg,10011 Stedwick Rd.,"Gaithersburg,​",MD,20886,,,
Greenlight Therapeutics,"782 State Route 3 North, Ste A",Gambrills,MD,21054,,,
Green Goods Baltimore,717 North Point Blvd,Baltimore,MD,21224,,,
Nirvana Center,5225 Baltimore National Pike,Baltimore,MD,21229,,,
Ritual Dispensary,"7609 Energy Parkway, Suite 901",Curtis Bay,MD,21225,,,
The Dispensary,330140 Village Rd.,Westminster,MD,21157,,,
Waave Cannabis,"7327 Hanover Ct., Suite A",Greenbelt,MD,20770,,,
Green Goods,1080 West Patrick St.,Frederick,MD,21703,,,
Zen Leaf Pasadena,16 Magothy Rd.,Pasadena,MD,21122,,,
Green Point Wellness,116 Washington Blvd. South,Laurel,MD,20707,,,
Sweetbuds Dispensary,5312 New Design Rd.,Frederick,MD,21703,,,
Chesapeake Apothecary North,"9135 Piscataway Rd., Suite 100",Clinton,MD,20735,240-244-1623,,http://www.chesapeakeapothecary.com/
