name,dba,slug,dba_slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state
14ER HOLISTICS,SUSTAINABLE HEALTH LLC,14er-holistics,sustainable-health-llc,cultivator|dispensary,,,1830 55th Street,Boulder,CO,80301,US,40.01669669,-105.2253478,,,403R-00839
14ER INFUSIONS,SUSTAINABLE HEALTH LLC,14er-infusions,sustainable-health-llc,dispensary,,,"1840 Commerce Street, Unit F",Boulder,CO,80301,US,40.01853656,-105.2319015,,,404R-00050
14ER INFUSIONS,SUSTAINABLE HEALTH LLC,14er-infusions,sustainable-health-llc,other,,,1840 Commerce Street Unit F,Boulder,CO,80301,US,40.01853656,-105.2319015,,,404-00189
14th street,George Pinto,14th-street,george-pinto,dispensary,,,1319 W 14th St,Long Beach,CA,90813,US,33.78401977,-118.2092918,(323) 552-0890,W14street@gmail.Com,C10-0000415-LIC
1540 7th Inc.,1540 7th Inc,1540-7th-inc,1540-7th-inc,other,,,,,CA,,US,,,(562) 522-0300,Jlarios123@hotmail.Com,DCC-10004764
1542 7TH INC,,1542-7th-inc,,other,,,,,CA,,US,,,(716) 225-8735,Denisapiccione@gmail.Com,C11-0000474-LIC
1634 Funk,,1634-funk,,other,,,394 Communipaw Ave,Jersey City,NJ,07304,US,40.71275896,-74.06416732,,,
1650 CRANE STREET DISPENSARY LLC,,1650-crane-street-dispensary-llc,,dispensary,,,1650 Crane St Ste 1,Schenectady,NY,12303,US,42.78936,-73.94404,,,OCM-RETL-24-000138
"17k Muskrat 2, Inc.",,17k-muskrat-2-inc,,other,,,,,CA,,US,,,(714) 717-0400,Sakotatarian@yahoo.Com,C11-0001149-LIC
"17k Muskrat 2, Inc.",,17k-muskrat-2-inc,,other,,,,,CA,,US,,,(714) 717-0400,Sakotatarian@yahoo.Com,DCC-10004109
17th St Retail,17th St Retail LLC,17th-st-retail,17th-st-retail-llc,dispensary,,,124 E 17th St,Costa Mesa,CA,92627,US,33.6371852,-117.9208975,(323) 744-1738,Peter@distillateco.Com,C10-0001102-LIC
18070 Georgia Ave,,18070-georgia-ave,,other,,,,Olney,MD,20832,US,39.1457139,-77.067959,301-774-0840,info@b1md.com,
1841 El Camino,Horizon Collective Inc.,1841-el-camino,horizon-collective-inc,dispensary,,,1841 El Camino Ave,Sacramento,CA,95815,US,38.611463,-121.423635,(916) 870-8067,Horizoncollective@yahoo.Com,C10-0000009-LIC
1858 TANEN RETAIL LLC,,1858-tanen-retail-llc,,dispensary,,,1858 Tanen St,Napa,CA,94559,US,38.307369,-122.286133,(916) 870-8067,Horizoncollective@yahoo.Com,C10-0001235-LIC
"190 N 20th Street, Inc.",,190-n-20th-street-inc,,dispensary,,,190 N 20th ST,Battle Creek,MI,49015,US,42.31175103,-85.21910897,,,AU-R-001117
190 SAM LLC,,190-sam-llc,,other,,,,,CA,,US,,,(949) 903-9136,Jonas@herbes.Com,C11-0002007-LIC
190 SAM LLC,,190-sam-llc,,other,,,,,CA,,US,,,(949) 903-9136,Jonas@herbes.Com,DCC-10005078
191 LAFAYETTE RD DISPENSARY COMPANY LLC,,191-lafayette-rd-dispensary-company-llc,,dispensary,,,238 Lafayette Road,Salisbury,MA,01952,US,42.87148,-70.869087,516-776-2305,ganeshwellnessinc@gmail.com,MR282740
1919 Building Inc,,1919-building-inc,,other,,,,,CA,,US,,,(818) 279-3680,Av.Globalremodeling@gmail.Com,DCC-10004838
"1919 Building, Inc",,1919-building-inc,,other,,,,,CA,,US,,,(818) 279-3680,Av.Globalremodeling@gmail.Com,C11-0001839-LIC
19701 NEW BUFFALO BUSINESS LLC,,19701-new-buffalo-business-llc,,dispensary,,,19703 W US 12,NEW BUFFALO,MI,49117,US,41.7618144,-86.79816822,,,AU-R-001490
"19841 Ventura and Hope, LLC [Equity Retailer]",,19841-ventura-and-hope-llc-equity-retailer,,dispensary,,,19841 Ventura Blvd,Woodland HLS,CA,91364,US,34.172552,-118.565369,(714) 273-1308,Rafealhenderson072@gmail.Com,C10-0001285-LIC
1CONNECTION LLC,,1connection-llc,,dispensary,,,200 Williams Street,Dighton,MA,02764,US,41.869095,-71.165059,617-335-0004,rcaruso@1connectioncare.com,MR282401
1CURE LLC,,1cure-llc,,cultivator,,,7835 Maverick Lane,Ordway,CO,81063,US,38.2180608,-103.7560606,,,403-01998
1CURE LLC,,1cure-llc,,cultivator|dispensary,,,7835 Maverick Lane,Ordway,CO,81063,US,38.2180608,-103.7560606,,,403R-01401
1LDX,1ldx LLC,1ldx,1ldx-llc,other,,,,,CA,,US,,,(408) 797-9800,Ian@oneloghouse.Com,C11-0000342-LIC
20 PAST 4,,20-past-4,,dispensary,,,3590 Ann Arbor RD,Jackson,MI,49202,US,42.25926522,-84.35052456,,,AU-R-000160
20 Past 4,,20-past-4,,other,,,3590 Ann Arbor RD,Jackson,MI,49202,US,42.25926522,-84.35052456,,,PC-000358
2001 Chapman Ave,,2001-chapman-ave,,other,https://peakereleaf.com,,,Rockville,MD,20852,US,39.0542102,-77.1197521,301-703-2400,info@peakreleaf.com,
202 Cannabis Co.,Blaze 420 LLC,202-cannabis-co,blaze-420-llc,dispensary,,,81 W Ramapo Rd Unit 1,Haverstraw,NY,10923,US,41.19638,-74.01023,,,OCM-CAURD-25-000251
"202 TRADING COMPANY, INC. D/B/A BUD BARN",,202-trading-company-inc-dba-bud-barn,,dispensary,,,682 Spring Street,Winchendon,MA,01475,US,42.66638,-72.00857,508-380-3338,jldalyjr@yahoo.com,MR281735
2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,,2020-cannabis-solutions-mt-baker-highway,,dispensary,,,1706 MT BAKER HWY,BELLINGHAM,WA,98226,US,48.8033536,-122.3989307,3607342020,,355469
2020 Long Beach LLC,,2020-long-beach-llc,,other,,,,,CA,,US,,,(818) 268-8000,Afakheri@gmail.Com,DCC-10003476
"2020 Railroad Holdings, LLC",,2020-railroad-holdings-llc,,other,,,,,CA,,US,,,(916) 582-8005,Licensing@railroadholdings.Com,C11-0001905-LIC
2020 SOLUTIONS EPHRATA,,2020-solutions-ephrata,,dispensary,,,1615 BASIN ST SW,EPHRATA,WA,988232134,US,47.30462212,-119.5633306,3609154944,,422239
2020 SOLUTIONS IRON STREET,,2020-solutions-iron-street,,dispensary,,,2018 IRON ST STE A,BELLINGHAM,WA,98226,US,48.75672806,-122.4662873,2068180966,,415470
2020 SOLUTIONS PACIFIC HIGHWAY,,2020-solutions-pacific-highway,,dispensary,,,4770 PACIFIC HWY STE A,BELLINGHAM,WA,98226,US,48.81328128,-122.543462,3607342020,,420908
"208 WORCESTER STREET, LLC",,208-worcester-street-llc,,dispensary,,,208 Worcester Street,Southbridge,MA,01550,US,42.08366,-72.0266,508-943-7800,nick@lakeshorelegalsolutions.com,MR283652
20800 SPENCE ROAD LLC,,20800-spence-road-llc,,other,,,,,CA,,US,,,(253) 579-3762,Jeff@lowellfarms.Com,C11-0001881-LIC
20AFTER4,,20after4,,dispensary,,,1511 N GOERIG ST,WOODLAND,WA,98674,US,45.91333469,-122.7412992,3605629420,,364709
20Past4 Stockbridge,,20past4-stockbridge,,dispensary,,,5010 S. M-106,Stockbridge,MI,49285,US,42.43778438,-84.18010271,,,AU-R-001476
2130 SOUTH YALE DISTRO LLC,,2130-south-yale-distro-llc,,other,,,,,CA,,US,,,(562) 280-7414,Ryan.Rezaie@gmail.Com,C11-0001776-LIC
2147 44th LLC,,2147-44th-llc,,dispensary,https://carnegiehillcannabis.com,,1720 2nd Ave,New York,NY,10128,US,40.77997,-73.95,,,OCM-RETL-24-000021
22 WEST CO.,,22-west-co,,other,,,,,CA,,US,,,(805) 518-3191,Exit22w@gmail.Com,C12-0000419-LIC
220 ONEIL LLC,,220-oneil-llc,,dispensary,,,220 O'NEIL BOULEVARD,Attleboro,MA,02703,US,41.937168,-71.275223,774-602-0142,adam@hostetter-homes.com,MR284345
237 Kings,"Tkc Group, Inc.",237-kings,tkc-group-inc,other,,,,,CA,,US,,,(818) 661-0237,,DCC-10003892
237 Kings,"Tkc Group, Inc.",237-kings,tkc-group-inc,other,,,,,CA,,US,,,(818) 661-0237,Tkcgroup420@gmail.Com,C11-0001636-LIC
"253 ORGANIC, LLC",,253-organic-llc,,dispensary,,,328 College Street,Amherst,MA,01002,US,42.373135,-72.502794,203-639-5153,sam@red-cardinal.net,MR282975
"253 ORGANIC, LLC",,253-organic-llc,,dispensary,,,253 Millers Falls Road,Montague,MA,01376,US,42.590248,-72.527647,774-236-9389,marcia@wagnerlawgroup.com,MR281245
28 GRAHAMS CANNABIS,,28-grahams-cannabis,,dispensary,,,10315 200TH ST E,GRAHAM,WA,98338,US,47.0748809,-122.2926128,2537405648,,428654
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000141-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000142-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000143-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000144-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000145-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000146-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000147-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000148-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000149-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000150-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000151-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000152-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000153-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000154-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000155-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000156-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000157-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000158-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000159-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000160-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000161-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000162-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000163-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000164-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000165-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000166-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000167-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000168-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000169-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000170-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000171-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000172-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000173-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000174-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000175-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000176-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000177-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000178-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000179-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000180-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000181-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000182-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000183-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000184-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000185-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000186-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000187-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000188-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000189-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000190-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000191-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000192-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000193-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000194-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000195-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000196-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000197-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000198-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000199-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000200-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000201-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000202-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000203-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000204-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000205-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000206-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000207-CL
CANNA VERDE LLC,CANNA VERDE LLC,canna-verde-llc,canna-verde-llc,other,,,,,IL,,US,40.6331249,-89.3985283,,,284.000208-CL
