BUSINESS_NAME,BUSINESS_EMAIL,BUSINESS_PHONE,BUSINESS_ADDRESS_1,BUSINESS_ADDRESS_2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP_CODE,MAILING_ADDRESS_1,MAILING_ADDRESS_2,MAILING_CITY,MAILING_STATE,MAILING_ZIP_CODE,EIN_TIN,LICENSE_NUMBER,LICENSE_TYPE,REVIEW_PRIORITY,FIRST_COMPLIANCE_REVIEW_DATE,CNB_DEEMED_COMPLETE_DATE,APPROVED_LICENSE_STAGE,LICENSE_STATUS,LIC_FEE_PAYMENT_SUBMITTED_DATE,LICENSE_FEE_AMOUNT,PHYSICAL_ADDRESS_1,PHYSICAL_ADDRESS_2,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,CULTIVATION_ENVIRONMENT,CULTIVATION_TIER,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_DATE_OF_MUNICIPAL_RESPONSE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_DATE_OF_FINAL_INSPECTION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,CNB_DATE_OF_FINAL_LICENSURE,COMMENCE_OPERATIONS_DATE,LICENSE_ORIGINAL_START_DATE,LICENSE_START_DATE,LICENSE_EXPIRATION_DATE,LICENSE_SUSPENSION_START_DATE,LICENSE_SUSPENSION_END_DATE,LICENSE_REVOCATION_DATE,LICENSE_SURRENDERED_DATE,SOURCE_FILE,APPLICATION_DENIED_DATE,APPROVED_SE_NUMBER,APPLICATION_APPROVED_DATE,ORIGINAL_SUBMITTED_DATE,APPLICATION_CREATED_DATE,APPLICATION_STATUS,SUBMITTED_DATE,PAYMENT_AMOUNT,APPLICATION_NUMBER,ESTABLISHMENT_ADDRESS_1,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_CITY,ESTABLISHMENT_STATE,ESTABLISHMENT_ZIP_CODE,REVIEW_PRIORITY_CATEGORY,REVIEW_PRIORITY_TYPE,COMMENCE_OPS,INDUSTRY
7LEAF GARDENS LLC,johncleary.7leafgardens@gmail.com,774-488-2478,370 Wareham St,,Middleborough,MA,02346,1120 Somerset Avenue        PO BOX 401,,North Dighton,MA,02764,00-1428932,MP281894,Marijuana Product Manufacturer,General Applicant,,,PROVISIONAL LICENSE,Expired,,10000,"Charlotte Court, Bldg 2, Lot 2a","41.857419,-70.8660704",Middleborough,02346,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN281894,"Charlotte Court, Bldg 2, Lot 2A","41.857419,-70.8660704",Middleborough,MA,02346,General Applicant,General Applicant,FALSE,Adult-Use
Releaf Cultivation L.L.C,r.nmn.cardoso@gmail.com,508-314-1463,232 Old Colony Unit 203,Unit 203,Boston,MA,02127,232 Old Colony Unit 203,Unit 203,Boston,MA,02127,00-1433646,MC282674,Marijuana Cultivator,Expedited Review - DBE Status,,,PROVISIONAL LICENSE,Expired,,2500,"42.59975248093252, -71.95303793392686",,Gardner,01440,False,No,,,,,,,,,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,400,MCN282674,,,Gardner,MA,01440,Expedited Review,DBE Status,FALSE,Adult-Use
Blossom Flower LLC,damaris.aponte42@gmail.com,413-250-6104,1 Cabot Street,,Holyoke,MA,01040,16 Mayer Drive,,Holyoke,MA,01040,00-1438198,MD1271,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,,,FINAL LICENSE,Active,,,1 Cabot Street,,Holyoke,01040,False,No,SE304773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304773,,,,APPROVED,,,MDA1271,1 Cabot Street,,Holyoke,MA,01040,Expedited Review,Social Equity Participant,FALSE,Adult-Use
Blossom Flower LLC,damaris.aponte42@gmail.com,413-250-6104,1 Cabot Street,,Holyoke,MA,01040,16 Mayer Drive,,Holyoke,MA,01040,00-1438198,PMD5799,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE304773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304773,,,,APPROVED,,,PMDA5799,1 Cabot Street,,Holyoke,MA,01040,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"BLAZR, INC",dhinton.us@gmail.com,617-650-7943,1 Dunford Street,,Boston,MA,02119,1 Dunford Street,,Boston,MA,02119,00-1439324,PDO103026,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE304937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304937,,,,APPROVED,,,PDOA103026,1 Dunford Street,,Boston,MA,02119,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"Blazr, Inc",dhinton.us@gmail.com,617-650-7943,1 Dunford Street,,Boston,MA,02119,1 Dunford Street,,Boston,MA,02119,00-1439324,PMD5787,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE304937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304937,,,,APPROVED,,,PMDA5787,1 Dunford Street,,Boston,MA,02119,Expedited Review,Social Equity Participant,FALSE,Adult-Use
ZGC LLC,zack@zackahrens.com,857-529-7422, 200 HIGHLAND AVENUE ,Suite 401,NEEDHAM,MA,02494, 200 HIGHLAND AVENUE ,Suite 401,NEEDHAM,MA,02494,00-1469218,MC283045,Marijuana Cultivator,Expedited Review - License Type,,,PROVISIONAL LICENSE,Expired,,25000,699-799 Polikoff Rd,,Sheffield,01222,False,No,,,,,,,,,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MCN283045,699-799 Polikoff Road,,Sheffield,MA,01222,Expedited Review,License Type,FALSE,Adult-Use
Eagles Landed LLC,Onthewater79@protonmail.com,508-813-0488,121 1/2 Wells St,,Greenfield,MA,01301,37 Dillingham Ave,,Berkley,MA,02779,00-1499943,MP282259,Marijuana Product Manufacturer,General Applicant,,,FINAL LICENSE,Active,,10000,121 1/2 Wells St,,Greenfield,01301,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN282259,121 1/2 Wells Street,,Greenfield,MA,01301,General Applicant,General Applicant,FALSE,Adult-Use
"NEEM Wellness, LLC",tess@beyondbooze.co,508-837-1881,33 Sleeper St,608,Boston,MA,02210,33 Sleeper St,608,Boston,MA,02210,00-1548475,PMD5992,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE305292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE305292,,,,APPROVED,,,PMDA5992,33 Sleeper Street,608,Boston,MA,02210,Expedited Review,Social Equity Participant,FALSE,Adult-Use
Upper Echelon Cultivation LLC,juana@upperecheloncultivation.com,787-934-9163,460 Race St,,Holyoke,MA,01040,131 Kerry Dr.,,Springfield ,MA,01118,00-1549133,MB282384,Marijuana Microbusiness,Expedited Review - License Type,,,PROVISIONAL LICENSE,Expired,,2812.5,460 Race St,,Holyoke,01040,False,Yes,SE305726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE305726,,,,APPROVED,,,MBN282384,460 Race Street,,Holyoke,MA,01040,Expedited Review,License Type,FALSE,Adult-Use
CloudNine Visions LLC,cloudninevisionscannabis@gmail.com,310-717-9967,5 Cheshire rd suite #12,,PITTSFIELD,MA,01201,15 Adelaide Ave,,Pittsfield,MA,01201,00-1629172,MR283505,Marijuana Retailer,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Active,,5000,5 Cheshire Rd Suite 12,,Pittsfield,01201,False,Yes,SE304936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304936,,,,APPROVED,,,MRN283505,5 Cheshire Road Suite 12,,Pittsfield,MA,01201,Expedited Review,Social Equity Participant,FALSE,Adult-Use
Cannal Retail LLC ,jtgomes508@gmail.com,774-300-7803,18 Long Neck Rd,,East Wareham,MA,02538,P.O. Box 505,,EAST WAREHAM,MA,02538,00-1840537,PMD6110,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Active,,,,,,,False,No,SE305349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE305349,,,,APPROVED,,,PMDA6110,18 Long Neck Road,,East Wareham,MA,02538,Expedited Review,Social Equity Participant,FALSE,Adult-Use
"Garden Wonders, Inc",mino@atlanticbeveragedistributors.com,617-595-5962,3 Route 146,,Millville,MA,01529,180 warren street ,,waltham,MA,02453,04-3255379,MR281970,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,3 Route 146 ,,Millville,01529,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MRN281970,3 Route 146,,Millville,MA,01529,General Applicant,General Applicant,FALSE,Adult-Use
"Temple Hill Collective, Inc.",joecarbone@verizon.net,978-544-8770,153 Quabbin Blvd,,Orange,MA,01364,153 Quabbin Blvd,,Orange,MA,01364,04-3541744,MP281383,Marijuana Product Manufacturer,General Applicant,,,FINAL LICENSE,Active,,10000,153 Quabbin Blvd,,Orange,01364,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281383,153 Quabbin Boulevard,,Orange,MA,01364,General Applicant,General Applicant,FALSE,Adult-Use
Green Analytics Massachusetts LLC ,eviolabsma@gmail.com,617-721-3222,40 Speen St,Suite 301,Framingham,MA,01701,40 Speen St ,Suite 301,Framingham ,MA,01701,12-1234567,IL281277,Independent Testing Laboratory,General Applicant,,,FINAL LICENSE,Active,,5000,40 Speen St,Suite 301,Framingham,01701,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,ILN281277,40 Speen Street,Suite 301,Framingham,MA,01701,General Applicant,General Applicant,FALSE,Adult-Use
"HVV Massachusetts, Inc.",michael@happyvalley.org,843-819-0866,2 Opportunity Way,,Newburyport,MA,01950,39 Country Club Road,,Ipswich,MA,01938,12-1234567,MC282198,Marijuana Cultivator,Priority Review - MTC Priority,,,IN PROCESS,Surrendered,,20000,2 Opportunity Way,,Newburyport,01950,true,No,,,,,,,,RP201813,Indoor,"Tier 04: 20,001 to 30,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,600,MCN282198,2 Opportunity Way,,Newburyport,MA,01950,Priority Review,MTC Priority,FALSE,Adult-Use
Revolution Greencare LLC,george.lang12@gmail.com,617-513-1345,30 Buckley Blvd,,Chicopee,MA,01020,30 Buckley Blvd,,Chicopee,MA,01020,12-1234567,MC282664,Marijuana Cultivator,General Applicant,,,IN PROCESS,Surrendered,,,30 Buckley Boulevard,,Chicopee,01020,False,No,,,,,,,,,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,2000,MCN282664,30 Buckley Boulevard,,Chicopee,MA,01020,General Applicant,General Applicant,FALSE,Adult-Use
River Valley Growers Inc,jaredgarfield@gmail.com,312-600-5177,Bashin Road Lot 12 Map 202,,Hatfield,MA,01038,6 Upper Farms Path,,Hatfield,MA,01038,12-1234567,MC283296,Marijuana Cultivator,Expedited Review - License Type,,,FINAL LICENSE,Active,,25000,Bashin Road Lot 12 Map 202,,Hatfield,01038,False,No,,,,,,,,,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MCN283296,Bashin Road Lot 12 Map 202,,Hatfield,MA,01038,Expedited Review,License Type,FALSE,Adult-Use
"HVV Massachusetts, Inc",micheal@happyvalley.org,843-819-0866,2 Opportunity Way,,Newburyport,MA,01950,39 Country Club Road,,Ipswich,MA,01938,12-1234567,MP281693,Marijuana Product Manufacturer,Priority Review - MTC Priority,,,IN PROCESS,Surrendered,,10000,2 Opportunity Way,,Newburyport,01950,true,No,,,,,,,,RP201813,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,300,MPN281693,2 Opportunity Way,,Newburyport,MA,01950,Priority Review,MTC Priority,FALSE,Adult-Use
Revolution Greencare LLC,george.lang12@gmail.com,413-221-0876,30 Buckley Blvd,,Chicopee,MA,01020,30 Buckley Blvd,,Chicopee,MA,01020,12-1234567,MP281847,Marijuana Product Manufacturer,General Applicant,,,IN PROCESS,Surrendered,,,30 Buckley Blvd.,,Chicopee,01020,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MPN281847,30 Buckley Boulevard,,Chicopee,MA,01020,General Applicant,General Applicant,FALSE,Adult-Use
"Neamat, LLC",jsahagian@cox.net,401-743-0111,290 Millville Rd.,,Narragansett,RI,02882,248 South Pier Road,,Narragansett,RI,02882,12-1234567,MP282004,Marijuana Product Manufacturer,Expedited Review - DBE Status,,,FINAL LICENSE,Active,,5000,290 Millville Road,,Uxbridge,01569,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,,MPN282004,290 Millville Road,,Uxbridge,MA,01569,Expedited Review,DBE Status,FALSE,Adult-Use
"Revolution Greencare, LLC",george.lang12@gmail.com,617-513-1345,30 Buckley Blvd,,Chicopee,MA,01020,30 Buckley Blvd,,Chicopee,MA,01020,12-1234567,MR283227,Marijuana Retailer,General Applicant,,,IN PROCESS,Surrendered,,,30 Buckley Blvd,,Chicopee,01020,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283227,30 Buckley Boulevard,,Chicopee,MA,01020,General Applicant,General Applicant,FALSE,Adult-Use
New England Alchemy LLC,nealchemy413@gmail.com,413-341-0908,76 Gothic Street,,Northampton,MA,01060,76 Gothic Street,,Northampton,MA,01060,12-1234567,MR284398,Marijuana Retailer,General Applicant,,,IN PROCESS,Surrendered,,,Curran Hwy,Parcel 15-0-3-A,North Adams,01247,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN284398,Curran Hwy,Parcel 15-0-3-A,North Adams,MA,01247,General Applicant,General Applicant,FALSE,Adult-Use
Massachusetts Caregivers LLC,yougrowmc@gmail.com,413-404-2535,405 Deerfield St.,,Greenfield,MA,01301,52 B Northampton St. ,,Easthampton,MA,01027,12-1234567,PMD5836,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Expired,,,,,,,False,No,SE303999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE303999,,,,APPROVED,,,PMDA5836,405 Deerfield Street,,Greenfield,MA,01301,Expedited Review,Social Equity Participant,FALSE,Adult-Use
Happy Flower LLC,happyflower.mass@gmail.com,617-820-0589,41 Fremont Street,,Worcester,MA,01603,PO Box 52355,,Boston,MA,02205,12-3456789,MB282223,Marijuana Microbusiness,Expedited Review - License Type,,,IN PROCESS,Surrendered,,,41 Fremont Street,,Worcester,01603,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,,MBN282223,41 Fremont Street,,Worcester,MA,01603,Expedited Review,License Type,FALSE,Adult-Use
High Thirst Inc,Highthirstlnc@gmail.com,857-249-6798,1301 River Street,,Boston,MA,02136,1301 River Street ,,Boston,MA,02136,12-5354216,PDO103406,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,,,PROVISIONAL LICENSE,Active,,,,,,,False,No,SE304770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,SE304770,,,,APPROVED,,,PDOA103406,1301 River Street,,Boston,MA,02136,Expedited Review,Social Equity Participant,FALSE,Adult-Use
dba EMJ LLC,pocamep@gmail.com,413-858-5352,205 West Cummington Rd,Cummington,Cummington,MA,01026,205 West Cummington Rd,,Cummington,MA,01026,15-8464014,MC282135,Marijuana Cultivator,General Applicant,,,FINAL LICENSE,Active,,1250,205 W Cummington Rd,,Cummington,01026,False,No,,,,,,,,,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,200,MCN282135,205 W Cummington Road,,Cummington,MA,01026,General Applicant,General Applicant,FALSE,Adult-Use
"B.O.T. REALTY, LLC",omgdispensaryoffice@gmail.com,978-503-7040,223 LUNENBURG ST,,FITCHBURG,MA,01420,227 LUNENBURG ST,,FITCHBURG,MA,01420,20-5109733,MR283113,Marijuana Retailer,General Applicant,,,FINAL LICENSE,Active,,10000,223 LUNENBURG ST ,,Fitchburg,01420,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Establishment_and_MTC_New_Applications.csv,,,,,,APPROVED,,1500,MRN283113,223 Lunenburg Street,,Fitchburg,MA,01420,General Applicant,General Applicant,FALSE,Adult-Use
