Source_State,License_Number,Business_Name,Legal_Name,License_Type,License_Status,Street,City,State_Code,ZIP,County,Phone,Email,Website,Latitude,Longitude,Expiration_Date,Home_Delivery,Source_File,Data_Collected
AZ,00000036ESXU42814428,The Mint Dispensary,4245 Investments Llc,Establishment,Open,330 E Southern Ave #37,Mesa,AZ,85210,,(480) 664-1470,,,33.393391173167,-111.824178066404,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000128ESJI00619914,D2 Dispensary,46 Wellness Llc,Establishment,Open,7139 E 22nd St,Tucson,AZ,85710,,(520) 214-3232,,,32.206543292264,-110.840095051179,3/3/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,0000154ESTQI31348041,Ponderosa Dispensary,"480 License Holdings, LLC",Establishment,Open,25 East Blacklidge Drive,Tucson,AZ,85705,,480-201-0000,,,32.2612876617,-110.971700493014,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000116ESSM79524188,Ponderosa Dispensary,"ABACA Ponderosa, LLC",Establishment,Open,21035 N Cave Creek Rd Ste 3 & 4,Phoenix,AZ,85024,,(480) 213-1402,,,33.678335904825,-112.030999968787,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000052ESLX15969554,Trulieve of Tatum,Abedon Saiz Llc,Establishment,Open,"16635 N tatum blvd, 110",Phoenix,AZ,85032,,770-330-0831,,,33.636373395263,-111.977713169256,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000027ESMP88938972,Absolute Health Care Inc,Absolute Health Care Inc,Establishment,Open,175 S Hamilton Pl Bldg 4 Ste 110,Gilbert,AZ,85233,,480-361-0078,,,33.344764800995,-111.832087521624,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000006ESWX56565424,Trulieve of Phoenix Alhambra,"Ad, Llc",Establishment,Open,2630 W Indian School Rd,Phoenix,AZ,85017,,770-330-0831,,,33.495034276954,-112.115797850233,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000142ESIL74759395,AGI Management LLC,AGI Management LLC,Establishment,Open,1035 W Main St,Quartzsite,AZ,85346,,480-234-2343,,,33.663081891513,-114.233291550111,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000033ESLY55591549,All Greens Inc,All Greens Inc,Establishment,Open,10032 W Bell Rd Ste 100,Sun City,AZ,85351,,(623) 214-0801,,,33.638209163458,-112.275432982555,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000131ESYX97720376,All Rebel Rockers Inc,All Rebel Rockers Inc,Establishment,Open,4730 S 48th St,Phoenix,AZ,85040,,602-807-5005,,,33.403907815107,-111.978476136589,3/8/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000096ESWI60030184,Nature's Medicines,ANPS Holdco LLC,Establishment,Open,"701 East Dunlap Avenue, Suite 9",Phoenix,AZ,85020,,(602) 903-3769,,,33.567705570515,-112.065157210977,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000133ESGJ79432018,Apache County Dispensary LLC,Apache County Dispensary LLC,Establishment,Open,900 East Main Street,Springerville,AZ,85938,,620-921-5967,,,34.1323361,-109.2735507,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000013LCRK62049775,Apollo Labs,Apollo Labs,,Active,"17301 North Perimeter Drive, suite 100",Scottsdale,AZ,85255,,(917) 340-1566,,,33.640645071536,-111.896652410849,,,AZ-facilities-v2.csv,04/18/2026
AZ,00000042ESJB38310180,Arizona Cannabis Society Inc,Arizona Cannabis Society Inc,Establishment,Open,8376 N El Mirage Rd Bldg 2 Ste 2,El Mirage,AZ,85335,,(888) 249-2927,,,33.557377143976,-112.324487519487,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000067ESBS89254298,"Arizona Golden Leaf Wellness, Llc","Arizona Golden Leaf Wellness, Llc",Establishment,Open,5390 W Ina Rd,Marana,AZ,85743,,(520) 620-9123,,,32.3376372847,-111.080258153665,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000030ESDG72791381,Arizona Natures Wellness,Arizona Natures Wellness,Establishment,Open,1610 West State Route 89a,Sedona,AZ,86336,,928-202-3512,,,34.863389942707,-111.788778701006,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000095ESIP13817359,Arizona Organix,Arizona Organix,Establishment,Open,5303 W Glendale Ave,Glendale,AZ,85301,,(623) 937-2752,,,33.538436464565,-112.17278958045,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000170ESTVQ68678199,Nirvana Center,Arizona Tree Equity 2,Establishment,Open,2209 South 6th Avenue,Tucson,AZ,85713,,(928) 642-2250,,,32.196418645419,-110.968339212411,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,0000142DRCLD76170272,Arizona Wellness Center Safford,Arizona Wellness Center Safford LLC,Dispensary,Open,1362 W Thatcher Blvd,Safford,AZ,85546,,(602) 323-4266,,,32.834960362526,-109.723818461009,3/9/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000044ESZW01555573,Ponderosa Dispensary,"Arizona Wellness Collective 3, Inc",Establishment,Open,1911 W Broadway Rd 23,Mesa,AZ,85202,,(480) 213-1402,,,33.407540354291,-111.87295550486,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000076ESON21559195,TruMed Dispensary,Az Compassionate Care Inc,Establishment,Open,1613 N 40th St,Phoenix,AZ,85008,,(602) 275-1279,,,33.465890697476,-111.99551531332,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000148ESTMY68096274,AZ Flower Power LLC,AZ Flower Power LLC,Establishment,Open,11343 East Apache Trail,Apache Junction,AZ,85120,,(917) 375-3900,,,33.415034815627,-111.586462540034,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000054ESDU93884651,AZC1,AZCL1,Establishment,Open,4695 N Oracle Rd Ste 117,Tucson,AZ,85705,,520-293-3315,,,32.291837884405,-110.978363129086,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000040ESDX57445071,Zen Leaf Chandler,"AZGM 3, LLC",Establishment,Open,7200 W Chandler Blvd Ste 7,Chandler,AZ,85226,,312-819-5061,,,33.30534082313,-111.966335211341,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000139ESDD30084191,Greenleef Medical,Bailey Management LLC,Establishment,Open,253 Chase Creek St,Clifton,AZ,85533,,480-652-3622,,,33.056321364931,-109.302411773854,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,0000150ESTPZ83854528,"Blue Palo Verde 1, LLC","Blue Palo Verde 1, LLC",Establishment,Open,"7710 South Wilmot Road, Suite 100",Tucson,AZ,85756,,586-855-6649,,,32.112972825319,-110.858024324878,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000022ESMC44584355,Sticky Saguaro,"Border Health, Inc",Establishment,Open,12338 East Riggs Road,Chandler,AZ,85249,,(602) 644-9188,,,33.218940802639,-111.816439739481,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000102ESWC76772229,JARS Cannabis,Broken Arrow Herbal Center Inc,Establishment,Open,1732 W Commerce Point Pl,Sahuarita,AZ,85614,,(520) 289-8030,,,31.8967927,-111.002905,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000028ESVU53788832,The Flower Shop Az,"Buds & Roses, Inc",Establishment,Open,5205 E University Dr,Mesa,AZ,85205,,(480) 500-5054,,,33.422742572216,-111.718056701172,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000003ESPF54627423,Trulieve of Scottsdale Dispensary,Byers Dispensary Inc,Establishment,Open,15190 N Hayden Rd,Scottsdale,AZ,85260,,850-508-0261,,,33.623602229545,-111.903222061679,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000005LCMI00301434,SC Labs,C4 Laboratories,,Active,"7650 East Evans Rd Unit A, UNIT A",Scottsdale,AZ,85260,,(480) 219-6460,,,33.616571512254,-111.914927305238,,,AZ-facilities-v2.csv,04/18/2026
AZ,00000144ESQK21738687,Releaf,Cactus Bloom Facilities Management LLC,Establishment,Open,436 Naugle Ave,Patagonia,AZ,85624,,520-982-9212,,,31.538828037769,-110.757187493566,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000132ESFR75101840,Sunday Goods,"Cardinal Square, Inc",Establishment,Open,13150 W Bell Rd,Surprise,AZ,85378,,520-808-3111,,,33.638776166992,-112.343556879087,3/9/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000025ESOX62486193,Catalina Hills Botanical Care,Catalina Hills Botanical Care Inc,Establishment,Open,2918 N Central Ave,Phoenix,AZ,85012,,602-466-1087,,,33.480463529474,-112.07384367928,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000106ESEU57773093,JARS Cannabis,Cjk Inc,Establishment,Open,"3411 E Corona Ave, 100",Phoenix,AZ,85040,,602 491-0420,,,33.405488566398,-112.007714592134,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000135ESGE19332725,Trulieve Of Sierra Vista,"Cochise County Wellness, LLC",Establishment,Open,"1633 S Highway 92, Ste 7",Sierra Vista,AZ,85635,,480-677-1755,,,31.539756110479,-110.257279745647,3/9/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000127ESET80222360,Botanica,Copper State Herbal Center Inc,Establishment,Open,6205 N Travel Center Dr,Tucson,AZ,85741,,(520) 395-0230,,,32.31980770621,-111.047686476442,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000104ESDH57805022,The Phoenix,CRG Holdco LLC,Establishment,Open,9897 W McDowell Rd #720,Tolleson,AZ,85353,,(480) 420-0377,,,33.4631823,-112.2714382,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000012ESIS11195422,Sol Flower,"CSI Solutions, Inc.",Establishment,Open,14980 N 78th Way,Scottsdale,AZ,85260,,480-420-3300,,,33.621620419649,-111.908109133973,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000155ESTWD37312465,Curious Cultivators I LLC,Curious Cultivators I LLC,Establishment,Open,"200 London Bridge Road, 100",Lake Havasu City,AZ,86403,,(310) 694-4397,,,34.474625603399,-114.350563749589,4/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000153ESTXW47689762,Deeply Rooted Boutique Cannabis Company,Desert Boyz,Establishment,Open,11725 NW Grand Ave,El Mirage,AZ,85335,,(480) 708-0296,,,33.6095785,-112.3140317,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000038ESPN59181329,JARS Cannabis,Desert Medical Campus Inc,Establishment,Open,10040 N. Metro Parkway W,Phoenix,AZ,85051,,602-870-8700,,,33.579966621765,-112.121745221245,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000077ESTT45790153,Green Pharms,"Desertview Wellness & Healing Solutions, LLC",Establishment,Open,"600 South 80th Avenue, 100",Tolleson,AZ,85353,,(928) 522-6337,,,33.441990060804,-112.23253563866,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000026ESRZ88769978,Devine Desert Healing Inc,Devine Desert Healing Inc,Establishment,Open,17201 N 19th Ave,Phoenix,AZ,85023,,602-388-4400,,,33.641895606541,-112.099651581731,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000078ESQG10647381,JARS Cannabis,Dreem Green Inc,Establishment,Open,2412 East University Drive,Phoenix,AZ,85034,,(602) 675-6999,,,33.424090179661,-112.030044545879,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000146ESTKT01674214,Nature's Wonder,DYNAMIC TRIO HOLDINGS LLC,Establishment,Open,"6812 East Cave Creek Road, 2, 2A and 3",Cave Creek,AZ,85331,,480-861-3649,,,33.831550507994,-111.934314390799,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000112ESWR37460976,Earth's Healing Inc,Earth's Healing Inc,Establishment,Open,2075 E Benson Hwy,Tucson,AZ,85714,,(520) 373-5779,,,32.166850116017,-110.940845865393,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000019ESXY11403163,East Valley Patient Wellness Group Inc,East Valley Patient Wellness Group Inc,Establishment,Open,13650 N 99th Ave,Sun City,AZ,85351,,(623) 246-8080,,,33.607474544001,-112.268375220682,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000068ESZM96727661,Mint Cannabis,Eba Holdings Inc.,Establishment,Open,8729 E Manzanita Dr,Scottsdale,AZ,85258,,(480) 749-6468,,,33.554387618913,-111.893035383087,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000034LRCRF78097578,Encore Labs Arizona,Encore Labs Arizona,,Active,"16624 North 90th Street, #101",Scottsdale,AZ,85260,,(626) 653-3414,,,33.637267146393,-111.887163623436,,,AZ-facilities-v2.csv,04/18/2026
AZ,00000141ESYC13235553,Zanzibar,FJM Group LLC,Establishment,Open,60 W Main St,Quartzsite,AZ,85346,,(520) 907-2181,,,33.6669102,-114.2180164,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000126ESDQ50929013,The Downtown Dispensary,Forever 46 Llc,Establishment,Open,"221 E 6th St, Suite 105",Tucson,AZ,85705,,(520) 838-0492,,,32.227756295247,-110.968458707699,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000064ESAK09838873,Zen Leaf Phoenix (Cave Creek Rd),"Fort Consulting, Llc",Establishment,Open,12401 N Cave Creek Rd,Phoenix,AZ,85022,,312-819-5061,,,33.599324013332,-112.037205431004,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000016ESBY46918805,Trulieve of Tucson,"Fort Mountain Consulting, Llc",Establishment,Open,4659 E 22nd St,Tucson,AZ,85711,,770-330-0831,,,32.2070112947,-110.893226871313,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,0000028LRCUW52326505,"Full Spectrum Lab, LLC","Full Spectrum Lab, LLC",,Active,"3865 E 34th St, Ste 109",Tucson,AZ,85713,,(520) 838-0695,,,32.195328963069,-110.910867561983,,,AZ-facilities-v2.csv,04/18/2026
AZ,00000062ESGQ60020478,Farm Fresh,Fwa Inc,Establishment,Open,790 N Lake Havasu Ave #4,Lake Havasu City,AZ,86404,,(928) 733-6339,,,34.497592165946,-114.347852944281,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000034ESEZ92106085,The Mint Dispensary,G.T.L. Llc,Establishment,Open,2444 W Northern Ave,Phoenix,AZ,85021,,(480) 749-6468,,,33.553190239507,-112.110871681577,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000137ESPF58509627,JARS Cannabis,"Gila Dreams X, LLC",Establishment,Open,100 East State Highway 260,Payson,AZ,85541,,928-474-2420,,,34.240703009714,-111.322937899601,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000108ESND56774062,Earth's Healing North,Globe Farmacy Inc,Establishment,Open,78 W River Rd,Tucson,AZ,85704,,520-253-7198,,,32.296138050061,-110.970712384624,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000082ESUB29429633,Trulieve of Peoria Dispensary,Green Desert Patient Center Of Peoria,Establishment,Open,"9275 W Peoria Ave, Ste 104",Peoria,AZ,85345,,850-559-7734,,,33.580719578867,-112.257167859851,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000103ESEK38100955,Nature's Medicines,Green Hills Patient Center Inc,Establishment,Open,"16913 East Enterprise Drive, 201, 202, 203",Fountain Hills,AZ,85268,,(928) 537-4888,,,33.596615491509,-111.714889284518,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000157ESTHZ07905975,Sunday Goods,"Green Lightning, LLC",Establishment,Open,723 N Scottsdale Rd,Tempe,AZ,85281,,(480)-219-1300,,,33.4378613,-111.9255739,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000094ESMX02282810,Southern Arizona Integrated Therapies (Tucson SAINTS),Green Medicine,Establishment,Open,112 S Kolb Rd,Tucson,AZ,85710,,(520) 886-1003,,,32.219752068603,-110.84102141684,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000081ESLT56066782,Trulieve Bisbee Dispensary,Green Sky Patient Center Of Scottsdale North Inc,Establishment,Open,1191 S Naco Hwy,Bisbee,AZ,85603,,850-559-7734,,,31.387921404056,-109.920547197003,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000113ESLZ23317951,"Greenmed, Inc","Greenmed, Inc",Establishment,Open,6464 E Tanque Verde Rd,Tucson,AZ,85715,,(520) 886-2484,,,32.244499486133,-110.85540683905,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000061ESIG65334270,Marigold Dispensary,"Greens Goddess Products, Inc",Establishment,Open,"2601 W. Dunlap Avenue, 21",Phoenix,AZ,85017,,(602) 900-4557,,,33.56751879595,-112.114299162712,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,0000160ESTDY36165846,Grunge Free LLC,Grunge Free LLC,Establishment,Open,700 North Pinal Parkway Avenue,Florence,AZ,85132,,(917)375-3900,,,33.03801673611,-111.379153043268,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000118ESDH66162163,Ponderosa Dispensary,"H4L Ponderosa, LLC",Establishment,Open,7343 S 89th Pl,Mesa,AZ,85212,,(480) 213-1402,,,33.283175924043,-111.639889348049,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000020ESEN67630727,Healing Healthcare 3 Inc,Healing Healthcare 3 Inc,Establishment,Open,"1040 E Camelback Rd, Ste A",Phoenix,AZ,85014,,602-354-3094,,,33.509275169559,-112.059243891987,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000091ESHS96689917,Consume Cannabis,"Health Center Navajo, Inc",Establishment,Open,1350 N Penrod Rd,Show Low,AZ,85901,,(520)808-3111,,,34.261290485178,-110.019706863157,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000032ESPT83532730,Herbal Wellness Center Inc,Herbal Wellness Center Inc,Establishment,Open,4126 W Indian School Rd,Phoenix,AZ,85019,,602-910-4152,,,33.495034715533,-112.147926009682,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000007ESWD35270682,Trulieve of Chandler Dispensary,High Desert Healing Llc,Establishment,Open,13433 E. Chandler Blvd. Suite A,Chandler,AZ,85225,,954-817-2370,,,33.30639059213,-111.792724034568,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000014ESNA15249640,Trulieve of Avondale Dispensary,High Desert Healing Llc,Establishment,Open,3828 S Vermeersch Rd,Avondale,AZ,85323,,954-817-2370,,,33.411191575975,-112.339009162444,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000087ESWR93327597,Ponderosa Dispensary,"High Mountain Health, Llc",Establishment,Open,1250 S Plaza Way Ste A,Flagstaff,AZ,86001,,(928) 774-5467,,,35.18828550182,-111.662967374418,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000151ESTVN87881223,Higher than High I LLC,Higher than High I LLC,Establishment,Open,1302 West Industrial Drive,Coolidge,AZ,85128,,480-861-3649,,,32.967508812154,-111.541525485404,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000015ESEM68131310,Holistic Patient Wellness Group,Holistic Patient Wellness Group,Establishment,Open,1322 N Mcclintock Dr,Tempe,AZ,85281,,(480) 795-6363,,,33.443286151853,-111.909533053463,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000046ESTW28902560,BEST Dispensary,Jamestown Center,Establishment,Open,1962 N. Higley Rd,Mesa,AZ,85205,,623-264-2378,,,33.451200724582,-111.718871352427,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000045ESYU34105986,Jamestown Center,Jamestown Center,Establishment,Open,4104 E 32nd St,Yuma,AZ,85365,,(928) 344-1735,,,32.66987497484,-114.562463677217,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000158ESTLH17620655,Joint Junkies I LLC,Joint Junkies I LLC,Establishment,Open,26427 S Arizona Ave,Chandler,AZ,85248,,(928) 638-5831,,,33.207458084385,-111.840981066697,4/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000147ESTXX54706468,Juicy Joint I LLC,Juicy Joint I LLC,Establishment,Open,"3550 North Lane, #110",Bullhead City,AZ,86442,,(928) 324-6062,,,35.052845267424,-114.587313215748,4/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000029ESAA16670843,K Group Partners,K Group Partners Llc,Establishment,Open,11200 W Michigan Ave Ste 5,Youngtown,AZ,85363,,623-444-5977,,,33.604310828478,-112.300719469864,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000048ESNO41782628,Sol Flower,Kannaboost Technology Inc,Establishment,Open,"2424 W University Dr, Ste. 101 & 119",Tempe,AZ,85281,,480-644-2071,,,33.421981769773,-111.975090408202,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000024LCMD66604568,Kaycha AZ LLC,Kaycha AZ LLC,,Active,"1231 W Warner Rd, Ste 105",Tempe,AZ,85284,,(770) 365-7752,,,33.334484908607,-111.959303565999,,,AZ-facilities-v2.csv,04/18/2026
AZ,00000088ESUZ76069650,Kind Meds Inc,Kind Meds Inc,Establishment,Open,2152 S Vineyard St Ste 120,Mesa,AZ,85210,,(480) 686-9302,,,33.37544033161,-111.844096642389,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000005ESIN89499585,Trulieve of Phoenix Dispensary,Kwerles Inc,Establishment,Open,"2017 W. Peoria Avenue, Suite A",Phoenix,AZ,85029,,850-508-0261,,,33.582000184257,-112.102531890061,1/21/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000004LCIG00024823,"L1 Management, Llc","L1 Management, Llc",,Active,1525 N. Granite Reef Rd.,Scottsdale,AZ,85257,,(602) 616-8167,,,33.464789874179,-111.900440948439,,,AZ-facilities-v2.csv,04/18/2026
AZ,00000136ESTJ56415147,JARS Cannabis,Lawrence Health Services LLC,Establishment,Open,"2250 Highway 60, Suite M",Globe,AZ,85501,,928-793-2550,,,33.4157104,-110.8263702,4/18/2027,,AZ-facilities-v2.csv,04/18/2026
AZ,00000079ESTS64678211,JARS Cannabis,"Legacy & Co., Inc.",Establishment,Open,"3001 North 24th Street, A",Phoenix,AZ,85016,,(623) 936-9333,,,33.48217617173,-112.03011129229,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000156ESTDP70697204,Cookies,Life Changers Investments LLC,Establishment,Open,2715 South Hardy Drive,Tempe,AZ,85282,,(480) 452-7275,,,33.399931399186,-111.952059815055,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000101ESZO30906924,Mint Cannabis,"M&T Retail Facility 1, LLC",Establishment,Open,1211 North 75th Avenue,Phoenix,AZ,85043,,480-749-6468,,,33.460965045014,-112.220577341328,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,0000164ESTEB22806734,"MCCSE214, LLC","MCCSE214, LLC",Establishment,Open,1975 E Northern Ave,Kingman,AZ,86409,,928-263-6348,,,35.254024053822,-114.030379900568,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,0000169ESTMB88870542,"MCCSE240, LLC","MCCSE240, LLC",Establishment,Open,"12555 NW Grand Ave, B",El Mirage,AZ,85335,,602-351-5450,,,33.623106,-112.3325429,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,0000149ESTUL49249395,"MCCSE29, LLC","MCCSE29, LLC",Establishment,Open,12323 W Camelback Rd,Litchfield Park,AZ,85340,,(602) 903-3665,,,33.507454120619,-112.324172865795,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,0000165ESTJX05511145,"MCCSE82, LLC","MCCSE82, LLC",Establishment,Open,"46639 North Black Canyon Highway, 1-2",New River,AZ,85087,,928-299-5145,,,33.908690960588,-112.142285109416,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,0000167ESTML86118201,"MCD-SE Venture 25, LLC","MCD-SE Venture 25, LLC",Establishment,Open,"15235 North Dysart Road, 111 D",El Mirage,AZ,85335,,602-931-3663,,,33.622351537873,-112.342027147252,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,0000162ESTOS80671885,"MCD-SE Venture 26, LLC","MCD-SE Venture 26, LLC",Establishment,Open,120 N Power Rd,Mesa,AZ,85205,,602-931-3663,,,33.417443726046,-111.684572203676,4/7/2028,,AZ-facilities-v2.csv,04/18/2026
AZ,00000010ESIR42914838,Trulieve of Casa Grande,Medical Pain Relief Inc,Establishment,Open,1860 E Salk Dr Ste B-1,Casa Grande,AZ,85122,,850-508-0261,,,32.8814201,-111.7071685,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
AZ,00000039ESEZ33667642,Desert Bloom Releaf Center,Medmar Tanque Verde Llc,Establishment,Open,8060 E 22nd St Ste 108,Tucson,AZ,85710,,520-886-1760,,,32.206365806376,-110.820814252594,8/7/2026,,AZ-facilities-v2.csv,04/18/2026
