name,dba,slug,type,url,is_bad_url,street_address,city,state,zip_code,country,lat,lng,phone,email,license_state
Sticky Saguaro,"Border Health, Inc",sticky-saguaro,other,,,12338 East Riggs Road,Chandler,AZ,85249,US,33.218940802639,-111.816439739481,(602) 644-9188,,00000022ESMC44584355
JARS Cannabis,Broken Arrow Herbal Center Inc,jars-cannabis,other,,,1732 W Commerce Point Pl,Sahuarita,AZ,85614,US,31.8967927,-111.002905,(520) 289-8030,,00000102ESWC76772229
The Flower Shop Az,"Buds & Roses, Inc",flower-shop-az,other,,,5205 E University Dr,Mesa,AZ,85205,US,33.422742572216,-111.718056701172,(480) 500-5054,,00000028ESVU53788832
Trulieve of Scottsdale Dispensary,Byers Dispensary Inc,trulieve-of-scottsdale-dispensary,other,,,15190 N Hayden Rd,Scottsdale,AZ,85260,US,33.623602229545,-111.903222061679,850-508-0261,,00000003ESPF54627423
SC Labs,C4 Laboratories,sc-labs,other,,,"7650 East Evans Rd Unit A, UNIT A",Scottsdale,AZ,85260,US,33.616571512254,-111.914927305238,(480) 219-6460,,00000005LCMI00301434
Releaf,Cactus Bloom Facilities Management LLC,releaf,other,,,436 Naugle Ave,Patagonia,AZ,85624,US,31.538828037769,-110.757187493566,520-982-9212,,00000144ESQK21738687
Sunday Goods,"Cardinal Square, Inc",sunday-goods,other,,,13150 W Bell Rd,Surprise,AZ,85378,US,33.638776166992,-112.343556879087,520-808-3111,,00000132ESFR75101840
Catalina Hills Botanical Care,Catalina Hills Botanical Care Inc,catalina-hills-botanical-care,other,,,2918 N Central Ave,Phoenix,AZ,85012,US,33.480463529474,-112.07384367928,602-466-1087,,00000025ESOX62486193
JARS Cannabis,Cjk Inc,jars-cannabis,other,,,"3411 E Corona Ave, 100",Phoenix,AZ,85040,US,33.405488566398,-112.007714592134,602 491-0420,,00000106ESEU57773093
Trulieve Of Sierra Vista,"Cochise County Wellness, LLC",trulieve-of-sierra-vista,other,,,"1633 S Highway 92, Ste 7",Sierra Vista,AZ,85635,US,31.539756110479,-110.257279745647,480-677-1755,,00000135ESGE19332725
Botanica,Copper State Herbal Center Inc,botanica,other,,,6205 N Travel Center Dr,Tucson,AZ,85741,US,32.31980770621,-111.047686476442,(520) 395-0230,,00000127ESET80222360
The Phoenix,CRG Holdco LLC,phoenix,other,,,9897 W McDowell Rd #720,Tolleson,AZ,85353,US,33.4631823,-112.2714382,(480) 420-0377,,00000104ESDH57805022
Sol Flower,"CSI Solutions, Inc.",sol-flower,other,,,14980 N 78th Way,Scottsdale,AZ,85260,US,33.621620419649,-111.908109133973,480-420-3300,,00000012ESIS11195422
Curious Cultivators I LLC,,curious-cultivators-i-llc,other,,,"200 London Bridge Road, 100",Lake Havasu City,AZ,86403,US,34.474625603399,-114.350563749589,(310) 694-4397,,0000155ESTWD37312465
Deeply Rooted Boutique Cannabis Company,Desert Boyz,deeply-rooted-boutique-cannabis-company,other,,,11725 NW Grand Ave,El Mirage,AZ,85335,US,33.6095785,-112.3140317,(480) 708-0296,,0000153ESTXW47689762
JARS Cannabis,Desert Medical Campus Inc,jars-cannabis,other,,,10040 N. Metro Parkway W,Phoenix,AZ,85051,US,33.579966621765,-112.121745221245,602-870-8700,,00000038ESPN59181329
Green Pharms,"Desertview Wellness & Healing Solutions, LLC",green-pharms,other,,,"600 South 80th Avenue, 100",Tolleson,AZ,85353,US,33.441990060804,-112.23253563866,(928) 522-6337,,00000077ESTT45790153
Devine Desert Healing Inc,,devine-desert-healing-inc,other,,,17201 N 19th Ave,Phoenix,AZ,85023,US,33.641895606541,-112.099651581731,602-388-4400,,00000026ESRZ88769978
JARS Cannabis,Dreem Green Inc,jars-cannabis,other,,,2412 East University Drive,Phoenix,AZ,85034,US,33.424090179661,-112.030044545879,(602) 675-6999,,00000078ESQG10647381
Nature's Wonder,DYNAMIC TRIO HOLDINGS LLC,natures-wonder,other,,,"6812 East Cave Creek Road, 2, 2A and 3",Cave Creek,AZ,85331,US,33.831550507994,-111.934314390799,480-861-3649,,0000146ESTKT01674214
Earth's Healing Inc,,earths-healing-inc,other,,,2075 E Benson Hwy,Tucson,AZ,85714,US,32.166850116017,-110.940845865393,(520) 373-5779,,00000112ESWR37460976
East Valley Patient Wellness Group Inc,,east-valley-patient-wellness-group-inc,other,,,13650 N 99th Ave,Sun City,AZ,85351,US,33.607474544001,-112.268375220682,(623) 246-8080,,00000019ESXY11403163
Mint Cannabis,Eba Holdings Inc.,mint-cannabis,other,,,8729 E Manzanita Dr,Scottsdale,AZ,85258,US,33.554387618913,-111.893035383087,(480) 749-6468,,00000068ESZM96727661
Encore Labs Arizona,,encore-labs-arizona,other,,,"16624 North 90th Street, #101",Scottsdale,AZ,85260,US,33.637267146393,-111.887163623436,(626) 653-3414,,0000034LRCRF78097578
Zanzibar,FJM Group LLC,zanzibar,other,,,60 W Main St,Quartzsite,AZ,85346,US,33.6669102,-114.2180164,(520) 907-2181,,00000141ESYC13235553
The Downtown Dispensary,Forever 46 Llc,downtown-dispensary,other,,,"221 E 6th St, Suite 105",Tucson,AZ,85705,US,32.227756295247,-110.968458707699,(520) 838-0492,,00000126ESDQ50929013
Zen Leaf Phoenix (Cave Creek Rd),"Fort Consulting, Llc",zen-leaf-phoenix-cave-creek-rd,other,,,12401 N Cave Creek Rd,Phoenix,AZ,85022,US,33.599324013332,-112.037205431004,312-819-5061,,00000064ESAK09838873
Trulieve of Tucson,"Fort Mountain Consulting, Llc",trulieve-of-tucson,other,,,4659 E 22nd St,Tucson,AZ,85711,US,32.2070112947,-110.893226871313,770-330-0831,,00000016ESBY46918805
"Full Spectrum Lab, LLC",,full-spectrum-lab-llc,other,,,"3865 E 34th St, Ste 109",Tucson,AZ,85713,US,32.195328963069,-110.910867561983,(520) 838-0695,,0000028LRCUW52326505
Farm Fresh,Fwa Inc,farm-fresh,other,,,790 N Lake Havasu Ave #4,Lake Havasu City,AZ,86404,US,34.497592165946,-114.347852944281,(928) 733-6339,,00000062ESGQ60020478
The Mint Dispensary,G.T.L. Llc,mint-dispensary,other,,,2444 W Northern Ave,Phoenix,AZ,85021,US,33.553190239507,-112.110871681577,(480) 749-6468,,00000034ESEZ92106085
JARS Cannabis,"Gila Dreams X, LLC",jars-cannabis,other,,,100 East State Highway 260,Payson,AZ,85541,US,34.240703009714,-111.322937899601,928-474-2420,,00000137ESPF58509627
Earth's Healing North,Globe Farmacy Inc,earths-healing-north,other,,,78 W River Rd,Tucson,AZ,85704,US,32.296138050061,-110.970712384624,520-253-7198,,00000108ESND56774062
Trulieve of Peoria Dispensary,Green Desert Patient Center Of Peoria,trulieve-of-peoria-dispensary,other,,,"9275 W Peoria Ave, Ste 104",Peoria,AZ,85345,US,33.580719578867,-112.257167859851,850-559-7734,,00000082ESUB29429633
Nature's Medicines,Green Hills Patient Center Inc,natures-medicines,other,,,"16913 East Enterprise Drive, 201, 202, 203",Fountain Hills,AZ,85268,US,33.596615491509,-111.714889284518,(928) 537-4888,,00000103ESEK38100955
Sunday Goods,"Green Lightning, LLC",sunday-goods,other,,,723 N Scottsdale Rd,Tempe,AZ,85281,US,33.4378613,-111.9255739,(480)-219-1300,,0000157ESTHZ07905975
Southern Arizona Integrated Therapies (Tucson SAINTS),Green Medicine,southern-arizona-integrated-therapies-tucson-saints,other,,,112 S Kolb Rd,Tucson,AZ,85710,US,32.219752068603,-110.84102141684,(520) 886-1003,,00000094ESMX02282810
Trulieve Bisbee Dispensary,Green Sky Patient Center Of Scottsdale North Inc,trulieve-bisbee-dispensary,other,,,1191 S Naco Hwy,Bisbee,AZ,85603,US,31.387921404056,-109.920547197003,850-559-7734,,00000081ESLT56066782
"Greenmed, Inc",,greenmed-inc,other,,,6464 E Tanque Verde Rd,Tucson,AZ,85715,US,32.244499486133,-110.85540683905,(520) 886-2484,,00000113ESLZ23317951
Marigold Dispensary,"Greens Goddess Products, Inc",marigold-dispensary,other,,,"2601 W. Dunlap Avenue, 21",Phoenix,AZ,85017,US,33.56751879595,-112.114299162712,(602) 900-4557,,00000061ESIG65334270
Grunge Free LLC,,grunge-free-llc,other,,,700 North Pinal Parkway Avenue,Florence,AZ,85132,US,33.03801673611,-111.379153043268,(917)375-3900,,0000160ESTDY36165846
Ponderosa Dispensary,"H4L Ponderosa, LLC",ponderosa-dispensary,other,,,7343 S 89th Pl,Mesa,AZ,85212,US,33.283175924043,-111.639889348049,(480) 213-1402,,00000118ESDH66162163
Healing Healthcare 3 Inc,,healing-healthcare-3-inc,other,,,"1040 E Camelback Rd, Ste A",Phoenix,AZ,85014,US,33.509275169559,-112.059243891987,602-354-3094,,00000020ESEN67630727
Consume Cannabis,"Health Center Navajo, Inc",consume-cannabis,other,,,1350 N Penrod Rd,Show Low,AZ,85901,US,34.261290485178,-110.019706863157,(520)808-3111,,00000091ESHS96689917
Herbal Wellness Center Inc,,herbal-wellness-center-inc,other,,,4126 W Indian School Rd,Phoenix,AZ,85019,US,33.495034715533,-112.147926009682,602-910-4152,,00000032ESPT83532730
Trulieve of Chandler Dispensary,High Desert Healing Llc,trulieve-of-chandler-dispensary,other,,,13433 E. Chandler Blvd. Suite A,Chandler,AZ,85225,US,33.30639059213,-111.792724034568,954-817-2370,,00000007ESWD35270682
Trulieve of Avondale Dispensary,High Desert Healing Llc,trulieve-of-avondale-dispensary,other,,,3828 S Vermeersch Rd,Avondale,AZ,85323,US,33.411191575975,-112.339009162444,954-817-2370,,00000014ESNA15249640
Ponderosa Dispensary,"High Mountain Health, Llc",ponderosa-dispensary,other,,,1250 S Plaza Way Ste A,Flagstaff,AZ,86001,US,35.18828550182,-111.662967374418,(928) 774-5467,,00000087ESWR93327597
Higher than High I LLC,,higher-than-high-i-llc,other,,,1302 West Industrial Drive,Coolidge,AZ,85128,US,32.967508812154,-111.541525485404,480-861-3649,,0000151ESTVN87881223
Holistic Patient Wellness Group,,holistic-patient-wellness-group,other,,,1322 N Mcclintock Dr,Tempe,AZ,85281,US,33.443286151853,-111.909533053463,(480) 795-6363,,00000015ESEM68131310
BEST Dispensary,Jamestown Center,best-dispensary,other,,,1962 N. Higley Rd,Mesa,AZ,85205,US,33.451200724582,-111.718871352427,623-264-2378,,00000046ESTW28902560
Jamestown Center,,jamestown-center,other,,,4104 E 32nd St,Yuma,AZ,85365,US,32.66987497484,-114.562463677217,(928) 344-1735,,00000045ESYU34105986
Joint Junkies I LLC,,joint-junkies-i-llc,other,,,26427 S Arizona Ave,Chandler,AZ,85248,US,33.207458084385,-111.840981066697,(928) 638-5831,,0000158ESTLH17620655
Juicy Joint I LLC,,juicy-joint-i-llc,other,,,"3550 North Lane, #110",Bullhead City,AZ,86442,US,35.052845267424,-114.587313215748,(928) 324-6062,,0000147ESTXX54706468
K Group Partners,K Group Partners Llc,k-group-partners,other,,,11200 W Michigan Ave Ste 5,Youngtown,AZ,85363,US,33.604310828478,-112.300719469864,623-444-5977,,00000029ESAA16670843
Sol Flower,Kannaboost Technology Inc,sol-flower,other,,,"2424 W University Dr, Ste. 101 & 119",Tempe,AZ,85281,US,33.421981769773,-111.975090408202,480-644-2071,,00000048ESNO41782628
Kaycha AZ LLC,,kaycha-az-llc,other,,,"1231 W Warner Rd, Ste 105",Tempe,AZ,85284,US,33.334484908607,-111.959303565999,(770) 365-7752,,00000024LCMD66604568
Kind Meds Inc,,kind-meds-inc,other,,,2152 S Vineyard St Ste 120,Mesa,AZ,85210,US,33.37544033161,-111.844096642389,(480) 686-9302,,00000088ESUZ76069650
Trulieve of Phoenix Dispensary,Kwerles Inc,trulieve-of-phoenix-dispensary,other,,,"2017 W. Peoria Avenue, Suite A",Phoenix,AZ,85029,US,33.582000184257,-112.102531890061,850-508-0261,,00000005ESIN89499585
"L1 Management, Llc",,l1-management-llc,other,,,1525 N. Granite Reef Rd.,Scottsdale,AZ,85257,US,33.464789874179,-111.900440948439,(602) 616-8167,,00000004LCIG00024823
JARS Cannabis,Lawrence Health Services LLC,jars-cannabis,other,,,"2250 Highway 60, Suite M",Globe,AZ,85501,US,33.4157104,-110.8263702,928-793-2550,,00000136ESTJ56415147
JARS Cannabis,"Legacy & Co., Inc.",jars-cannabis,other,,,"3001 North 24th Street, A",Phoenix,AZ,85016,US,33.48217617173,-112.03011129229,(623) 936-9333,,00000079ESTS64678211
Cookies,Life Changers Investments LLC,cookies,other,,,2715 South Hardy Drive,Tempe,AZ,85282,US,33.399931399186,-111.952059815055,(480) 452-7275,,0000156ESTDP70697204
Mint Cannabis,"M&T Retail Facility 1, LLC",mint-cannabis,other,,,1211 North 75th Avenue,Phoenix,AZ,85043,US,33.460965045014,-112.220577341328,480-749-6468,,00000101ESZO30906924
"MCCSE214, LLC",,mccse214-llc,other,,,1975 E Northern Ave,Kingman,AZ,86409,US,35.254024053822,-114.030379900568,928-263-6348,,0000164ESTEB22806734
"MCCSE240, LLC",,mccse240-llc,other,,,"12555 NW Grand Ave, B",El Mirage,AZ,85335,US,33.623106,-112.3325429,602-351-5450,,0000169ESTMB88870542
"MCCSE29, LLC",,mccse29-llc,other,,,12323 W Camelback Rd,Litchfield Park,AZ,85340,US,33.507454120619,-112.324172865795,(602) 903-3665,,0000149ESTUL49249395
"MCCSE82, LLC",,mccse82-llc,other,,,"46639 North Black Canyon Highway, 1-2",New River,AZ,85087,US,33.908690960588,-112.142285109416,928-299-5145,,0000165ESTJX05511145
"MCD-SE Venture 25, LLC",,mcd-se-venture-25-llc,other,,,"15235 North Dysart Road, 111 D",El Mirage,AZ,85335,US,33.622351537873,-112.342027147252,602-931-3663,,0000167ESTML86118201
"MCD-SE Venture 26, LLC",,mcd-se-venture-26-llc,other,,,120 N Power Rd,Mesa,AZ,85205,US,33.417443726046,-111.684572203676,602-931-3663,,0000162ESTOS80671885
Trulieve of Casa Grande,Medical Pain Relief Inc,trulieve-of-casa-grande,other,,,1860 E Salk Dr Ste B-1,Casa Grande,AZ,85122,US,32.8814201,-111.7071685,850-508-0261,,00000010ESIR42914838
Desert Bloom Releaf Center,Medmar Tanque Verde Llc,desert-bloom-releaf-center,other,,,8060 E 22nd St Ste 108,Tucson,AZ,85710,US,32.206365806376,-110.820814252594,520-886-1760,,00000039ESEZ33667642
MK Associates LLC,,mk-associates-llc,other,,,3270 AZ-82,Sonoita,AZ,85637,US,31.679745974708,-110.653028653832,(703) 915-2159,,00000143ESKB17654619
Ponderosa Dispensary,Mmj Apothecary,ponderosa-dispensary,other,,,"9240 West Northern Avenue, Ste. 103b",Peoria,AZ,85345,US,33.5527845,-112.258266,480-213-1402,,00000100ESEC12878172
JARS Cannabis,"Mohave Cannabis Club 1, LLC",jars-cannabis,other,,,4236 E Juanita Ave,Mesa,AZ,85206,US,33.382363135467,-111.742889090611,480-420-0064,,00000098ESAA47054477
JARS Cannabis,"Mohave Cannabis Club 2, LLC",jars-cannabis,other,,,20340 N Lake Pleasant Rd. Ste 107,Peoria,AZ,85382,US,33.668263935707,-112.280051454742,623-246-1065,,00000119ESKK32735375
JARS Cannabis,"Mohave Cannabis Club 3, LLC",jars-cannabis,other,,,"20224 N 27th Ave, Ste 103",Phoenix,AZ,85027,US,33.67067661253,-112.117350575872,623-233-5133,,00000122ESRN95872973
JARS Cannabis,"Mohave Cannabis Club 4, LLC",jars-cannabis,other,,,8028 E State Route 69,Prescott Valley,AZ,86314,US,34.585991729769,-112.325493248303,480-939-4002,,00000107ESVJ79465811
Trulieve of Roosevelt Row,"Mohave Valley Consulting, Llc",trulieve-of-roosevelt-row,other,,,1007 N 7th St,Phoenix,AZ,85006,US,33.458804623625,-112.065148305762,770-330-0831,,00000017ESMI32133238
Natural Herbal Remedies Inc,,natural-herbal-remedies-inc,other,,,3333 S Central Ave,Phoenix,AZ,85040,US,33.417084792262,-112.073500339885,480-739-0366,,00000058ESFA63267513
YiLo Superstore,Natural Relief Clinic Inc,yilo-superstore,other,,,4456 E Thomas Road,Phoenix,AZ,85018,US,33.480292752697,-111.985788197642,(520) 686-8708,,00000066ESUJ44186931
YiLo Superstore,Natural Relief Clinic Inc,yilo-superstore,other,,,2841 W Thunderbird Rd,Phoenix,AZ,85032,US,33.610781015906,-112.120056635084,(602) 539-2828,,00000073ESED95493026
Natural Remedy Patient Center,,natural-remedy-patient-center,other,,,"16277 N Greenway Hayden Loop, 1st Floor",Scottsdale,AZ,85260,US,33.633989126986,-111.907754140825,602-842-0020,,00000125ESMC92036121
Trulieve of Baseline Dispensary,Nature Med Inc,trulieve-of-baseline-dispensary,other,,,1821 W Baseline Rd,Guadalupe,AZ,85283,US,33.378176112333,-111.970885780743,850-508-0261,,00000056ESPE92908314
The Flower Shop Az,Nature's Healing Center Inc,flower-shop-az,other,,,3155 E Mcdowell Rd Ste 2,Phoenix,AZ,85008,US,33.46567258174,-112.013919040984,(480) 500-5054,,00000041ESLU31226658
The Flower Shop Az,Nature's Healing Center Inc,flower-shop-az,other,,,"10827 S 51st St, Ste 104",Phoenix,AZ,85044,US,33.348833059994,-111.975853206234,(480) 500-5054,,00000031ESCS44452076
Nature's Wonder Inc,,natures-wonder-inc,other,,,260 W Apache Trail Dr,Apache Junction,AZ,85120,US,33.416460612618,-111.548630230515,(480) 861-3649,,00000075ESJK64208740
Nirvana Center Dispensaries,"Nirvana Enterprises AZ, LLC",nirvana-center-dispensaries,other,,,2 North 35th Avenue,Phoenix,AZ,85009,US,33.447804708953,-112.134572699562,(480) 378-6917,,00000121ESBM38825533
Non Profit Patient Center Inc,,non-profit-patient-center-inc,other,,,"2960 West Grand Avenue, Bldg. A and B",Phoenix,AZ,85017,US,33.485502418149,-112.123703386315,480-861-3649,,00000037ESIX56363099
"Ocotillo Vista, Inc.",,ocotillo-vista-inc,other,,,2330 North 75th Avenue,Phoenix,AZ,85035,US,33.473331665393,-112.220796638652,602-786-7988,,00000051ESYP04501588
Organica Patient Group Inc,,organica-patient-group-inc,other,,,"1720 E. Deer Valley Rd., Suite 101",Phoenix,AZ,85204,US,33.687898144526,-112.045305828025,602-910-4152,,00000065ESNW69665422
Trulieve of Glendale,"Pahana, Inc.",trulieve-of-glendale,other,,,"13631 N 59th Ave, Ste B110",Glendale,AZ,85304,US,33.609214842189,-112.18578259552,850-508-0261,,00000018ESKD27426528
Zen Leaf Arcadia,"Patient Alternative Relief Center, LLC",zen-leaf-arcadia,other,,,2710 E Indian School Rd,Phoenix,AZ,85016,US,33.495059269899,-112.023463939192,312-819-5061,,00000086ESQZ01367420
Trulieve of Tucson Grant Dispensary,"Patient Care Center 301, Inc.",trulieve-of-tucson-grant-dispensary,other,,,2734 E Grant Rd,Tucson,AZ,85716,US,32.250294698856,-110.931837876292,850-559-7734,,00000004ESAN63639048
JARS Cannabis,Payson Dreams LLC,jars-cannabis,dispensary,,,108 N Tonto St,Payson,AZ,85541,US,34.24087805669,-111.327168584896,248-755-7633,,0000141DRCDP24213459
Zen Leaf Phoenix (Dunlap Ave.),"Perpetual Healthcare, LLC",zen-leaf-phoenix-dunlap-ave,other,,,4244 W Dunlap Rd Ste 1,Phoenix,AZ,85051,US,33.56757716641,-112.150258737072,312-819-5061,,00000105ESDR54985961
Phoenix Relief Center Inc,,phoenix-relief-center-inc,other,,,"6330 S 35th Ave, Ste 104",Phoenix,AZ,85041,US,33.389037,-112.1364945,(602) 276-3401,,00000047ESRJ75098505
Phytotherapeutics Of Tucson,,phytotherapeutics-of-tucson,other,,,2175 N 83rd Ave,Phoenix,AZ,85035,US,33.471860077528,-112.237781051816,623-244-5349,,00000049ESUK39624376
Pinal County Wellness Center,,pinal-county-wellness-center,other,,,8970 N 91st Ave,Peoria,AZ,85345,US,33.565817689052,-112.255154965214,623-233-1010,,00000059ESZW76539792
JARS Cannabis,Piper's Shop LLC,jars-cannabis,other,,,1809 W Thatcher Blvd,Safford,AZ,85546,US,32.834939434556,-109.728949534508,928-424-1313,,00000138ESOA91816349
Pleasant Plants I LLC,,pleasant-plants-i-llc,other,,,6676 West Bell Road,Glendale,AZ,85308,US,33.638356533327,-112.202439716374,(520) 727-7754,,0000159ESTFT57497963
Ponderosa Dispensary,Ponderosa Botanical Care Inc,ponderosa-dispensary,other,,,318 South Bracken Lane,Chandler,AZ,85224,US,33.298064493696,-111.890516379561,(623) 877-3934,,00000109ESVM44878444
Pp Wellness Center,,pp-wellness-center,other,,,8160 W Union Hills Dr Ste A106,Glendale,AZ,85308,US,33.652783574008,-112.23436440301,(623) 385-1310,,00000050ESTO08528992
Trulieve of Tucson Menlo Park Dispensary,Purplemed Inc,trulieve-of-tucson-menlo-park-dispensary,other,,,1010 S Fwy Ste 130,Tucson,AZ,85745,US,32.209293061683,-110.980178513113,850-559-7734,,00000130ESFL12611544
