Facility_ID,Business_Name,Legal_Name,Address,Mailing_Address,Phone,Facility_Status,Owner_License,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Lic1_Type,Lic1_Services,Lic1_Number,Lic1_Originally,Lic1_Effective,Lic1_Expires,Lic1_Status,Lic1_PDF_URL,Lic2_Type,Lic2_Services,Lic2_Number,Lic2_Originally,Lic2_Effective,Lic2_Expires,Lic2_Status,Lic2_PDF_URL,Offsite_Cultivation_Address,Manufacture_Address,Source_URL
001t000000L0TBFAA3,All Rebel Rockers Inc,All Rebel Rockers Inc,"4730 S 48th St, Phoenix, AZ 85040","16277 N Greenway Hayden Loop, Scottsdale, AZ 85260",602-807-5005,Open,All Rebel Rockers Inc,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,Retail - Sell,00000131ESYX97720376,3/9/2021,3/9/2025,3/8/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000FIJrZ/Ip76jUWMI.7PSKpNHyAqxzfrIaleSYfiZK7khKZIFA8,Dispensary,Retail - Sell,00000117DCBN00282429,,3/9/2025,3/8/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000FHy8o/bizmaxe3u0oITSQDJnASiujXU5OTy8sx7RvHnB87alw,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TBFAA3&activeTab=details
001t000000L0T9PAAV,Nature's Medicines,ANPS Holdco LLC,"701 East Dunlap Avenue, Suite 9, Phoenix, AZ 85020","120 N. 44th Street, Phoenix, AZ 85034",(602) 903-3769,Open,Arizona Natural Pain Solutions Inc.,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,Retail - Sell,00000096ESWI60030184,10/23/2020,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000n94jJ/kw.t3IHENoi9SFwZz2nauL6.C93k5ZwXz4dGF7AZzZk,Dispensary,Retail - Sell,00000013DCOU00042197,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000n8eAY/Va2JEyHMP8IIynlwQ3Vtj3LyV1X3omXN5sb04BMgDXc,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9PAAV&activeTab=details
001t000000bHlWsAAK,Apache County Dispensary LLC,Apache County Dispensary LLC,"900 East Main Street, Springerville, AZ 85938","4121 E. Valley Auto Drive, Mesa, AZ 85206",620-921-5967,Open,Apache County Dispensary LLC,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,10AM-7PM,Establishment,"Cultivation - Process
Cultivation - Manufacture
Cultivation - Cultivate
Retail - Sell",00000133ESGJ79432018,4/19/2021,4/19/2025,4/18/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000LySer/6yBDVqe8Ar7a7EPZUyq09_bhARQh0N7FT5n.xoT7xR4,,,,,,,,,"2155 East 5th Street, Tempe, AZ 85288",,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000bHlWsAAK&activeTab=details
001t000000dYTCyAAO,Apollo Labs,Apollo Labs,"17301 North Perimeter Drive, suite 100, Scottsdale, AZ 85255",,(917) 340-1566,Active,Apollo Labs LLC,8:30AM-5PM,8:30AM-5PM,8:30AM-5PM,8:30AM-5PM,8:30AM-5PM,CLOSED,CLOSED,,,00000013LCRK62049775,,,,,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000lTuF3/Czm3Y2M3sJmNoXMM7YnnzQSLEJLw1KBxx7frz5et3u4,,,,,,,,,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000dYTCyAAO&activeTab=details
001t000000L0TAFAA3,Arizona Cannabis Society Inc,Arizona Cannabis Society Inc,"8376 N El Mirage Rd Bldg 2 Ste 2, El Mirage, AZ 85335","8376 N El Mirage Rd, El Mirage, AZ 85335",(888) 249-2927,Open,Arizona Cannabis Society Inc,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-8PM,Establishment,Retail - Sell,00000042ESJB38310180,8/8/2024,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000YSKg9/_MiIxXl8cIh454XaSHae5zHztrlxzDxVgsBVUAqk85U,Dispensary,"Retail - Sell
Retail - Cultivate
Retail - Prepare Edibles",00000090DCYT00194857,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mXul/ueEfjcVoC5yjVTePcasgiv57LogCfLA1dgceP2aMe.g,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAFAA3&activeTab=details
001t000000L0TA9AAN,"Arizona Golden Leaf Wellness, Llc","Arizona Golden Leaf Wellness, Llc","5390 W Ina Rd, Marana, AZ 85743","3275 W Ina Rd, Tucson, AZ 85741",(520) 620-9123,Open,"Golden Leaf Wellness, Llc",8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,"Cultivation - Process
Cultivation - Cultivate
Retail - Sell
Manufacture - Manufacture
Manufacture - Package & Store",00000067ESBS89254298,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mXyi/jE_BhjQ35hQoFTPXwMOTavH5ViWSmU3yK.WbjLNAsU0,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture
Cultivation - Prepare Edibles",00000077DCPS00216601,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mX1q/fOXJuTfU_Mp8KMVjH.u6_96e64pXjHLryAzu6o6hj5A,"2380 East Medina Road, Tucson, AZ 85756","3000 East Valencia Road, 160, Tucson, AZ 85706",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TA9AAN&activeTab=details
001t000000L0TACAA3,Arizona Natures Wellness,Arizona Natures Wellness,"1610 West State Route 89a, Sedona, AZ 86336","16277 N Greenway Hayden Loop,, Scottsdale, AZ 85260",928-202-3512,Open,Arizona Natures Wellness,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,Retail - Sell,00000030ESDG72791381,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000LALa9/xk7ocgh9tnZvq7ZzoWohMqLY49QnpKF5Uejw2ntKKx8,Dispensary,Retail - Sell,00000082DCYU00561946,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000LA7Va/xUEGMLI6fkznTnupnGRmgzzVi.mFat7mGyA6DrPaJNY,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TACAA3&activeTab=details
001t000000L0TAjAAN,Arizona Organix,Arizona Organix,"5303 W Glendale Ave, Glendale, AZ 85301","5303 W Glendale Ave, Glendale, AZ 85301",(623) 937-2752,Open,Arizona Organix,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,"Retail - Sell
Retail - Manufacture",00000095ESIP13817359,1/27/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs000000BdR4/RHymXqq9LFqpleNY17laQFNpbZLWh7h1QuAPRr6MjtQ,Dispensary,Retail - Sell,00000099DCPL00826691,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000BiYJ0/cUnj2SCspkwqB38moRBjBiKyOlCZSnNXi_gvL7j0rdM,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAjAAN&activeTab=details
0018y000004crscAAA,Nirvana Center,Arizona Tree Equity 2,"2209 South 6th Avenue, Tucson, AZ 85713","7917 South 28Th Way, Phoenix, AZ 85042",(928) 642-2250,Open,Arizona Tree Equity 2,8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,Establishment,Retail - Sell,0000170ESTVQ68678199,4/8/2022,4/8/2026,4/7/2028,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000nPuyr/7qgIoqBBmM3kNx0wxf8_eRWOTx8IrKmoGafW00ucbFM,,,,,,,,,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y000004crscAAA&activeTab=details
0018y0000080E4DAAU,Arizona Wellness Center Safford,Arizona Wellness Center Safford LLC,"1362 W Thatcher Blvd, Safford, AZ 85546","1362 W Thatcher Blvd, Safford, AZ 85546",(602) 323-4266,Open,Arizona Wellness Center Safford LLC,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Dispensary,Retail - Sell,0000142DRCLD76170272,,3/10/2025,3/9/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000LyNvK/Ohw7qNItDzDLmgvUq.MqYIwMkz07KNcwmYALk4J9Q3I,,,,,,,,,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y0000080E4DAAU&activeTab=details
001t000000L0TAuAAN,Ponderosa Dispensary,"Arizona Wellness Collective 3, Inc","1911 W Broadway Rd 23, Mesa, AZ 85202","2055 E 5th St, Tempe, AZ 85288",(480) 213-1402,Open,Arizona Wellness Collective 3 Inc,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,8AM-9PM,Establishment,Retail - Sell,00000044ESZW01555573,1/22/2021,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000EAOc5/oj2OHBuiQJUrg5taWhapReplO.rV6cnsbdrS6TrQq90,Dispensary,Retail - Sell,00000119DCKO00583347,,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000EA7L8/uptfNwEMJOaM12oHrx4rO.idYbkUYxqcL01WLKHL6uc,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAuAAN&activeTab=details
001t000000L0TARAA3,TruMed Dispensary,Az Compassionate Care Inc,"1613 N 40th St, Phoenix, AZ 85008","1613 North 40th Street, Phoenix, AZ 85008",(602) 275-1279,Open,Az Compassionate Care Inc,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,7AM-10PM,Establishment,Retail - Sell,00000076ESON21559195,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mY1h/2Z8JZi29O5Vt60Zk4sA.GucdwZeaSdiiIdhIJ7WDQjM,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture
Cultivation - Prepare Edibles",00000079DCUU00478781,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005mXaT/MbkMSiCEJYLzEHAYg0mrvD_mWFhXg3MuGm2IPOhAAY8,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TARAA3&activeTab=details
0018y000004YZI1AAO,AZ Flower Power LLC,AZ Flower Power LLC,"11343 East Apache Trail, Apache Junction, AZ 85120","7144 E Stetson Dr, Scottsdale, AZ 85251",(917) 375-3900,Open,AZ Flower Power LLC,8AM-12AM,8AM-12AM,8AM-12AM,8AM-2AM,8AM-2AM,8AM-2AM,8AM-12AM,Establishment,Retail - Sell,0000148ESTMY68096274,4/8/2022,4/8/2026,4/7/2028,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000hY6NB/6hRZEABadfm93ixyTZ6YTd6O_EZEAxDXbo9CPZ7mC5w,,,,,,,,,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y000004YZI1AAO&activeTab=details
001t000000L0T9nAAF,AZC1,AZCL1,"4695 N Oracle Rd Ste 117, Tucson, AZ 85705","16277 N Greenway Hayden Loop,, Scottsdale, AZ 85260",520-293-3315,Open,AZCL1,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,8AM-10PM,Establishment,Retail - Sell,00000054ESDU93884651,1/22/2021,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/8y000005o1cB/ujplWVW3mW61Y0mrtI4n0Eb7wGAVqbBpeqz9qkoFjvc,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture",00000040DCOV00144711,,8/8/2024,8/7/2026,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000S8iVB/ayDc04GmDXM1nn7TW7PLIIXHV3wtWE0EWSjpsOIDbfw,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0T9nAAF&activeTab=details
001t000000L0TAzAAN,Zen Leaf Chandler,"AZGM 3, LLC","7200 W Chandler Blvd Ste 7, Chandler, AZ 85226","107 S Southgate Dr, Chandler, AZ 85226",312-819-5061,Open,Azgm 3 Inc,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,9AM-10PM,Establishment,Retail - Sell,00000040ESDX57445071,1/22/2021,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000DMhQE/BqaScK4Q8GJBbF2._Bny0535N90pnhxeZLKSyGdIOCU,Dispensary,Retail - Sell,00000126DCSO00060479,,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000DSNa5/IMyxTlsAk4IPeokCS_MIDbZ9hNkngWiDFimtggkU65A,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TAzAAN&activeTab=details
0018y00000856qsAAA,Greenleef Medical,Bailey Management LLC,"253 Chase Creek St, Clifton, AZ 85533","6617 E Cactus Wren Rd, Paradise Valley, AZ 85253",480-652-3622,Open,Bailey Management LLC,8AM-2PM,8AM-2PM,8AM-2PM,8AM-2PM,CLOSED,8AM-2PM,CLOSED,Establishment,"Retail - Sell
Manufacture - Manufacture
Manufacture - Package & Store
Manufacture - Prepare Edibles",00000139ESDD30084191,4/19/2025,4/19/2025,4/18/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000Vr4hy/6SrIMX.HEkVXT7Wlm4MKlUpcaStLCEK5pdZ1lZct2Y0,Dispensary,"Retail - Sell
Cultivation - Cultivate
Cultivation - Manufacture",0000143DRCJN36084405,,4/19/2025,4/18/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000Rw87K/mQaccI7JtnIXYMqLSyGSQryF3rMK35t1nKvbfUBgHS4,,"1325 West Auto Drive, Tempe, AZ 85284",https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y00000856qsAAA&activeTab=details
0018y000004cP2VAAU,"Blue Palo Verde 1, LLC","Blue Palo Verde 1, LLC","7710 South Wilmot Road, Suite 100, Tucson, AZ 85756","6730 N Scottsdale Rd, Paradise Valley, AZ 85253",586-855-6649,Open,"Blue Palo Verde 1, LLC",8:30AM-5PM,8:30AM-5PM,8:30AM-5PM,8:30AM-5PM,CLOSED,CLOSED,CLOSED,Establishment,Retail - Sell,0000150ESTPZ83854528,4/8/2022,4/8/2026,4/7/2028,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000muvkk/Rw_BrQwohyZIRcXpwHlULRZ9_YW2dbPqFiyQxVjw_ro,,,,,,,,,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=0018y000004cP2VAAU&activeTab=details
001t000000L0TBAAA3,Sticky Saguaro,"Border Health, Inc","12338 East Riggs Road, Chandler, AZ 85249","12338 E Riggs Rd, Chandler, AZ 85249",(602) 644-9188,Open,"Border Health, Inc",10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,10AM-8PM,Establishment,"Retail - Sell
Retail - Manufacture
Retail - Cultivate",00000022ESMC44584355,1/22/2021,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000csoBe/2NVyhrxuTx5yFwySUmSTZ0JjG8D58ZGK2uzWaA2q1R0,Dispensary,Retail - Sell,00000108DCVB00423429,,1/22/2025,1/21/2027,Active,https://azdhs-licensing.my.salesforce.com/sfc/p/t0000000GzfY/a/cs00000HwvAb/Wh1sFFjctJdzm1yZeUJ5hJXv3JS8JFzLfVKUjpejIeA,,,https://azcarecheck.azdhs.gov/s/facility-details?facilityId=001t000000L0TBAAA3&activeTab=details
